,MEN1 (4221)
ACH-000004,-0.10483619447153664
ACH-000005,-0.24421932881208455
ACH-000007,-0.2734954799878367
ACH-000009,-0.04337787814721306
ACH-000011,0.04325796573916983
ACH-000012,0.02413804945585207
ACH-000013,-0.588827097959117
ACH-000014,-0.5469548507282229
ACH-000015,-0.7538173103979571
ACH-000017,-0.758024839576324
ACH-000018,-0.7570891973947489
ACH-000019,-0.7277702036221891
ACH-000021,-0.3889685995768775
ACH-000022,-0.24653526620630606
ACH-000025,-0.5284874666676298
ACH-000028,-0.6094517128680401
ACH-000030,-0.10980949131088327
ACH-000035,-0.12362537219712275
ACH-000036,-0.5715823835853111
ACH-000037,-0.3717311718444669
ACH-000039,-0.5634583937618249
ACH-000040,-0.3369752515715556
ACH-000041,0.32986250250452764
ACH-000042,-0.8074225152363159
ACH-000045,-0.8704596319032593
ACH-000047,-0.16086383436749974
ACH-000052,-0.6448131756745568
ACH-000053,0.1919238523899148
ACH-000054,-0.07089856273686321
ACH-000055,-0.25649458322568475
ACH-000060,-0.28602569884917245
ACH-000067,-0.1484068479691673
ACH-000070,-0.4943197733963837
ACH-000075,-0.4598021477036986
ACH-000078,0.12582745226705805
ACH-000082,-0.6257329936132979
ACH-000085,-0.2925904118636284
ACH-000086,-0.2897830055169198
ACH-000087,-0.30367131384221113
ACH-000092,-0.5995686848231265
ACH-000095,-0.2581464797279757
ACH-000097,-0.06346109491555739
ACH-000098,-0.8412859876770473
ACH-000099,-0.2456460882133117
ACH-000108,-0.3130644864208124
ACH-000113,-0.9320245149589008
ACH-000116,-0.5917865920932823
ACH-000118,-0.632186081044572
ACH-000120,-0.33224030883850025
ACH-000123,-0.5990744495524069
ACH-000127,-0.01597735787935451
ACH-000128,-0.4791885397216997
ACH-000132,-0.8806229419842978
ACH-000133,-0.16295692215218904
ACH-000137,-0.19720760704548235
ACH-000138,-0.3239172043909757
ACH-000142,0.2516391669122449
ACH-000143,-0.6620902096384342
ACH-000146,-0.24107598979926725
ACH-000148,-0.0901015076898578
ACH-000150,-0.034348358527749256
ACH-000152,-0.3475118657029184
ACH-000153,-0.52656025392329
ACH-000159,-0.4183698175720213
ACH-000160,-0.015346310516216847
ACH-000163,-0.16019873654967903
ACH-000167,0.6530615509192229
ACH-000168,-0.6570934809801475
ACH-000169,-0.3671092064462305
ACH-000178,-0.33034308056801626
ACH-000183,-0.5680388124539693
ACH-000188,-0.185436819465378
ACH-000189,-0.41701983033073103
ACH-000190,-0.0956759287317312
ACH-000198,-0.8272890701695452
ACH-000203,-0.38907068287380936
ACH-000204,-0.3850923213639785
ACH-000206,-0.1319027364034583
ACH-000207,-0.516543086021332
ACH-000208,0.04878557787459766
ACH-000210,-0.06870632546578515
ACH-000211,-0.8260144857458391
ACH-000215,-0.06329234017550506
ACH-000221,-0.3956793005777503
ACH-000222,-0.08991659412790441
ACH-000223,-0.4553174413397894
ACH-000226,-0.4532712146052154
ACH-000227,-0.1869050042553573
ACH-000228,-0.4667030486445974
ACH-000231,-0.06083235134851697
ACH-000232,-0.6348258334797303
ACH-000233,-0.2080733119152545
ACH-000234,-0.3298773129789805
ACH-000235,-0.30943775330415385
ACH-000237,-0.29827511574839
ACH-000238,-0.3991446805926293
ACH-000242,0.394002940594236
ACH-000243,-0.22085134164597
ACH-000244,-0.3020247222847285
ACH-000246,-0.3356632599023892
ACH-000248,-0.21223986526361302
ACH-000250,0.04074624227121355
ACH-000251,-0.6432955942338465
ACH-000252,-0.6292408148871996
ACH-000253,-0.3138736070979337
ACH-000255,0.1824547504347202
ACH-000256,-0.3344795058316854
ACH-000257,-0.5588578604152312
ACH-000258,-0.15542141822814484
ACH-000259,-0.15112839593576086
ACH-000260,-0.5474468169250645
ACH-000261,-0.19919253873272372
ACH-000262,-0.03179270459255343
ACH-000263,-0.13635966001214828
ACH-000264,-0.15693369592674605
ACH-000265,-0.005894895027307634
ACH-000266,-0.5679052826432265
ACH-000272,-0.03751504483233911
ACH-000274,-0.058363797131339386
ACH-000277,0.2604016543551409
ACH-000278,-0.056437739803504826
ACH-000279,0.023055009223263197
ACH-000280,0.35835268213932164
ACH-000281,0.14053809812122456
ACH-000288,-0.1732376464652543
ACH-000291,-0.1558588222028966
ACH-000293,-0.9410410990544064
ACH-000294,0.052240043409030316
ACH-000295,0.053240011028534345
ACH-000296,-0.2067552673667107
ACH-000302,-0.3389568551896747
ACH-000304,-0.4467627260857645
ACH-000307,-0.04107011788904268
ACH-000308,-0.6703463045092602
ACH-000310,-0.07355918641273577
ACH-000311,-0.02003723774553388
ACH-000312,-0.4508426501658182
ACH-000315,-1.3985273544666788
ACH-000316,-0.562783611865626
ACH-000317,-0.7986055662131941
ACH-000318,-0.3439138448146898
ACH-000319,-0.32802887426309074
ACH-000320,-0.4177532617230408
ACH-000322,-0.3633046306920411
ACH-000323,-0.4940136285958344
ACH-000324,-0.27943225702440555
ACH-000329,0.07209032566104155
ACH-000330,-0.2387902070757404
ACH-000331,-0.30197397625172
ACH-000332,-0.3511963088467169
ACH-000334,-1.398698260917908
ACH-000335,-0.6151263421602685
ACH-000336,-0.5932754944966399
ACH-000337,-0.1557652593243633
ACH-000338,-0.03650806192674228
ACH-000339,-0.3371318143291133
ACH-000341,-0.26604880336753284
ACH-000348,-0.3593563661314791
ACH-000350,-0.35266952892026365
ACH-000352,-0.5680384805790103
ACH-000356,-0.5091359493953924
ACH-000361,-0.6170364887953281
ACH-000362,-1.3106010847958842
ACH-000363,-1.0319881513063116
ACH-000364,-0.4319166006135542
ACH-000365,-0.7386305246039926
ACH-000366,-0.14651253379588233
ACH-000368,-0.4318397507975595
ACH-000374,-0.1593809789165938
ACH-000375,-0.4854893157169778
ACH-000376,-0.039932465932977036
ACH-000381,-0.4715571451957689
ACH-000383,-0.6359942979634187
ACH-000387,-0.2462204165293573
ACH-000389,-0.27267387434553986
ACH-000390,-0.05416116194433125
