,LRRC8E (80131)
ACH-000004,-0.3209864798096485
ACH-000005,-0.10123736956572224
ACH-000007,-0.0602041387604311
ACH-000009,-0.06541211717885223
ACH-000011,-0.06011968677215064
ACH-000012,-0.09666699190581146
ACH-000013,-0.16764855754449404
ACH-000014,-0.17606038326447165
ACH-000015,-0.20458265831277908
ACH-000017,-0.1020977983458426
ACH-000018,-0.1499924142482098
ACH-000019,-0.052030154902474215
ACH-000021,-0.20795398631677547
ACH-000022,-0.0796953162931354
ACH-000025,-0.17743173564029127
ACH-000028,-0.1290344537164533
ACH-000030,-0.10361858451484633
ACH-000035,-0.08399411006587246
ACH-000036,-0.18409629756475945
ACH-000037,-0.05066540561321544
ACH-000039,0.05124075110931858
ACH-000040,-0.04345598698880887
ACH-000041,-0.18616585600187172
ACH-000042,-0.06944179339613607
ACH-000045,-0.13870439723910474
ACH-000047,-0.2697860314552632
ACH-000052,-0.12121196823030392
ACH-000053,-0.09290171834037518
ACH-000054,-0.18704233064127374
ACH-000055,-0.11843245532623617
ACH-000060,0.0362881948585098
ACH-000067,-0.344912967138445
ACH-000070,-0.08881762664923136
ACH-000075,0.21296535346447146
ACH-000078,-0.0014554361754651696
ACH-000082,-0.14711796255034973
ACH-000085,-0.053157651780988406
ACH-000086,-0.17701003496376094
ACH-000087,-0.2712031502408203
ACH-000092,-0.136199722557029
ACH-000095,-0.09474318587068344
ACH-000097,-0.0382215384251188
ACH-000098,-0.24934405903948856
ACH-000099,-0.024661005798068854
ACH-000108,-0.12434635664502013
ACH-000113,-0.11603302285099015
ACH-000116,-0.025218329903347658
ACH-000118,-0.12736409094077275
ACH-000120,-0.16346098240885568
ACH-000123,-0.060254152219256125
ACH-000127,-0.1713851778739118
ACH-000128,-0.05973832416447696
ACH-000132,-0.14618643353342534
ACH-000133,-0.11556180175663495
ACH-000137,-0.12745358987650812
ACH-000138,-0.06998997399291143
ACH-000142,-0.1891890147756953
ACH-000143,-0.3384142492993281
ACH-000146,-0.06063032217456148
ACH-000148,-0.0020271669535043718
ACH-000150,-0.06941349884459355
ACH-000152,0.013764936007975532
ACH-000153,-0.059365089737391165
ACH-000159,-0.0525261432205196
ACH-000160,-0.09077538305606396
ACH-000163,-0.03860605708676044
ACH-000167,-0.1320319433153181
ACH-000168,-0.060668502909011324
ACH-000169,-0.09301406790559302
ACH-000178,-0.06464965645781966
ACH-000183,-0.09173077702658368
ACH-000188,-0.16719916908189478
