,CALML4 (91860)
ACH-000004,-0.13304738515936554
ACH-000005,-0.2316794096455615
ACH-000007,-0.0687663931916878
ACH-000009,-0.1861523782710932
ACH-000011,-0.18086890038647427
ACH-000012,-0.03481604506301028
ACH-000013,-0.04226746986030189
ACH-000014,-0.07960022249593607
ACH-000015,-0.09148384549994834
ACH-000017,0.016861307383909015
ACH-000018,-0.05149951718170652
ACH-000019,-0.1941795154300701
ACH-000021,0.05721562904646301
ACH-000022,-0.20345028081175945
ACH-000025,-0.08946689341835125
ACH-000028,-0.03731847611256805
ACH-000030,-0.05971177580841459
ACH-000035,0.013538549282186941
ACH-000036,0.05975390816093211
ACH-000037,-0.027399320271577186
ACH-000039,-0.11595740963672285
ACH-000040,0.009084365527895736
ACH-000041,0.049482343165085964
ACH-000042,0.03697726923526149
ACH-000045,-0.06996470535399156
ACH-000047,-0.07573458303229154
ACH-000052,-0.13790754913469352
ACH-000053,-0.03962651146849317
ACH-000054,-0.1172990275020558
ACH-000055,0.008193334129203828
ACH-000060,-0.15519981639952424
ACH-000067,-0.10999274166006498
ACH-000070,-0.104000912090106
ACH-000075,-0.01946662582922432
ACH-000078,-0.15034876940397285
ACH-000082,-0.04354071174260725
ACH-000085,-0.12867310139917645
ACH-000086,-0.004474025699567278
ACH-000087,-0.278609642266864
ACH-000092,-0.0011178280800262592
ACH-000095,-0.09476146417614699
ACH-000097,-0.010382583773421352
ACH-000098,0.01838400455801077
ACH-000099,-0.11048251324465833
ACH-000108,-0.06443443161315644
ACH-000113,-0.053403903524330436
ACH-000116,-0.04586432576135877
ACH-000118,0.06215287167974589
ACH-000120,-0.13827051446852154
ACH-000123,-0.14706433072585068
ACH-000127,0.024567803880001172
ACH-000128,-0.14406756988094402
ACH-000132,-0.013799215743435284
ACH-000133,0.10869691397780333
ACH-000137,-0.026270231576339
ACH-000138,0.0450218369815402
ACH-000142,-0.046588362861532784
ACH-000143,0.09232188249824222
ACH-000146,-0.017396300130832956
ACH-000148,-0.17695806506397274
ACH-000150,-0.07781849508657064
ACH-000152,-0.0752544027207019
ACH-000153,-0.043057311977999516
ACH-000159,0.0018762587278929523
ACH-000160,0.079197715827593
ACH-000163,-0.19747907482359853
ACH-000167,0.0005206260456980328
ACH-000168,-0.003573543685534224
ACH-000169,-0.12795472111047831
ACH-000178,-0.03191553218840546
ACH-000183,-0.06047522391392578
ACH-000188,-0.08240305350934113
ACH-000189,-0.006601647717784642
ACH-000190,-0.031726724209974334
ACH-000198,-0.06560308060548566
ACH-000203,0.22572474210224264
ACH-000204,-0.00011095272476183863
ACH-000206,0.1063177331366413
ACH-000207,0.11155341785215253
ACH-000208,0.2069731516982972
ACH-000210,0.2447232241299825
ACH-000211,-0.056319997315772426
ACH-000215,-0.006993675609104439
ACH-000221,-0.1421333587891486
ACH-000222,-0.13172994489867376
ACH-000223,-0.027267206454987827
ACH-000226,-0.01671588265679564
ACH-000227,-0.08206956360628627
ACH-000228,-0.03855410927174043
ACH-000231,-0.10182274418262197
ACH-000232,-0.07747851554974575
ACH-000233,-0.08995847244529095
ACH-000234,-0.05137576844782799
ACH-000235,-0.030593520103420882
ACH-000237,-0.08460873828819103
ACH-000238,-0.12381353550710456
ACH-000242,-0.2993251621385561
ACH-000243,-0.06620954885367668
