,CYP26C1 (340665)
ACH-000004,-0.251749732094708
ACH-000005,0.14039578485848628
ACH-000007,-0.3670723735718953
ACH-000009,-0.16909688815763416
ACH-000011,-0.17006896369253305
ACH-000012,-0.18155945646837726
ACH-000013,-0.09501003988643293
ACH-000014,-0.21079951597635505
ACH-000015,-0.2007065855015855
ACH-000017,-0.24099939378690854
ACH-000018,-0.16647262304702265
ACH-000019,-0.17899119148942608
ACH-000021,-0.06995027153484565
ACH-000022,-0.14520613144175154
ACH-000025,-0.3245715439818139
ACH-000028,-0.22416308236437246
ACH-000030,-0.16069696418957766
ACH-000035,-0.16067217596700034
ACH-000036,-0.16734213317129318
ACH-000037,-0.2244131560912407
ACH-000039,-0.09634566894331728
ACH-000040,-0.2369688153303625
ACH-000041,-0.2115558811707898
ACH-000042,-0.2121411652629266
ACH-000045,-0.2099162831941818
ACH-000047,-0.19615173404615804
ACH-000052,-0.0776771356894335
ACH-000053,-0.09933603623464286
ACH-000054,-0.12425628311915295
ACH-000055,-0.1212858959033798
ACH-000060,-0.2161304225159711
ACH-000067,-0.32897750486610805
ACH-000070,-0.2459774477552229
ACH-000075,-0.2426622535862881
ACH-000078,-0.03459940409029294
ACH-000082,-0.15049065995554964
ACH-000085,-0.27836283289865554
ACH-000086,-0.21301807610301646
ACH-000087,-0.5012548420888809
ACH-000092,-0.08724825052031178
ACH-000095,-0.18563652182369533
ACH-000097,-0.1765471312454902
ACH-000098,-0.18282018263462896
ACH-000099,-0.2059268656539652
ACH-000108,-0.1685000584592915
ACH-000113,-0.2906705448692582
ACH-000116,-0.10857151713361894
ACH-000118,-0.1487094715030553
ACH-000120,-0.2160257858153289
ACH-000123,-0.1760199262405475
ACH-000127,-0.2027907785474063
ACH-000128,-0.20649963000923885
ACH-000132,-0.15915421965475887
ACH-000133,-0.06266361127380188
ACH-000137,-0.28753697756830165
ACH-000138,-0.07727853700394087
ACH-000142,-0.17642226342293807
ACH-000143,-0.414783819570354
ACH-000146,-0.15276104373783694
ACH-000148,-0.2714981005572238
ACH-000150,-0.2767242090149177
ACH-000152,-0.2795414550891068
ACH-000153,-0.20576283496819234
ACH-000159,0.0018956160027411464
ACH-000160,-0.19608456573264868
ACH-000163,-0.15407492375326806
ACH-000167,0.062261403328910274
ACH-000168,-0.25112189810295643
ACH-000169,-0.16986388396396562
ACH-000178,-0.2647467243665531
ACH-000183,-0.03497742581337527
ACH-000188,-0.2056139035717132
ACH-000189,-0.21461351685346985
ACH-000190,-0.20393345023569268
ACH-000198,-0.29636220261075114
ACH-000203,0.6316209701812834
ACH-000204,-0.05644721000614838
ACH-000206,-0.10870006116514627
ACH-000207,-0.22126873827095628
ACH-000208,-0.4417727103034941
ACH-000210,-0.005693489427274122
ACH-000211,-0.2183537126055292
ACH-000215,-0.1651918284681578
ACH-000221,-0.2754681771104874
ACH-000222,-0.05765896304968573
ACH-000223,-0.19619641433062235
ACH-000226,-0.07718161245772487
ACH-000227,-0.24229700667251125
ACH-000228,-0.3106963591365212
ACH-000231,-0.25609058864482104
ACH-000232,-0.25625760264005354
ACH-000233,-0.20004672130887732
ACH-000234,-0.10272274005033323
ACH-000235,-0.1054031738632923
ACH-000237,-0.20828006682852507
ACH-000238,-0.13080646168468424
ACH-000242,-0.008624261095373878
ACH-000243,-0.14650034950359586
ACH-000244,-0.15284674605824994
ACH-000246,-0.16997085853670868
ACH-000248,-0.3276394804125602
ACH-000250,-0.15299049118917818
ACH-000251,-0.27472310976225706
ACH-000252,-0.12597641160131484
ACH-000253,-0.05003459542073952
ACH-000255,-0.2112721731265939
ACH-000256,-0.2575019841326397
ACH-000257,-0.2383460800769714
ACH-000258,-0.11252113665490712
ACH-000259,-0.19399937339190285
ACH-000260,-0.14632271495700333
ACH-000261,-0.13312432008847505
ACH-000262,-0.3572245161580123
ACH-000263,-0.3353820502764265
ACH-000264,-0.13662795916243473
ACH-000265,-0.1951419978325523
ACH-000266,-0.16334813726609482
ACH-000272,-0.15399703015426405
ACH-000274,-0.10254900058880254
ACH-000277,-0.04638181675594785
ACH-000278,-0.10040281099060633
ACH-000279,-0.1993679947884828
ACH-000280,-0.03662870632514563
ACH-000281,-0.1638104098058789
ACH-000288,-0.13419064228973662
ACH-000291,-0.33852010636153096
ACH-000293,-0.11470754598454512
ACH-000294,-0.2886978555790952
ACH-000295,-0.2870933596872917
ACH-000296,-0.1617687296313369
ACH-000302,-0.24518005747673455
ACH-000304,-0.3887100262496386
ACH-000307,-0.15269194240350756
ACH-000308,-0.2286781259870832
ACH-000310,-0.06539966298133762
ACH-000311,-0.2650422659276212
ACH-000312,-0.0800407170642381
ACH-000315,-0.06159678409977466
ACH-000316,-0.20063730426637352
ACH-000317,-0.20422733437258012
ACH-000318,-0.005112552200426817
ACH-000319,-0.22479574010285736
ACH-000320,-0.3131480947941919
ACH-000322,-0.16545873789589433
ACH-000323,-0.27070832147562435
