,DAAM2 (23500)
ACH-000004,-0.049944496226872914
ACH-000005,-0.14895990326447614
ACH-000007,-0.11464475210529965
ACH-000009,-0.14515320489731326
ACH-000011,0.01766985838765499
ACH-000012,-0.13785880326744865
ACH-000013,-0.10044331720944533
ACH-000014,-0.1560126588746135
ACH-000015,-0.030068976410873544
ACH-000017,-0.08024977275821465
ACH-000018,-0.18242335415809252
ACH-000019,0.09238917205639716
ACH-000021,0.041789334087928384
ACH-000022,0.018186744964639137
ACH-000025,-0.02348003008085196
ACH-000028,-0.05844006455550262
ACH-000030,-0.117840106080864
ACH-000035,-0.032775757827257467
ACH-000036,0.006045786337377799
ACH-000037,-0.044988818202883855
ACH-000039,-0.035354632066458065
ACH-000040,0.005831964034377179
ACH-000041,-0.19926723503888552
ACH-000042,-0.059102819887508824
ACH-000045,-0.0009119650508261807
ACH-000047,-0.029743085485434292
ACH-000052,0.0009910841602120337
ACH-000053,0.009039038506976956
ACH-000054,-0.08478178238010492
ACH-000055,0.1432933999166628
ACH-000060,-0.15663161198005135
ACH-000067,-0.05370337204589719
ACH-000070,-0.05082140551206297
ACH-000075,-0.039409152251997315
ACH-000078,-0.05516915687229312
ACH-000082,-0.04783576215166513
ACH-000085,-0.1848822939903545
ACH-000086,-0.0625924967023999
ACH-000087,-0.06393170764035068
ACH-000092,-0.05975634153825701
ACH-000095,-0.014601054725399359
ACH-000097,0.009491500226661648
ACH-000098,0.06786244157609951
ACH-000099,0.026798546120814216
ACH-000108,-0.14824498521840807
ACH-000113,-0.027298648754258255
ACH-000116,0.0254703780867494
ACH-000118,-0.07632043540144941
ACH-000120,-0.02330995889496659
ACH-000123,-0.10912346406244047
ACH-000127,-0.09775456555935898
ACH-000128,-0.13597762175623468
ACH-000132,-0.05852967042958964
ACH-000133,0.11513846859512705
ACH-000137,0.15919669066361186
ACH-000138,-0.09596840083125832
ACH-000142,0.009843798516135177
ACH-000143,0.04740687541986041
ACH-000146,-0.011708306839472998
ACH-000148,0.04485406379452328
ACH-000150,0.12261525735898082
ACH-000152,-0.06037711160362999
ACH-000153,-0.05709766708981681
ACH-000159,0.004558197032813836
ACH-000160,0.06831061173954005
ACH-000163,-0.06425699144807961
ACH-000167,0.15672926444041888
ACH-000168,-0.08405825964639349
ACH-000169,-0.05265641402445515
ACH-000178,0.03365937623662599
ACH-000183,-0.2292831415503325
ACH-000188,-0.031563933192682636
ACH-000189,0.07958582090465031
ACH-000190,0.033675186313592946
ACH-000198,-0.07686064220204081
ACH-000203,0.2692008618201017
ACH-000204,-0.059787993648391824
ACH-000206,0.08565342797507207
ACH-000207,-0.03709233382227773
ACH-000208,-0.03983011189404995
ACH-000210,-0.12000019872889227
ACH-000211,-0.02482749579061059
ACH-000215,-0.18363601241033603
ACH-000221,-0.16687032685750935
ACH-000222,0.06404917065739058
ACH-000223,-0.027613497690743727
ACH-000226,-0.12660479980413214
ACH-000227,-0.20261188294104115
ACH-000228,0.057405447682820625
ACH-000231,-0.13416888916866684
ACH-000232,-0.05951763929215765
ACH-000233,-0.025511110507904743
ACH-000234,0.11632023935900275
ACH-000235,-0.12177432653791767
ACH-000237,-0.07323782902841355
ACH-000238,-0.14881296745648015
ACH-000242,0.04912094436963788
ACH-000243,-0.012687788491620734
ACH-000244,-0.10042576966054964
ACH-000246,-0.009646429232975257
ACH-000248,-0.16104673167320652
ACH-000250,-0.09381641421775168
ACH-000251,-0.03056627983070598
ACH-000252,0.1389213150419723
ACH-000253,-0.1811676456664178
ACH-000255,-0.04616701595249182
ACH-000256,-0.16736678409226705
