,CTC1 (80169)
ACH-000004,-0.4311912619230157
ACH-000005,-0.045899908043147
ACH-000007,-0.2092693382468674
ACH-000009,-0.4134010480227278
ACH-000011,-0.2684189403949725
ACH-000012,-0.3525753810932403
ACH-000013,-0.12391381666633187
ACH-000014,-0.4840229447106183
ACH-000015,-0.16226873289513066
ACH-000017,-0.17130842350006167
ACH-000018,-0.5380579872870753
ACH-000019,-0.4312628104742271
ACH-000021,-0.14775919800444448
ACH-000022,-0.4570180326771106
ACH-000025,-0.23311689502883384
ACH-000028,-0.4156902530516322
ACH-000030,-0.014648227654587925
ACH-000035,-0.410520615171612
ACH-000036,-0.3333505942572093
ACH-000037,-0.2534763966302876
ACH-000039,-0.2352262956144719
ACH-000040,-0.3942288748148971
ACH-000041,-0.3519748053609947
ACH-000042,-0.5497637114152668
ACH-000045,-0.3899817453405084
ACH-000047,-0.09378097848747784
ACH-000052,-0.10167910507029992
ACH-000053,-0.3575821134334799
ACH-000054,-0.2287217874583572
ACH-000055,-0.7359118063466729
ACH-000060,-0.6371960198383564
ACH-000067,-0.30455312776558063
ACH-000070,-0.4001761519420674
ACH-000075,-0.3578408563824744
ACH-000078,-0.4180273259970082
ACH-000082,-0.41940619606318
ACH-000085,-0.419713457960362
ACH-000086,0.033616122676781955
ACH-000087,-0.32408268210567576
ACH-000092,-0.292347099405211
ACH-000095,-0.4543801279483125
ACH-000097,-0.3393661002419937
ACH-000098,-0.27122927480833625
ACH-000099,-0.5410762307040571
ACH-000108,-0.3155846796908466
ACH-000113,-0.4003504611409031
ACH-000116,-0.560185673286411
ACH-000118,-0.4046886336835112
ACH-000120,-0.3303415181272171
ACH-000123,-0.2258790267488102
ACH-000127,-0.2630017228602369
ACH-000128,-0.4355040198969797
ACH-000132,-0.3225620402719915
ACH-000133,-0.22000395237594547
ACH-000137,-0.33984601094338834
ACH-000138,-0.35774929279004103
ACH-000142,-0.28218971929045394
ACH-000143,-0.4609661445352154
ACH-000146,-0.5870528336128809
ACH-000148,-0.40172139334898027
ACH-000150,-0.5753444870555309
ACH-000152,-0.2528662635832157
ACH-000153,-0.4731408224458743
ACH-000159,-0.3008808923713003
ACH-000160,-0.1829348739454065
ACH-000163,-0.4637446556916925
ACH-000167,-0.19694124154187825
ACH-000168,-0.34318427959797393
ACH-000169,-0.0778534841343746
ACH-000178,-0.44544469626811306
ACH-000183,-0.3701111858007645
ACH-000188,-0.4132164030823306
ACH-000189,-0.7987621984168619
ACH-000190,-0.5900272894875498
ACH-000198,-0.2863286339645368
ACH-000203,-0.3724021284883364
ACH-000204,-0.4699800677766688
ACH-000206,-0.21639616245144647
ACH-000207,-0.2802676910341583
ACH-000208,-0.29175398077353065
ACH-000210,-0.2931269644051874
ACH-000211,-0.02875295450628618
ACH-000215,-0.649764716767021
ACH-000221,-0.3851524098966535
ACH-000222,-0.1784664690925758
ACH-000223,-0.3054943522805939
ACH-000226,-0.3247600837493592
ACH-000227,-0.3319795239266945
ACH-000228,-0.34714469214244553
ACH-000231,-0.7078553539969847
ACH-000232,-0.09950846800968298
ACH-000233,-0.2822185573893475
ACH-000234,-0.3360238486170854
ACH-000235,-0.5482093559665797
ACH-000237,-0.2475028546204069
ACH-000238,-0.29375251601493724
ACH-000242,-0.09660555221855782
ACH-000243,-0.32532489914698043
ACH-000244,-0.2565106734152832
ACH-000246,-0.22016905572916495
ACH-000248,-0.3753751736675676
ACH-000250,-0.375388075196374
ACH-000251,-0.4050822859925059
ACH-000252,-0.420976768396482
ACH-000253,-0.5006963127242745
ACH-000255,-0.18304345421211388
ACH-000256,-0.3883319743105464
ACH-000257,-0.5808691174792614
ACH-000258,-0.5206419996029458
ACH-000259,-0.3435551855378445
ACH-000260,-0.6041263212471818
ACH-000261,-0.2286984694629215
ACH-000262,-0.2764827381391793
ACH-000263,-0.2211391376432968
ACH-000264,-0.629787258570309
ACH-000265,-0.040092190095355085
ACH-000266,-0.7908545400285201
ACH-000272,-0.6417885092406038
ACH-000274,-0.0955304029042174
ACH-000277,-0.4354934981158131
ACH-000278,-0.1772031814347072
ACH-000279,-0.39158853577617375
ACH-000280,-0.5080786723035204
ACH-000281,-0.5421748294125749
ACH-000288,-0.5726071681048983
ACH-000291,-0.4554786551402732
ACH-000293,-0.2226558563199738
ACH-000294,-0.5087189190699923
ACH-000295,-0.5099836591793221
ACH-000296,-0.4367398202813865
ACH-000302,-0.2099922112001459
ACH-000304,-0.07332486838791563
ACH-000307,-0.6437950519356833
ACH-000308,-0.4557257504264309
ACH-000310,-0.3145555114663882
ACH-000311,-0.13685532703267125
ACH-000312,-0.4825510200289422
ACH-000315,-0.15069826033426434
ACH-000316,-0.4036951519195431
ACH-000317,-0.2275160692950531
ACH-000318,-0.24073180882486994
ACH-000319,-0.278045185778271
ACH-000320,-0.12521613459323996
ACH-000322,-0.2909398828133189
ACH-000323,-0.2125564180886487
ACH-000324,-0.4356120280932642
ACH-000329,-0.3886927078998992
ACH-000330,-0.21994658433236394
ACH-000331,-0.4341943696213337
ACH-000332,-0.648378817230686
ACH-000334,-0.24765343663829456
ACH-000335,-0.3889937761775372
ACH-000336,-0.3018724048164417
ACH-000337,-0.3691598405984332
ACH-000338,-0.5024303524856781
ACH-000339,-0.4790640758375816
ACH-000341,-0.2906554174086549
ACH-000348,-0.336079783184755
ACH-000350,-0.4539825749371507
ACH-000352,-0.12015762349765152
ACH-000356,-0.2821152976253096
ACH-000361,-0.05701994182149271
ACH-000362,-0.4010022476941608
ACH-000363,-0.37946793990945377
ACH-000364,-0.2905234551297161
ACH-000365,-0.0870457856065141
ACH-000366,-0.5630442207105677
ACH-000368,-0.3720902949493857
ACH-000374,-0.1495556752222522
ACH-000375,-0.2124703232740767
ACH-000376,-0.6277766813472331
ACH-000381,-0.5543573930120632
ACH-000383,-0.2356598089358274
ACH-000387,-0.3970528855710585
ACH-000389,-0.4030023454391569
ACH-000390,-0.07970603470337617
ACH-000393,-0.1578473550202686
ACH-000395,-0.23969041755952214
ACH-000396,-0.5418366689823508
ACH-000397,-0.5533039268924353
ACH-000401,-0.3736370495366743
ACH-000402,0.4799741838522292
ACH-000403,-0.5413856726362006
ACH-000404,-0.3219080379367301
ACH-000406,-0.2394123240850223
ACH-000407,-0.27884202957739873
ACH-000408,-0.2855517852488828
ACH-000410,-0.462068798158576
ACH-000411,-0.13452373812515056
ACH-000414,-0.25629041316900125
ACH-000415,-0.30548576227077623
ACH-000416,-0.7045250951176903
ACH-000420,-0.4781972836285381
ACH-000421,-0.20188130361346573
ACH-000424,-0.44136774815049146
ACH-000425,-0.2252489041607689
ACH-000426,-0.4868294429808287
ACH-000427,-0.3376660147261016
ACH-000433,-0.26389486436811616
ACH-000435,-0.4503046388392747
ACH-000436,-0.4616091055628673
ACH-000444,-0.284110976420284
ACH-000445,-0.3773870652265929
ACH-000448,-0.19291286274840452
ACH-000450,-0.3798720328999705
ACH-000452,-0.3001833293373519
ACH-000454,-0.6102555440747179
ACH-000458,-0.5786536083160664
ACH-000459,-0.29813002779451603
ACH-000460,-0.469020712254633
ACH-000461,-0.5071318449706181
ACH-000463,-0.3874194958651961
ACH-000464,-0.5066208985286789
ACH-000466,-0.4517195320544908
ACH-000467,-0.2016294125200692
ACH-000468,-0.4239748251227192
ACH-000469,-0.2826264577408013
ACH-000470,-0.7361667257288015
ACH-000471,-0.5002885433109888
ACH-000472,-0.28540854204467764
ACH-000473,-0.3208022226199804
ACH-000475,-0.11061750659716378
ACH-000476,-0.3566973413734892
ACH-000477,-0.30095598870400675
ACH-000479,-0.06269013209083121
