,KIAA0895L (653319)
ACH-000004,-0.2720217974525451
ACH-000005,-0.018499100223688413
ACH-000007,-0.028814977199027945
ACH-000009,-0.2341168905137853
ACH-000011,-0.09421961813240776
ACH-000012,-0.20391570447816973
ACH-000013,-0.3134139045668287
ACH-000014,-0.2668048562569134
ACH-000015,-0.07370322612880388
ACH-000017,-0.12553444759662474
ACH-000018,-0.4195121624864536
ACH-000019,-0.3380724241968878
ACH-000021,-0.2555371320463869
ACH-000022,-0.12995505351466333
ACH-000025,-0.29154823911046224
ACH-000028,-0.1612846279042918
ACH-000030,-0.11691086613782692
ACH-000035,-0.04292817118133108
ACH-000036,-0.42290917909514897
ACH-000037,-0.4473056558654613
ACH-000039,-0.0218253838373185
ACH-000040,-0.403882846531032
ACH-000041,-0.13613459919985535
ACH-000042,-0.15439805048234606
ACH-000045,-0.12863776313575978
ACH-000047,0.005951522523691736
ACH-000052,-0.22296770528998533
ACH-000053,-0.1470504472119579
ACH-000054,-0.2875293946993083
ACH-000055,0.14242574359250912
ACH-000060,-0.17559817061124716
ACH-000067,-0.20087409973953252
ACH-000070,-0.16694162039283514
ACH-000075,-0.044989751525101575
ACH-000078,-0.005077443004616686
ACH-000082,-0.141203880754045
ACH-000085,-0.2583910806327448
ACH-000086,-0.2911933272351325
ACH-000087,0.2755277009155436
ACH-000092,-0.2562225838027903
ACH-000095,-0.15955402239720975
ACH-000097,-0.27404019422416204
ACH-000098,-0.3439635346439541
ACH-000099,-0.25495206339771564
ACH-000108,-0.269389644631473
ACH-000113,-0.24604502133700384
ACH-000116,-0.15599089455438514
ACH-000118,-0.12790880209014788
ACH-000120,-0.13964540018030136
ACH-000123,-0.2915366234655776
ACH-000127,-0.19078125944959665
ACH-000128,-0.2613253693572197
ACH-000132,-0.294582074278988
ACH-000133,-0.28026240302009786
ACH-000137,-0.2746285828341627
ACH-000138,-0.16202188643172896
ACH-000142,-0.13730631754690886
ACH-000143,-0.10437549923638673
ACH-000146,-0.2190413001614267
ACH-000148,-0.212073240803832
ACH-000150,-0.277690780046774
ACH-000152,-0.3641872370053351
ACH-000153,0.10855062321415687
ACH-000159,-0.11030110648153592
ACH-000160,-0.22872298561671425
ACH-000163,-0.2971115588274901
ACH-000167,-0.21110519580161705
ACH-000168,-0.07162083602616975
ACH-000169,-0.18747263354124474
ACH-000178,-0.026966802032682848
ACH-000183,-0.19168165186130312
ACH-000188,-0.16982238252243784
ACH-000189,-0.3819059413933105
ACH-000190,-0.14009123432826598
ACH-000198,-0.10557942720094443
ACH-000203,-0.3318494507836954
ACH-000204,-0.5223345743866534
ACH-000206,-0.4849003966871496
ACH-000207,-0.010818079976198193
ACH-000208,0.22174321488701126
ACH-000210,-0.13638114399392082
ACH-000211,-0.13737029422956032
ACH-000215,-0.21523361259702906
ACH-000221,0.07945241544153797
ACH-000222,-0.16961694156157664
ACH-000223,-0.13922654914642166
ACH-000226,-0.10741780161236633
ACH-000227,-0.3274690443044965
ACH-000228,-0.19054206123777376
ACH-000231,-0.19190119100937053
ACH-000232,-0.1066634808732458
ACH-000233,-0.12295120136989615
ACH-000234,-0.09849266127212457
ACH-000235,-0.18873761553204613
ACH-000237,-0.17721049154200724
ACH-000238,-0.11230471278354344
ACH-000242,0.3232351970407231
ACH-000243,-0.155981975945228
ACH-000244,-0.19530045249330868
ACH-000246,-0.12774576437490334
ACH-000248,-0.16253524754996482
ACH-000250,-0.3243807288083734
ACH-000251,-0.4121907861784987
ACH-000252,-0.3602861956290662
ACH-000253,-0.19001898580930615
ACH-000255,-0.2781375128360357
ACH-000256,-0.13040965334670196
ACH-000257,-0.1148611895093956
ACH-000258,-0.028076933722109523
ACH-000259,-0.23581889756053334
ACH-000260,-0.1802007142396775
ACH-000261,-0.16945664345241898
ACH-000262,-0.2705629135617933
ACH-000263,-0.3065632820648144
ACH-000264,-0.19732530928474665
ACH-000265,-0.10650580449427548
ACH-000266,-0.17106352036351702
ACH-000272,-0.16778073141682487
ACH-000274,-0.19356561112259102
ACH-000277,-0.013844976588610771
ACH-000278,-0.09848174130586408
ACH-000279,-0.18332498060166397
ACH-000280,-0.2316962818981441
ACH-000281,-0.21238193578969652
ACH-000288,-0.32625831903784835
ACH-000291,-0.18875203643546884
ACH-000293,-0.3269190569697726
ACH-000294,-0.11950869429897194
ACH-000295,-0.15315928600966264
ACH-000296,-0.06067867866453822
ACH-000302,-0.12214868664373665
ACH-000304,-0.2524475946347103
ACH-000307,-0.14673913208350287
ACH-000308,-0.27852270249169275
ACH-000310,-0.24490218184737114
ACH-000311,-0.2313252821558735
ACH-000312,-0.13856625339360945
ACH-000315,0.13525409422821985
ACH-000316,-0.3700311230534526
ACH-000317,-0.3497763473640889
ACH-000318,-0.226573782689871
ACH-000319,-0.19969777251484166
ACH-000320,-0.2146732201021608
ACH-000322,-0.4705518833585988
ACH-000323,-0.031531647830753184
ACH-000324,-0.13599052277215454
ACH-000329,-0.29267089963435544
ACH-000330,-0.11087086109104737
ACH-000331,-0.28662781896810313
ACH-000332,-0.15492803638042005
ACH-000334,-0.2464016630907488
ACH-000335,-0.3964721081783555
ACH-000336,-0.2261411157023583
ACH-000337,-0.0951794549099034
ACH-000338,-0.19855441847044486
ACH-000339,-0.25130458128220484
ACH-000341,-0.3633538710012095
ACH-000348,-0.20071029786603614
ACH-000350,-0.16491186273161593
ACH-000352,-0.18018271758204016
ACH-000356,-0.2448100611350172
ACH-000361,-0.22280396394105506
ACH-000362,-0.2607276380074102
ACH-000363,-0.26699921180074737
ACH-000364,-0.08468073777430445
ACH-000365,-0.13069988142509106
ACH-000366,-0.134200696327297
ACH-000368,-0.29751407713870004
ACH-000374,-0.13246191445827946
ACH-000375,-0.3175907335099941
ACH-000376,-0.13752821003255095
ACH-000381,-0.07831791099160308
ACH-000383,-0.21634063579571872
ACH-000387,-0.17445854451070034
ACH-000389,-0.08918543478284978
ACH-000390,-0.3508857243181132
ACH-000393,-0.12080167572369994
ACH-000395,-0.2897420630317625
ACH-000396,-0.4464479344942252
ACH-000397,-0.1834578823476564
ACH-000401,-0.09860490895885056
ACH-000402,-0.3619058291645253
ACH-000403,-0.2199745300833907
ACH-000404,-0.07376248032536137
ACH-000406,-0.21534067963722606
ACH-000407,-0.11858665091589618
ACH-000408,-0.17704598082056378
ACH-000410,-0.20345741014424146
ACH-000411,-0.22793214257404545
ACH-000414,-0.12132356359236955
ACH-000415,-0.07406596629129057
ACH-000416,-0.3198749569889739
ACH-000420,-0.3137104762565657
ACH-000421,-0.18395933688760785
ACH-000424,-0.41419863884051533
ACH-000425,-0.17077897506586395
ACH-000426,-0.22321381721981245
ACH-000427,-0.302663840191974
ACH-000433,-0.162730567126738
ACH-000435,-0.13596392285660489
ACH-000436,-0.27602239424666186
ACH-000444,0.005646053770827406
ACH-000445,-0.2819670914507651
ACH-000448,-0.10121524346576093
ACH-000450,0.019298064255528782
ACH-000452,-0.1814478729043742
ACH-000454,-0.16057057146087142
ACH-000458,0.011083490853315468
ACH-000459,-0.010013009973818586
ACH-000460,-0.12973932892111614
ACH-000461,0.057899162315129635
ACH-000463,-0.3505613090313137
ACH-000464,-0.08362535670744431
ACH-000466,-0.3085161759544226
ACH-000467,-0.1365444429906433
ACH-000468,-0.20623302026923052
ACH-000469,-0.2698641908110444
ACH-000470,-0.11005394999245796
ACH-000471,-0.1770276041867355
ACH-000472,-0.11172103718883164
ACH-000473,-0.11719927399540245
ACH-000475,-0.2152161243106793
ACH-000476,-0.164927389864359
ACH-000477,-0.08263890830784297
ACH-000479,0.018885407627657298
ACH-000480,-0.018867245114213952
ACH-000481,-0.23953193160235645
ACH-000483,-0.1097322549285456
