,SMARCC1 (6599)
ACH-000004,-0.4303367000340144
ACH-000005,-0.15183742440241454
ACH-000007,-0.4007095083670109
ACH-000009,-0.054762352291287376
ACH-000011,-0.12775768654764494
ACH-000012,-0.3434004122840109
ACH-000013,-0.25822485542791873
ACH-000014,-0.04042262059165666
ACH-000015,-0.13283334699484595
ACH-000017,-0.3073979836823431
ACH-000018,-0.0923705240127358
ACH-000019,-0.3417307992656511
ACH-000021,-0.34298176110129586
ACH-000022,-0.09924555595180867
ACH-000025,-0.5072655540485416
ACH-000028,-0.3058590791690436
ACH-000030,-0.4706994845594453
ACH-000035,-0.27881378132954193
ACH-000036,-0.23101794813770074
ACH-000037,-0.26088466017859274
ACH-000039,-0.340082918003324
ACH-000040,-0.27920821317918554
ACH-000041,0.07067051452853848
ACH-000042,-0.32305688429518475
ACH-000045,-0.4623991564678204
ACH-000047,-0.02907258672812226
ACH-000052,-0.2901498734892168
ACH-000053,-0.34689271407331584
ACH-000054,-0.3804325984602657
ACH-000055,-0.6301502235130948
ACH-000060,-0.3019030322417381
ACH-000067,-0.5137369353930157
ACH-000070,-0.5701663681302601
ACH-000075,-0.06628641312405624
ACH-000078,-0.2418606008131413
ACH-000082,-0.2441237656322436
ACH-000085,-0.20164675752853495
ACH-000086,-0.2755987338490636
ACH-000087,-0.2096047996471953
ACH-000092,-0.3107341498254068
ACH-000095,-0.3788440023461261
ACH-000097,-0.13626998913287658
ACH-000098,-0.3062702583609709
ACH-000099,0.043621936510977566
ACH-000108,-0.229328154173388
ACH-000113,-0.40901594548548464
ACH-000116,-0.10605693801973262
ACH-000118,-0.15865749264706194
ACH-000120,-0.38602449552577695
ACH-000123,-0.10271135725189126
ACH-000127,-0.2584378222840786
ACH-000128,-0.34468109938772656
ACH-000132,-0.3553680779714119
ACH-000133,-0.31713029320008024
ACH-000137,-0.2631922037153908
ACH-000138,-0.1892591267878816
ACH-000142,-0.13941514665589574
ACH-000143,-0.3645757592674882
ACH-000146,-0.35489039420325064
ACH-000148,0.004373860688385096
ACH-000150,-0.5304693919448787
ACH-000152,-0.04963266482507344
ACH-000153,-0.19062440344014306
ACH-000159,-0.23966650057068264
ACH-000160,0.10489402076863644
ACH-000163,-0.25280553752791424
ACH-000167,0.8577841305462407
ACH-000168,-0.5021262835778929
ACH-000169,-0.3558339853479969
ACH-000178,-0.3151019158782854
ACH-000183,-0.4969333343434756
ACH-000188,-0.4469677521381473
ACH-000189,-0.12190230198570225
ACH-000190,-0.03953097918560818
ACH-000198,-0.350469034175083
ACH-000203,-0.3892007908861459
ACH-000204,-0.3833040539512407
ACH-000206,-0.4496411857744529
ACH-000207,-0.37848404706971295
ACH-000208,-0.14591764156781722
ACH-000210,0.0391395989881178
ACH-000211,-0.24047847704445574
ACH-000215,-0.1584832145952894
ACH-000221,-0.19606525944744652
ACH-000222,0.03885928383493482
ACH-000223,-0.3419682199239483
ACH-000226,-0.2710977846695976
ACH-000227,-0.3619130670335693
ACH-000228,-0.2140432961962881
ACH-000231,-0.2790566584974781
ACH-000232,-0.334469291531772
ACH-000233,-0.1715971479999826
ACH-000234,-0.4265417591206622
ACH-000235,-0.1435830752847585
ACH-000237,-0.19253018094334146
ACH-000238,-0.4511733933744386
ACH-000242,-0.26627176733093394
ACH-000243,-0.404765752464304
ACH-000244,-0.2771675162052101
ACH-000246,-0.20740818933560154
ACH-000248,-0.3477194536748488
ACH-000250,-0.15766329475590635
ACH-000251,-0.15295286774925146
ACH-000252,-0.06780722844659859
ACH-000253,-0.01845958478968453
ACH-000255,-0.7391621116210016
ACH-000256,-0.1929003106437134
ACH-000257,-0.6122890807228161
ACH-000258,-0.5105285917739241
ACH-000259,-0.3132333311005678
ACH-000260,-0.23736180463644074
