,POP5 (51367)
ACH-000004,-1.609044172385025
ACH-000005,-1.837919092091088
ACH-000007,-1.1109652491661068
ACH-000009,-1.2966984471679135
ACH-000011,-1.4250884973074769
ACH-000012,-1.1844303923706507
ACH-000013,-1.4864007904959942
ACH-000014,-1.2688753268448056
ACH-000015,-1.3677542853336633
ACH-000017,-1.4319983767048892
ACH-000018,-1.1816796144826809
ACH-000019,-0.9389175729305108
ACH-000021,-1.3398112341576125
ACH-000022,-1.3889088385493231
ACH-000025,-1.270195238458054
ACH-000028,-1.153999970573915
ACH-000030,-1.4588785310481969
ACH-000035,-1.3473315080301178
ACH-000036,-1.2823612206948716
ACH-000037,-1.295295039647638
ACH-000039,-1.6179446340135266
ACH-000040,-1.2779918760632183
ACH-000041,-1.142059576116759
ACH-000042,-1.4453483671600733
ACH-000045,-1.3443601793217688
ACH-000047,-1.1765229753599111
ACH-000052,-1.1496659988794835
ACH-000053,-1.2680829185406748
ACH-000054,-1.2764301325457197
ACH-000055,-1.5771387846360778
ACH-000060,-1.3550191760395154
ACH-000067,-1.5340897778043665
ACH-000070,-0.915510099009044
ACH-000075,-1.3085755857930623
ACH-000078,-1.2479609520959736
ACH-000082,-1.13390712577983
ACH-000085,-1.4016071872811608
ACH-000086,-1.1459148478084182
ACH-000087,-1.41844439521443
ACH-000092,-1.3059844959919
ACH-000095,-1.297915514441799
ACH-000097,-1.3248773741346234
ACH-000098,-1.323862689576612
ACH-000099,-1.1705797706532115
ACH-000108,-1.2656331619477517
ACH-000113,-1.1352406981651029
ACH-000116,-1.4263781871454435
ACH-000118,-1.166341680274065
ACH-000120,-1.2971595557931006
ACH-000123,-1.1744025378970644
ACH-000127,-1.2427037387363344
ACH-000128,-1.1444099857869872
ACH-000132,-1.3056010038498311
ACH-000133,-1.171865749117864
ACH-000137,-1.4290318108850255
ACH-000138,-1.3478607652890164
ACH-000142,-1.2571628032175706
ACH-000143,-1.2888656134422118
ACH-000146,-1.1203328946010571
ACH-000148,-1.387087656105689
ACH-000150,-1.4631735252139066
ACH-000152,-1.2393407520390731
ACH-000153,-1.546777094614508
ACH-000159,-1.2360555314583843
ACH-000160,-1.6409824122221244
ACH-000163,-1.5390766031019685
ACH-000167,-1.7244250727951091
ACH-000168,-1.4161880279698729
