,COPZ1 (22818)
ACH-000004,-1.0013510463211852
ACH-000005,-0.8259058891753667
ACH-000007,-0.8072337899446924
ACH-000009,-1.1618713480092864
ACH-000011,-0.8412885825854274
ACH-000012,-0.7362774701307947
ACH-000013,-0.7529074855141243
ACH-000014,-0.8520032708487341
ACH-000015,-0.8101719454110176
ACH-000017,-0.8961836165387688
ACH-000018,-1.0608813901407106
ACH-000019,-0.7955779720061968
ACH-000021,-0.9539163489642772
ACH-000022,-0.8883366641781313
ACH-000025,-1.152109720958682
ACH-000028,-0.8951251688600602
ACH-000030,-0.7836030743992971
ACH-000035,-0.92058397948062
ACH-000036,-1.0198556190560744
ACH-000037,-0.8497345176040162
ACH-000039,-0.8796031087844923
ACH-000040,-0.5798794399491427
ACH-000041,-0.7818862715470722
ACH-000042,-0.8535783729175922
ACH-000045,-0.84351392266544
ACH-000047,-0.8148328998876538
ACH-000052,-0.95532070960713
ACH-000053,-0.8610268999672811
ACH-000054,-0.8634318043256917
ACH-000055,-0.6460744858252223
ACH-000060,-0.976334122744112
ACH-000067,-0.9743292079327968
ACH-000070,-0.6366632418221957
ACH-000075,-0.6403680832781068
ACH-000078,-0.6618187731051859
ACH-000082,-1.0411936904216852
ACH-000085,-0.8042722103187776
ACH-000086,-1.0527012124159674
ACH-000087,-0.9346100221367662
ACH-000092,-0.9843797957673128
ACH-000095,-0.9743024279718018
ACH-000097,-0.9250268755893484
ACH-000098,-0.9062128792811808
ACH-000099,-0.7415390493434413
ACH-000108,-0.8786856785334253
ACH-000113,-1.0728113700013742
ACH-000116,-0.933285931831238
ACH-000118,-0.9163424440713156
ACH-000120,-0.7335840156625164
ACH-000123,-0.9021951638753632
ACH-000127,-0.9548418705387516
ACH-000128,-0.8703042722341119
ACH-000132,-0.97969553896978
ACH-000133,-0.8735860329616488
ACH-000137,-1.050737865349943
ACH-000138,-0.8722955662773345
ACH-000142,-0.7480275245608738
ACH-000143,-0.7579311672991487
ACH-000146,-0.9527536264746754
ACH-000148,-0.9790624846385816
ACH-000150,-0.8286436059150306
ACH-000152,-0.8952732671212084
