,DUS4L (11062)
ACH-000004,-0.07499441832556414
ACH-000005,-0.017651879221918288
ACH-000007,0.025239556500390028
ACH-000009,-0.07166705459510052
ACH-000011,-0.1847568073655002
ACH-000012,-0.053370888326271584
ACH-000013,0.0023269200277702346
ACH-000014,-0.3837316774042249
ACH-000015,-0.015194944704068682
ACH-000017,-0.01957050561327612
ACH-000018,-0.01734447821553826
ACH-000019,0.06144881761096616
ACH-000021,-0.20230949138740048
ACH-000022,-0.2168451260470433
ACH-000025,-0.12262024974512085
ACH-000028,0.06776659153983282
ACH-000030,0.01936508527406379
ACH-000035,-0.07093119476306753
ACH-000036,-0.09294605956822187
ACH-000037,-0.10164709834380006
ACH-000039,-0.007914093010867564
ACH-000040,-0.18616101422072934
ACH-000041,-0.028630872852013656
ACH-000042,-0.11289534911030155
ACH-000045,-0.08595569239748861
ACH-000047,-0.010293993805616656
ACH-000052,-0.1665241519580991
ACH-000053,-0.13798668071047054
ACH-000054,-0.04532768734686742
ACH-000055,0.007092248913656274
ACH-000060,-0.1435459676677081
ACH-000067,-0.3023267333024935
ACH-000070,-0.07449514691942273
ACH-000075,0.0219700011142723
ACH-000078,-0.07908783442052618
ACH-000082,-0.14209203072572302
ACH-000085,-0.02775782562355621
ACH-000086,0.057139956789666886
ACH-000087,-0.14818550459685834
ACH-000092,0.038374150464110565
ACH-000095,-0.13081995821593512
ACH-000097,-0.07226220096578982
ACH-000098,-0.07377781469560248
ACH-000099,0.025551343243596043
ACH-000108,-0.15726034883793327
ACH-000113,-0.010615912187347172
ACH-000116,-0.1185903707670224
ACH-000118,-0.04160046692461596
ACH-000120,-0.17284368257462776
ACH-000123,-0.1392609880076683
ACH-000127,-0.06500376960972998
ACH-000128,-0.20346000071492165
ACH-000132,0.0037245076632163756
ACH-000133,-0.0645213475952183
ACH-000137,-0.12801159728502765
ACH-000138,0.05208177828293795
ACH-000142,0.019188060344706475
ACH-000143,-0.2313891852639847
ACH-000146,-0.11139829862355714
ACH-000148,-0.15486835914152464
ACH-000150,0.10256512874855253
ACH-000152,-0.012443391507639595
ACH-000153,0.08057832445093144
ACH-000159,-0.09689693553238646
ACH-000160,-0.15626028321181426
ACH-000163,-0.03034353825888352
ACH-000167,0.026529450723029608
ACH-000168,-0.058277684423973714
ACH-000169,0.02844882005710735
