,TAC4 (255061)
ACH-000004,0.022073335689932617
ACH-000005,0.0032120547827323227
ACH-000007,-0.07872005666244565
ACH-000009,-0.2863135889673968
ACH-000011,0.013024376222096295
ACH-000012,-0.035764937821674204
ACH-000013,0.03268649396948824
ACH-000014,0.03413153863134138
ACH-000015,-0.0204760106842282
ACH-000017,-0.1515467382131796
ACH-000018,-0.12020140463484158
ACH-000019,-0.2039787746899163
ACH-000021,-0.06948970708641257
ACH-000022,0.015845003972413785
ACH-000025,-0.1112540665324672
ACH-000028,-0.2085548338653973
ACH-000030,-0.090114555160453
ACH-000035,-0.04923246283264618
ACH-000036,-0.11967014062216305
ACH-000037,0.05266959935845674
ACH-000039,-0.0583032562600509
ACH-000040,-0.02571427480641873
ACH-000041,0.004817428360064407
ACH-000042,-0.04592464249242139
ACH-000045,-0.052730492896516414
ACH-000047,-0.09796895466161598
ACH-000052,-0.1077982820602151
ACH-000053,-0.09956812430173463
ACH-000054,-0.16043868020173468
ACH-000055,-0.02475374836964411
ACH-000060,0.028213317800785287
ACH-000067,0.01728613045482991
ACH-000070,0.14533014164046326
ACH-000075,-0.05544215004008316
ACH-000078,0.04919990614220065
ACH-000082,-0.08867278283326185
ACH-000085,-0.021470187510041483
ACH-000086,-0.267949163399977
ACH-000087,-0.07146564631692816
ACH-000092,-0.11474911348529528
ACH-000095,-0.01249718285960014
ACH-000097,-0.02963663892667065
ACH-000098,-0.08494153695589851
ACH-000099,-0.014665043683024228
ACH-000108,-0.15237140153115025
ACH-000113,-0.027493466398522817
ACH-000116,-0.10240779285578554
ACH-000118,-0.015767484794654694
ACH-000120,-0.2467096890642787
ACH-000123,-0.0910984539571975
ACH-000127,0.008097118322767148
ACH-000128,-0.0781600687288216
ACH-000132,-0.020145671972834418
ACH-000133,-0.07946787820842485
ACH-000137,-0.20555298363525512
ACH-000138,-0.13642382859293933
ACH-000142,-0.14529771892281976
ACH-000143,0.07258140504166154
ACH-000146,0.007387381882234929
ACH-000148,-0.09805349178481963
ACH-000150,0.012775684971521659
ACH-000152,-0.06043489890244586
ACH-000153,-0.005580940836147128
ACH-000159,0.03468542543804499
ACH-000160,-0.2301975487493572
ACH-000163,-0.05555919256505658
ACH-000167,-0.3098554402480841
ACH-000168,-0.0590346709895489
