,HIST1H4L (8368)
ACH-000004,-0.04987271492710744
ACH-000005,-0.3220994593273038
ACH-000007,-0.16351954489680476
ACH-000009,0.057141174404095676
ACH-000011,-0.3675775137247751
ACH-000012,-0.09347204800536536
ACH-000013,-0.10653771873044818
ACH-000014,-0.2589775118872882
ACH-000015,-0.10387129892916112
ACH-000017,-0.0662426327360697
ACH-000018,-0.11955365700037796
ACH-000019,-0.004927861553051672
ACH-000021,-0.16031863856192646
ACH-000022,-0.1514279766084526
ACH-000025,-0.055294019321635225
ACH-000028,-0.13619129002714825
ACH-000030,-0.09841933153198984
ACH-000035,-0.3129148324174013
ACH-000036,-0.2382545699534261
ACH-000037,0.07180660143168903
ACH-000039,-0.0504847654535295
ACH-000040,-0.06207310762455792
ACH-000041,-0.16430604417723876
ACH-000042,-0.029296751382845036
ACH-000045,-0.16175334872633368
ACH-000047,-0.1524040760676542
ACH-000052,-0.012921210893699202
ACH-000053,-0.12239605492521323
ACH-000054,-0.06541940827005885
ACH-000055,-0.2170230896584547
ACH-000060,-0.2447569031986743
ACH-000067,-0.08663454172735265
ACH-000070,-0.12735232610119346
ACH-000075,-0.120244536906257
ACH-000078,-0.2262036040789701
ACH-000082,-0.21411932760012967
ACH-000085,-0.1974933114540796
ACH-000086,-0.1695126436274108
ACH-000087,-0.4170833386219493
ACH-000092,-0.01779773074226029
ACH-000095,-0.16416997931367205
ACH-000097,-0.07814348110817486
ACH-000098,-0.192251093555025
ACH-000099,-0.1333045544158197
ACH-000108,-0.1253654322490467
ACH-000113,-0.2383563932718268
ACH-000116,-0.1941997470904188
ACH-000118,-0.23209376150982144
ACH-000120,-0.163491853114928
ACH-000123,-0.04317345489594215
ACH-000127,-0.14102822295576142
ACH-000128,-0.0034440383755568213
ACH-000132,-0.141593810817464
ACH-000133,-0.07627125927665518
ACH-000137,-0.2414313033273183
ACH-000138,-0.16943305601881306
ACH-000142,-0.13456500754091094
ACH-000143,-0.030029049754283714
ACH-000146,-0.02230747528530656
ACH-000148,-0.1092930032458878
ACH-000150,-0.10037111370933313
ACH-000152,-0.17194074412429014
ACH-000153,-0.3983697298660829
ACH-000159,-0.054098657960504164
ACH-000160,-0.17368476328415286
ACH-000163,-0.15546134257281582
ACH-000167,0.5451666901047673
ACH-000168,-0.17951070258031715
ACH-000169,-0.2393159320694033
ACH-000178,-0.19194845723644946
ACH-000183,-0.091377690721272
ACH-000188,-0.24828409755530326
ACH-000189,-0.10886432281033508
ACH-000190,-0.07578300283757114
ACH-000198,-0.21475006764633295
ACH-000203,-0.07644666448789961
ACH-000204,0.04270612446284218
ACH-000206,-0.3790315941574689
ACH-000207,-0.3494069372433329
ACH-000208,-0.05894581989359739
ACH-000210,-0.0917068738749877
ACH-000211,-0.18617272319829475
ACH-000215,-0.14243451613247787
ACH-000221,-0.045186582426114015
ACH-000222,-0.16524328971002708
ACH-000223,-0.2324635488799673
ACH-000226,-0.06390571659708531
ACH-000227,-0.19186040281431632
ACH-000228,-0.2281030717112583
ACH-000231,-0.16676121468856128
ACH-000232,-0.07243679897843376
ACH-000233,-0.30703073442556605
ACH-000234,0.01615555437287496
ACH-000235,-0.11112197048711828
ACH-000237,-0.10060498164233847
ACH-000238,-0.2802700849753958
ACH-000242,-0.2774143611329077
ACH-000243,-0.09552155770012363
ACH-000244,-0.2361243412392303
ACH-000246,-0.16286858660430628
ACH-000248,-0.14707490392933315
ACH-000250,-0.154902445694957
ACH-000251,-0.3978695328513886
ACH-000252,-0.1901790518821492
ACH-000253,-0.13477003092144296
ACH-000255,-0.08201307492550362
ACH-000256,-0.05345254145489346
ACH-000257,-0.025287864988766576
ACH-000258,-0.05932081379354391
ACH-000259,-0.0801022104237471
ACH-000260,-0.08945531979147774
ACH-000261,-0.14962778069745142
ACH-000262,0.24943885865704346
ACH-000263,-0.29163335411287244
ACH-000264,-0.016341910233362716
ACH-000265,-0.17774100349810806
ACH-000266,-0.12818542859046006
ACH-000272,-0.04806604445819865
ACH-000274,-0.0813175336151908
ACH-000277,-0.10832119244245687
ACH-000278,-0.1306852580885898
ACH-000279,-0.1873245082953084
ACH-000280,-0.17494551355862398
ACH-000281,-0.26549498430601626
ACH-000288,-0.08907091986492227
ACH-000291,-0.0789830057402686
ACH-000293,-0.14364993551293034
ACH-000294,-0.11014782751142016
ACH-000295,-0.3818328764802424
ACH-000296,-0.4566634371709007
ACH-000302,-0.06003181507583567
ACH-000304,-0.04240636692883282
ACH-000307,-0.14144237382210634
ACH-000308,-0.2019154512305442
ACH-000310,-0.15704607561868056
ACH-000311,-0.06339249614252845
ACH-000312,-0.10730808353564296
ACH-000315,0.05946808154811521
ACH-000316,-0.059126624366458914
ACH-000317,-0.32708283860782394
ACH-000318,-0.1821567491098457
ACH-000319,-0.19239898987354168
ACH-000320,-0.3969126999793773
ACH-000322,-0.0298418320239222
ACH-000323,-0.2325548616445106
ACH-000324,-0.08917634578066215
ACH-000329,-0.17593796155577762
ACH-000330,-0.03671805448512673
ACH-000331,-0.16240175618204225
ACH-000332,-0.14443057922639374
ACH-000334,-0.31720563751690634
ACH-000335,-0.19716841715565306
ACH-000336,-0.17913275496577044
ACH-000337,0.10418804320798287
ACH-000338,-0.8753380436394507
ACH-000339,-0.12528727684706184
ACH-000341,-0.1477865403154386
ACH-000348,-0.07915441430443161
ACH-000350,-0.08697688362052855
ACH-000352,-0.0979172657401036
ACH-000356,-0.013560451901751092
ACH-000361,-0.3218510160132192
ACH-000362,-0.3476681824438956
ACH-000363,-0.16123548317314007
ACH-000364,-0.09708084382005892
ACH-000365,-0.10657069692103806
ACH-000366,-0.06152316015892281
ACH-000368,0.04108958564159351
ACH-000374,-0.2993368991241151
ACH-000375,-0.10850066601057932
ACH-000376,-0.02346347158969884
ACH-000381,-0.062053537158632814
ACH-000383,-0.13841251760243814
ACH-000387,-0.17476696121734953
ACH-000389,-0.07747624362913713
ACH-000390,-0.2045336750300072
ACH-000393,-0.2321329372068663
ACH-000395,0.02198280016355044
ACH-000396,-0.14810773182262071
ACH-000397,-0.1923337935139294
ACH-000401,-0.025297448998889943
