,YJEFN3 (374887)
ACH-000004,-0.19325694834510015
ACH-000005,-0.26773668481731544
ACH-000007,-0.21242896883343185
ACH-000009,-0.3192114962806855
ACH-000011,-0.3481175195864901
ACH-000012,-0.2692465224419933
ACH-000013,-0.43743866562201533
ACH-000014,-0.1943159822657483
ACH-000015,-0.3448407427068796
ACH-000017,-0.3030482490677818
ACH-000018,-0.4977817066816748
ACH-000019,-0.3693996135936372
ACH-000021,-0.3913042900331976
ACH-000022,-0.3913011640025573
ACH-000025,-0.28349907605909025
ACH-000028,-0.337300967665273
ACH-000030,-0.3452078268216785
ACH-000035,-0.370079638667314
ACH-000036,-0.4566627577774528
ACH-000037,-0.30492873642082113
ACH-000039,-0.16106106498415354
ACH-000040,-0.5213977954199701
ACH-000041,-0.3246255954105663
ACH-000042,-0.4908711514089449
ACH-000045,-0.5602818006199962
ACH-000047,-0.4014707830414354
ACH-000052,-0.3444284148814993
ACH-000053,-0.2530984518509847
ACH-000054,-0.35749596325711885
ACH-000055,-0.4040246634178479
ACH-000060,-0.4690110220532052
ACH-000067,-0.454784392830746
ACH-000070,-0.34686231303854154
ACH-000075,-0.5236536464236898
ACH-000078,-0.18103902597094693
ACH-000082,-0.3367427195523656
ACH-000085,-0.17989261895694858
ACH-000086,-0.4747676197385139
ACH-000087,-0.11555481126312594
ACH-000092,-0.4336709235788072
ACH-000095,-0.3074565300717476
ACH-000097,-0.3921769882741091
ACH-000098,-0.4044333667667536
ACH-000099,-0.27607499464882146
ACH-000108,-0.25874750075693315
ACH-000113,-0.3555900802980061
ACH-000116,-0.3467301967518964
ACH-000118,-0.4006676000629308
ACH-000120,-0.270376940642937
ACH-000123,-0.3806620130276681
ACH-000127,-0.338464202306576
ACH-000128,-0.2058474436200933
ACH-000132,-0.2924399024098676
ACH-000133,-0.282478517844011
ACH-000137,-0.3664582650266524
ACH-000138,-0.3663461752747037
ACH-000142,-0.4870155691728956
ACH-000143,-0.5531973091361275
ACH-000146,-0.2842600353928001
ACH-000148,-0.17972316936834146
ACH-000150,-0.3382752674112989
ACH-000152,-0.4063870547459073
ACH-000153,-0.27360856661391325
ACH-000159,-0.28391554399683283
ACH-000160,-0.13879548321320176
ACH-000163,-0.27110575591816083
ACH-000167,0.23030050791657955
ACH-000168,-0.27096614633925376
ACH-000169,-0.29169845804891315
ACH-000178,-0.3745298882613325
ACH-000183,-0.3547765762820709
ACH-000188,-0.41893152453227617
ACH-000189,-0.29832555364067337
ACH-000190,-0.3501596499568421
ACH-000198,-0.3047889266033069
ACH-000203,-0.3553308435390681
ACH-000204,-0.3770778654151409
ACH-000206,-0.5395446314027371
ACH-000207,-0.2863711213347961
ACH-000208,-0.27773470884780804
ACH-000210,-0.6388679172206418
ACH-000211,-0.43234385470744185
ACH-000215,-0.23199338596916114
ACH-000221,-0.36379752790607656
ACH-000222,-0.4266671153413552
ACH-000223,-0.3722519782355339
ACH-000226,-0.4153491378771335
ACH-000227,-0.4368558248755001
ACH-000228,-0.4625051571367703
ACH-000231,-0.24669276523188005
ACH-000232,-0.5176540846747419
ACH-000233,-0.3615577568923159
ACH-000234,-0.2401666027585937
ACH-000235,-0.3667696373746425
ACH-000237,-0.3344134874828466
ACH-000238,-0.2401594112974825
ACH-000242,-0.045453175393394586
ACH-000243,-0.3832722853475221
ACH-000244,-0.4934688871335834
ACH-000246,-0.2449219041856897
ACH-000248,-0.3263760485912244
ACH-000250,-0.3513226051207612
ACH-000251,-0.4542533985624239
ACH-000252,-0.4399485827369176
ACH-000253,-0.2775384361694458
ACH-000255,-0.3719317901548687
ACH-000256,-0.21325747299216455
ACH-000257,-0.24484185963802865
ACH-000258,-0.022856810437017584
ACH-000259,-0.2468958224047452
ACH-000260,-0.3069319629198036
ACH-000261,-0.36955573429975735
ACH-000262,-0.16360272835873435
ACH-000263,-0.32314012161028355
ACH-000264,-0.3923602600839252
ACH-000265,-0.2597082188454386
ACH-000266,-0.279149122909273
ACH-000272,-0.27082636768400514
ACH-000274,-0.24307164815174015
ACH-000277,-0.31011691912280465
ACH-000278,-0.4574830356313486
ACH-000279,-0.07889666129846389
ACH-000280,-0.30240634097360264
ACH-000281,-0.14302213889864654
ACH-000288,-0.27355411314826555
ACH-000291,-0.15039005310956652
ACH-000293,-0.16666533067999226
ACH-000294,-0.3864809353934871
ACH-000295,-0.25672146573569715
ACH-000296,-0.3964927783699637
ACH-000302,-0.4636296128293634
ACH-000304,-0.5152610390066223
ACH-000307,-0.29544286631141725
ACH-000308,-0.309556968148996
ACH-000310,-0.3162283782519065
ACH-000311,-0.27951459666477396
ACH-000312,-0.22283356835307436
ACH-000315,-0.21126638165580555
ACH-000316,-0.14579830982806344
ACH-000317,-0.23853359968449356
ACH-000318,-0.24470475452738816
ACH-000319,-0.2179292359156693
ACH-000320,-0.28294415923228355
ACH-000322,-0.4210600882459203
ACH-000323,-0.2987438514262292
ACH-000324,-0.15358129075209986
ACH-000329,-0.18178198411424476
ACH-000330,-0.26702585219217023
ACH-000331,-0.3911193554350908
ACH-000332,-0.3610022509309909
ACH-000334,-0.5211902741323948
ACH-000335,-0.2564764413564809
ACH-000336,-0.23143437908462036
ACH-000337,-0.2499863062039201
ACH-000338,0.1949013925085444
ACH-000339,-0.3045557404989284
ACH-000341,-0.223758368422342
ACH-000348,-0.23444326716281386
ACH-000350,-0.2376752673462532
ACH-000352,-0.21623856612382564
ACH-000356,-0.5799696503304882
ACH-000361,-0.3059857082575281
ACH-000362,-0.17806592785542405
ACH-000363,-0.39189245857360216
ACH-000364,-0.4439900366024743
ACH-000365,-0.3163381225057679
ACH-000366,-0.3826930991756111
ACH-000368,-0.3782106125203751
ACH-000374,-0.5035189371540986
ACH-000375,-0.1288201727998129
ACH-000376,-0.2470297819508228
ACH-000381,-0.12700571108525818
ACH-000383,-0.3364392318739051
ACH-000387,-0.3323263086241659
ACH-000389,-0.4243563945591379
ACH-000390,-0.4256935693026028
ACH-000393,-0.3585230846300801
ACH-000395,-0.33988371854799104
ACH-000396,-0.6776670621977048
ACH-000397,-0.2604434056828039
ACH-000401,-0.19610610421355595
ACH-000402,-0.4963491719716526
ACH-000403,-0.31502220745608084
ACH-000404,-0.2693851493102861
ACH-000406,-0.2585514751641543
ACH-000407,-0.2749876264037254
ACH-000408,-0.2299315959092712
ACH-000410,-0.2878407974137913
ACH-000411,-0.3685812863129138
ACH-000414,-0.2149761600100026
ACH-000415,-0.3128381697725709
ACH-000416,-0.370793299952201
ACH-000420,-0.4414835565567061
ACH-000421,-0.32414076196577984
