,CR1L (1379)
ACH-000004,-0.4188709964240024
ACH-000005,-0.0903301986920257
ACH-000007,-0.613058356421739
ACH-000009,-0.3729957012929686
ACH-000011,-0.2416885144515689
ACH-000012,-0.5430587667482707
ACH-000013,-0.23243597537478897
ACH-000014,-0.1335998078297121
ACH-000015,-0.12430016152029558
ACH-000017,-0.411712086526104
ACH-000018,-0.2681068483459237
ACH-000019,-0.28122270446291736
ACH-000021,-0.23441423860869326
ACH-000022,-0.3952880206812568
ACH-000025,-0.3779372739624937
ACH-000028,-0.29867303020524794
ACH-000030,-0.22157825695546834
ACH-000035,-0.1509614778774332
ACH-000036,-0.4564322740505031
ACH-000037,-0.25185569956423465
ACH-000039,-0.3326635136697441
ACH-000040,-0.2180745179334097
ACH-000041,-0.08069459259173445
ACH-000042,-0.3677114658629453
ACH-000045,-0.15450534722366072
ACH-000047,-0.2519805669575068
ACH-000052,-0.2927711516028837
ACH-000053,-0.20506623652759665
ACH-000054,-0.33509292053283496
ACH-000055,-0.1574959283715168
ACH-000060,-0.21001930389291107
ACH-000067,-0.048322067082242015
ACH-000070,-0.328675233532271
ACH-000075,-0.2764040417971105
ACH-000078,-0.3357731867077384
ACH-000082,-0.3281980091751742
ACH-000085,-0.5027614278713629
ACH-000086,-0.44751838156812196
ACH-000087,-0.1720808944425733
ACH-000092,-0.3886512080762432
ACH-000095,-0.6253878548332027
ACH-000097,-0.39248263354412893
ACH-000098,-0.2366467713582502
ACH-000099,-0.3792483015268315
ACH-000108,-0.18972470163492136
ACH-000113,-0.3096287332851321
ACH-000116,-0.28567359236365103
ACH-000118,-0.13929446666492
ACH-000120,-0.18499591721553527
ACH-000123,-0.3601614471686883
ACH-000127,-0.2403260286730396
ACH-000128,-0.32571428401652425
ACH-000132,-0.40544428000846827
ACH-000133,-0.2271755609040752
ACH-000137,-0.02167736588908319
ACH-000138,-0.22223927138026225
ACH-000142,-0.19824009597419645
ACH-000143,-0.01056583891861221
ACH-000146,-0.3419296984856392
ACH-000148,-0.41329368065764377
ACH-000150,-0.3813878848526043
ACH-000152,-0.21946489174380807
ACH-000153,-0.4292860027875965
ACH-000159,-0.2404519053134898
ACH-000160,-0.31212164963377903
ACH-000163,-0.1974201737245565
ACH-000167,-0.7170248092151359
ACH-000168,-0.1975054004307324
ACH-000169,-0.10529969595946548
ACH-000178,-0.3057519167219635
ACH-000183,-0.09601437195868842
ACH-000188,-0.18724940592184186
ACH-000189,-0.3624251667248047
ACH-000190,0.0042343160270794525
ACH-000198,-0.14837574376117454
ACH-000203,-0.3588789309454442
ACH-000204,-0.2884332439827326
ACH-000206,-0.22299786952779008
ACH-000207,-0.10469970093891864
ACH-000208,-0.4010290827088042
ACH-000210,-0.06320892939774171
ACH-000211,-0.2249866868325619
ACH-000215,-0.3915908838815457
ACH-000221,-0.11215329354815867
ACH-000222,-0.1895231663066678
ACH-000223,-0.24256567239916565
ACH-000226,-0.6198657357001873
ACH-000227,-0.5052000316533108
ACH-000228,-0.22262266648056164
ACH-000231,-0.16217310309809807
ACH-000232,-0.16851427420659773
ACH-000233,-0.3890404532325813
ACH-000234,-0.38573104623902255
ACH-000235,-0.4182415064603199
ACH-000237,-0.2975356568759516
ACH-000238,-0.1976767905006332
ACH-000242,-0.3848012724432475
ACH-000243,-0.1787727011481476
ACH-000244,-0.3997186135059555
ACH-000246,-0.3340651009088728
ACH-000248,-0.14490005332303638
ACH-000250,-0.1758124193001429
ACH-000251,-0.19131476354589105
ACH-000252,-0.21140151361437945
ACH-000253,-0.443281404969489
ACH-000255,-0.2079729622416664
