,NAP1L4 (4676)
ACH-000004,0.04678011274037284
ACH-000005,0.06573029863394465
ACH-000007,-0.12443582479311538
ACH-000009,-0.04300289794249961
ACH-000011,-0.3395322837350864
ACH-000012,-0.2536459671883283
ACH-000013,-0.2551382655269904
ACH-000014,-0.21860736383999266
ACH-000015,-0.02455934329759154
ACH-000017,-0.07084276854820502
ACH-000018,-0.09113766210373683
ACH-000019,-0.349706524750539
ACH-000021,-0.15049539411218846
ACH-000022,-0.05226390634762256
ACH-000025,-0.18305387004106988
ACH-000028,-0.22830427592042646
ACH-000030,-0.05533458653507115
ACH-000035,-0.27127476836888426
ACH-000036,-0.2188480222095388
ACH-000037,-0.1177885203966966
ACH-000039,-0.1676678270035938
ACH-000040,-0.2518017776301709
ACH-000041,-0.25031449573908593
ACH-000042,-0.2647467680239702
ACH-000045,-0.062442464682266614
ACH-000047,-0.19193199296878533
ACH-000052,-0.1881629056068544
ACH-000053,-0.030470837683156955
ACH-000054,-0.13203366185137605
ACH-000055,-0.1121290493183094
ACH-000060,-0.10511876785248662
ACH-000067,-0.1483375517498575
ACH-000070,-0.2161287603284002
ACH-000075,0.05486291357374088
ACH-000078,-0.3114974281405846
ACH-000082,-0.15527831531587938
ACH-000085,-0.1309700633136122
ACH-000086,-0.3226440384642593
ACH-000087,0.0395612967213544
ACH-000092,-0.244000910826182
ACH-000095,-0.16350678823371054
ACH-000097,-0.2571087803754476
ACH-000098,-0.19219892445398676
ACH-000099,-0.26170429317915034
ACH-000108,-0.21340986274613255
ACH-000113,-0.13821612016821494
ACH-000116,-0.14282573542659474
ACH-000118,0.009340914921587631
ACH-000120,-0.22979853885724544
ACH-000123,-0.25930672378317804
ACH-000127,-0.22645812461443734
ACH-000128,-0.08096973191213902
ACH-000132,-0.0575081837787438
ACH-000133,-0.1688490085665827
ACH-000137,-0.2918706399212869
ACH-000138,-0.18159624853854472
ACH-000142,0.011959748850132264
ACH-000143,-0.1943967186815087
ACH-000146,-0.009612925857105666
ACH-000148,-0.20182265741200325
ACH-000150,-0.13197254123282368
ACH-000152,-0.06027300524228332
ACH-000153,0.02210623727182037
ACH-000159,-0.026065473131357174
ACH-000160,0.07021302134205519
ACH-000163,-0.03946770268013496
ACH-000167,0.4869994429427978
ACH-000168,-0.17705307196378894
ACH-000169,-0.2306027385642401
ACH-000178,-0.09075960545423144
ACH-000183,-0.15578317833932814
ACH-000188,-0.19264573651318084
ACH-000189,-0.10128338226166383
ACH-000190,0.17169273249210432
ACH-000198,-0.04680461845421981
ACH-000203,-0.6825563505041766
ACH-000204,-0.13700411177964847
ACH-000206,-0.126424535417997
ACH-000207,-0.011262834003310185
ACH-000208,-0.5460709891659825
ACH-000210,0.06000062185240659
ACH-000211,-0.16901807468398328
ACH-000215,-0.14115163809544756
ACH-000221,-0.010449662231058345
ACH-000222,-0.25346322824353223
ACH-000223,-0.14532566897750934
ACH-000226,-0.09233088302396393
ACH-000227,0.01027118059842683
ACH-000228,-0.16033187881998734
ACH-000231,-0.1196809137432249
ACH-000232,-0.14728799815110108
ACH-000233,-0.1254040235197838
ACH-000234,-0.15867399157711198
ACH-000235,-0.07421585717555837
ACH-000237,-0.03046157553901725
ACH-000238,-0.17822226398421573
ACH-000242,-0.0697862098324011
ACH-000243,-0.04557967923422855
ACH-000244,-0.2067380216176944
ACH-000246,-0.1898419159473794
ACH-000248,0.05974395357312691
ACH-000250,-0.12160379057023225
ACH-000251,-0.1713985077340506
ACH-000252,-0.2146783977404165
ACH-000253,-0.2629558846691973
ACH-000255,-0.013607760605942723
ACH-000256,-0.3679129172141217
ACH-000257,-0.007910838553607493
ACH-000258,-0.1375904872099051
ACH-000259,-0.14157990675459928
ACH-000260,-0.08349969930316209
ACH-000261,-0.20965351163639484
ACH-000262,-0.10275826591413252
ACH-000263,-0.11076546372939504
ACH-000264,-0.09970237653620356
ACH-000265,-0.04845433006530995
ACH-000266,-0.11838000941919676
ACH-000272,-0.0813728174543789
ACH-000274,-0.14069260923093962
ACH-000277,-0.30548431332211085
