,ALX1 (8092)
ACH-000004,-0.308664481749938
ACH-000005,0.06588666845929637
ACH-000007,-0.27767434094921906
ACH-000009,-0.1426593696368396
ACH-000011,-0.034019148003043245
ACH-000012,-0.15174622938646007
ACH-000013,-0.09725477047565101
ACH-000014,-0.34111107974785737
ACH-000015,-0.15359194956212044
ACH-000017,-0.12022918085955475
ACH-000018,-0.15355164506922292
ACH-000019,-0.180770320407758
ACH-000021,-0.2693443564890172
ACH-000022,-0.13963330519585426
ACH-000025,-0.026380775322722413
ACH-000028,-0.2586135774405359
ACH-000030,-0.05958279297815005
ACH-000035,-0.015279302358168791
ACH-000036,-0.10200324160165786
ACH-000037,-0.16413636343799926
ACH-000039,-0.19036613793089216
ACH-000040,-0.1126967092725122
ACH-000041,0.08684801554312233
ACH-000042,-0.2805379746522039
ACH-000045,-0.07424222896987427
ACH-000047,-0.0313621936712211
ACH-000052,-0.3446444494569879
ACH-000053,-0.04753975791129866
ACH-000054,-0.15518657790323356
ACH-000055,-0.24854562408930445
ACH-000060,-0.1939812701993052
ACH-000067,-0.22947106807692166
ACH-000070,-0.02823032277254705
ACH-000075,-0.05641866617447484
ACH-000078,-0.2710448683602413
ACH-000082,-0.3224154937046416
ACH-000085,-0.17981446483910588
ACH-000086,-0.27601005211602536
ACH-000087,-0.2769195064689069
ACH-000092,-0.11606433689553307
ACH-000095,-0.09924928351167814
ACH-000097,-0.1466254913143415
ACH-000098,-0.09770261191912698
ACH-000099,-0.15665916120516715
ACH-000108,-0.027477046612650036
ACH-000113,0.09839711842863016
ACH-000116,-0.07481149059574288
ACH-000118,-0.15333029590059102
ACH-000120,-0.06830817038436023
ACH-000123,-0.19976816139261366
ACH-000127,-0.20592137532149685
ACH-000128,-0.2839496186770217
ACH-000132,-0.005439566530104164
ACH-000133,-0.13885335251756906
ACH-000137,-0.2679598623271447
ACH-000138,-0.15255860149775466
ACH-000142,-0.06797931837153343
ACH-000143,-0.2367066932111389
ACH-000146,-0.028865439649461963
ACH-000148,-0.1268338465366308
ACH-000150,-0.058609467675648785
ACH-000152,-0.2565766213100259
ACH-000153,-0.19056179614701896
ACH-000159,-0.1495888319786333
ACH-000160,-0.1644160677218274
ACH-000163,-0.21289382036941426
ACH-000167,-0.3889130392094492
ACH-000168,0.02265176964878557
ACH-000169,-0.15233130640845824
ACH-000178,-0.008967010273234967
ACH-000183,0.0189854802492083
ACH-000188,-0.16207725685309915
ACH-000189,0.07800069805866505
ACH-000190,-0.05814684769590471
ACH-000198,-0.01910996330567851
ACH-000203,-0.3148952352915265
ACH-000204,-0.3396941941641133
ACH-000206,0.0832464413430071
ACH-000207,0.11556218894183315
ACH-000208,0.07866322711021176
ACH-000210,-0.04555391474848113
ACH-000211,-0.13817143905463006
ACH-000215,-0.16444636106994398
ACH-000221,-0.055497202194451305
ACH-000222,-0.05253056111375886
ACH-000223,-0.13538265305478678
ACH-000226,-0.3318322097820302
ACH-000227,0.014925237761892102
ACH-000228,-0.021953035202549303
ACH-000231,-0.08502102929267137
ACH-000232,-0.2221714772362749
ACH-000233,-0.02195184619028577
ACH-000234,-0.3696498079860019
ACH-000235,-0.21792267446763688
ACH-000237,-0.29316422857779256
ACH-000238,-0.2082100494955889
ACH-000242,-0.27995975492702263
ACH-000243,-0.16534940320613356
ACH-000244,0.08225700112782859
ACH-000246,-0.11885945386361073
ACH-000248,-0.16271282382746302
ACH-000250,-0.08271390122853126
ACH-000251,0.0371448970518219
ACH-000252,-0.08140779122559673
ACH-000253,-0.23982729061455804
ACH-000255,-0.082210736824914
ACH-000256,0.008210277151770019
ACH-000257,-0.1387920311311771
ACH-000258,0.021838787566940743
ACH-000259,-0.21481122206908573
ACH-000260,-0.15474299191709825
ACH-000261,-0.12828788118992224
ACH-000262,0.017450535133479727
ACH-000263,-0.2760284742897472
ACH-000264,-0.10440542933673312
ACH-000265,-0.15900399863912196
ACH-000266,-0.1856474521799638
ACH-000272,-0.1124248191969894
ACH-000274,-0.04248089880710279
ACH-000277,-0.0977216660378816
ACH-000278,-0.29355998578904163
ACH-000279,-0.1924240979737229
ACH-000280,-0.0435067513225227
ACH-000281,-0.18112006274174947
ACH-000288,-0.08390267595314864
ACH-000291,-0.030236663459153625
ACH-000293,-0.09566223307918
ACH-000294,-0.037895730908671335
ACH-000295,0.032737241608883506
ACH-000296,-0.13450365614339724
ACH-000302,-0.13204874311714282
ACH-000304,-0.16318626617456242
ACH-000307,-0.13544738503139855
ACH-000308,-0.11929380384128214
ACH-000310,-0.1374811968715617
ACH-000311,-0.15031583890658226
ACH-000312,-0.08717367464232212
ACH-000315,-0.20928012873559085
ACH-000316,-0.033619058768873764
ACH-000317,-0.12027232543225633
ACH-000318,-0.19900041301620214
ACH-000319,-0.10268266692121077
ACH-000320,-0.1086413684109604
ACH-000322,-0.3033079144441905
ACH-000323,-0.01567731288033201
ACH-000324,-0.1089172178286804
ACH-000329,-0.15644984539768012
ACH-000330,-0.170363611660954
ACH-000331,-0.1820765579893864
ACH-000332,-0.14907359641540868
ACH-000334,0.10115652418509748
ACH-000335,-0.13419756642094727
ACH-000336,0.1753676001928664
ACH-000337,0.04724688084436434
ACH-000338,-0.5977025088754705
ACH-000339,-0.21998906055303635
ACH-000341,-0.20262170260832876
ACH-000348,-0.17119700465827425
ACH-000350,-0.0565942928593937
ACH-000352,-0.09119263579358126
ACH-000356,-0.08387931458451191
ACH-000361,0.012475678685048813
ACH-000362,-0.12422937174745385
ACH-000363,-0.12077147801871055
ACH-000364,-0.16487291623430098
ACH-000365,-0.2000314186946611
ACH-000366,-0.12615757123827656
ACH-000368,-0.0758526642125777
ACH-000374,-0.06466771571546734
ACH-000375,-0.16812514604858514
ACH-000376,-0.13353594989512382
