,BET1 (10282)
ACH-000004,-0.6703593668435947
ACH-000005,-0.5752858530989878
ACH-000007,-0.3911052813075399
ACH-000009,-0.3358805228949417
ACH-000011,-0.24598815068043955
ACH-000012,-0.37675434442838096
ACH-000013,-0.4890719817899394
ACH-000014,-0.25720442671482346
ACH-000015,-0.2400283051469735
ACH-000017,-0.12371633725393699
ACH-000018,-0.43448316819240107
ACH-000019,-0.4077074142034648
ACH-000021,-0.559974680416076
ACH-000022,-0.24123721054696814
ACH-000025,-0.3774571200167828
ACH-000028,-0.16551009813184364
ACH-000030,-0.21865337199470614
ACH-000035,-0.5550753606397619
ACH-000036,-0.2872867374253889
ACH-000037,-0.19158543697978705
ACH-000039,-0.261546343225642
ACH-000040,-0.2341735665418333
ACH-000041,-0.27185178290532397
ACH-000042,-0.26765644297411434
ACH-000045,-0.4071453235907228
ACH-000047,-0.4126379270298255
ACH-000052,-0.4750239140335397
ACH-000053,-0.3935018767984325
ACH-000054,-0.4154130475253415
ACH-000055,-0.5841603166803145
ACH-000060,-0.3119904923979901
ACH-000067,-0.2602267631454803
ACH-000070,-0.31944552724595104
ACH-000075,-0.35968933867072805
ACH-000078,-0.144325743328388
ACH-000082,-0.5680844854375983
ACH-000085,-0.6042795751630835
ACH-000086,-0.27728218271670463
ACH-000087,-0.4455133014392075
ACH-000092,-0.4379946003382624
ACH-000095,-0.48380949435219
ACH-000097,-0.4808296293446805
ACH-000098,-0.33652893678289186
ACH-000099,-0.31957111359035617
ACH-000108,-0.6191270819512078
ACH-000113,-0.25790597138390764
ACH-000116,-0.40811291326477583
ACH-000118,-0.4516417786005934
ACH-000120,-0.3963651698842211
ACH-000123,-0.3185832796592276
ACH-000127,-0.4218189077970895
ACH-000128,-0.4037027581381106
ACH-000132,-0.6415219557751364
ACH-000133,-0.33608524722576955
ACH-000137,-0.4668117445768621
ACH-000138,-0.27466180208815666
ACH-000142,-0.122133649074536
ACH-000143,-0.5250736196502941
ACH-000146,-0.4270324428655579
ACH-000148,-0.3478879603403517
ACH-000150,-0.17438943595525627
ACH-000152,-0.5354088242529654
ACH-000153,-0.6090344838253695
ACH-000159,-0.3399501224486741
ACH-000160,-0.4460081130239209
ACH-000163,-0.3497649802595237
ACH-000167,-0.647214069693037
ACH-000168,-0.2424335360375833
ACH-000169,-0.26763521279480074
ACH-000178,-0.25760999227026377
ACH-000183,-0.22287735140031706
ACH-000188,-0.20414896955110048
ACH-000189,-0.5216178823066153
ACH-000190,-0.21445328710788025
ACH-000198,-0.3279683911248707
ACH-000203,-0.1113179292881144
ACH-000204,-0.2770672184972055
ACH-000206,-0.3795709883574464
ACH-000207,-0.3091659395575478
ACH-000208,-0.5080009642755399
ACH-000210,-0.2947422268320831
ACH-000211,-0.3623126056360292
ACH-000215,-0.045201036681018034
ACH-000221,-0.4550202926627323
ACH-000222,-0.1230879069109148
ACH-000223,-0.5193652866957267
ACH-000226,-0.3889928866985151
ACH-000227,-0.3423073114791788
ACH-000228,-0.43483629703840704
ACH-000231,-0.3730880382595496
ACH-000232,-0.223881883474474
ACH-000233,-0.4497746562361933
ACH-000234,-0.3283337533226718
ACH-000235,-0.2981623437864741
ACH-000237,-0.4338027704030247
ACH-000238,-0.21848211630050632
ACH-000242,-0.2586174415789649
ACH-000243,-0.2536501818401187
ACH-000244,-0.3774745170965163
ACH-000246,-0.23915490373768905
ACH-000248,-0.16459896141474098
ACH-000250,-0.13316931966831616
ACH-000251,-0.2876798282029065
ACH-000252,-0.4922441834968814
ACH-000253,-0.4856029708769853
ACH-000255,-0.5646160810450435
ACH-000256,-0.2606902939903963
ACH-000257,-0.4545022832001763
ACH-000258,-0.14931339946512734
ACH-000259,-0.26889311232256285
ACH-000260,-0.4573541636221898
ACH-000261,-0.3207865637671536
ACH-000262,-0.3129024609773705
ACH-000263,-0.3108032162137432
ACH-000264,-0.315119736749542
ACH-000265,-0.4282236283363664
ACH-000266,-0.443301702451512
ACH-000272,-0.3856536168596778
ACH-000274,-0.30222770286983225
ACH-000277,-0.5531328922400527
ACH-000278,-0.31919715703334056
ACH-000279,-0.3629515595260991
ACH-000280,-0.3479407152746845
ACH-000281,-0.26004863035204906
ACH-000288,-0.2234420055453488
ACH-000291,-0.2144176544941097
ACH-000293,-0.445980092981697
ACH-000294,-0.15171360515481588
ACH-000295,-0.3587089852947136
ACH-000296,-0.4386520391618869
ACH-000302,-0.437383949717062
ACH-000304,-0.2803033927310264
ACH-000307,-0.4047752024101049
ACH-000308,-0.3598705112002255
ACH-000310,-0.3678811897077449
ACH-000311,-0.2209319142329192
ACH-000312,-0.37632089764610144
ACH-000315,-0.3163754187060703
ACH-000316,-0.26870051917547666
ACH-000317,-0.3468180131537069
ACH-000318,-0.5391920912103313
ACH-000319,-0.5074726592528326
ACH-000320,-0.194937649453802
ACH-000322,-0.1987353936544516
ACH-000323,-0.27151110077328383
ACH-000324,-0.4156397031550761
ACH-000329,-0.21844727510881615
ACH-000330,-0.5589788991875484
ACH-000331,-0.4934935387122565
ACH-000332,-0.3267963470042506
ACH-000334,-0.34525686274425504
ACH-000335,-0.21233298300129436
ACH-000336,-0.058453811063823566
ACH-000337,-0.5651045777075313
ACH-000338,-0.3123736192999599
ACH-000339,-0.3090656588634676
ACH-000341,-0.2652578601001675
ACH-000348,-0.3860986219694553
ACH-000350,-0.2806706019508958
ACH-000352,-0.4768140887249124
ACH-000356,-0.404443402880436
ACH-000361,-0.2688759454109687
ACH-000362,-0.3140346816782369
ACH-000363,-0.4088712583297732
ACH-000364,-0.32304989847173604
