,ICMT (23463)
ACH-000004,-0.2496156787135768
ACH-000005,-0.2324887794389652
ACH-000007,-0.15236589759279434
ACH-000009,-0.4093695230329013
ACH-000011,-0.426971346493928
ACH-000012,-0.09189413585925736
ACH-000013,-0.1664201077605775
ACH-000014,-0.16477665220941234
ACH-000015,-0.2669696116852086
ACH-000017,-0.2710061917304074
ACH-000018,-0.2385949547173686
ACH-000019,0.016065234679817728
ACH-000021,-0.1774033874881926
ACH-000022,-0.34861870928099264
ACH-000025,-0.3683845207586553
ACH-000028,-0.009845087894623615
ACH-000030,-0.29623698404072296
ACH-000035,-0.475329119845088
ACH-000036,-0.4448337418712491
ACH-000037,-0.3311245149983722
ACH-000039,-0.14080206972036605
ACH-000040,-0.3230247743145745
ACH-000041,-0.1948975361266659
ACH-000042,-0.24614469355062885
ACH-000045,0.1439752817613333
ACH-000047,-0.13309046859460374
ACH-000052,-0.0108616897063986
ACH-000053,-0.1031742130144587
ACH-000054,-0.4417618749063049
ACH-000055,-0.1429969814964032
ACH-000060,-0.5198307810128704
ACH-000067,-0.19737696953924888
ACH-000070,-0.4623608755847301
ACH-000075,-0.045423469009220264
ACH-000078,-0.22718772307280524
ACH-000082,-0.23909495268447126
ACH-000085,-0.12849998513994304
ACH-000086,-0.1827545829849336
ACH-000087,-0.4356775686067188
ACH-000092,-0.2791447229761574
ACH-000095,-0.32485228263002164
ACH-000097,-0.16782539090993198
ACH-000098,-0.33912032014295146
ACH-000099,-0.28880685299524833
ACH-000108,-0.2733867586306668
ACH-000113,-0.2884493154639966
ACH-000116,-0.25087647233646915
ACH-000118,-0.2363287016575688
ACH-000120,-0.36168774499473744
ACH-000123,-0.3853238298199914
ACH-000127,-0.29672824663223285
ACH-000128,-0.2820729962811554
ACH-000132,-0.055819359150621466
ACH-000133,-0.05856175869507198
ACH-000137,-0.0728042928649577
ACH-000138,-0.2568376028963413
ACH-000142,-0.34568742665381635
ACH-000143,-0.2658744394697064
ACH-000146,-0.187212471833624
ACH-000148,-0.24000595151410664
ACH-000150,-0.6279106832556448
ACH-000152,-0.2844364492879403
ACH-000153,-0.3121369638435362
ACH-000159,-0.3245615631425232
ACH-000160,-0.3677353176420159
ACH-000163,-0.25300466058382504
ACH-000167,-0.2945087274360314
ACH-000168,-0.3709718043429751
ACH-000169,-0.2900298584780383
ACH-000178,-0.34061710859174144
ACH-000183,-0.10710394060116524
ACH-000188,-0.18303623233842
ACH-000189,0.13869450871423958
