,MT1H (4496)
ACH-000004,-0.25075466816639475
ACH-000005,-0.244823093458298
ACH-000007,0.056285294712685285
ACH-000009,-0.12225940739422815
ACH-000011,-0.2238008098102764
ACH-000012,-0.2697689812408193
ACH-000013,-0.1990640512534383
ACH-000014,-0.16842422147340513
ACH-000015,-0.07264742787979447
ACH-000017,-0.21828499606159976
ACH-000018,-0.25084858946140354
ACH-000019,-0.14803408109222874
ACH-000021,-0.2785757993486274
ACH-000022,-0.2014201742510442
ACH-000025,-0.23521787656302906
ACH-000028,-0.13923726033926098
ACH-000030,-0.10854317099484573
ACH-000035,-0.1817419010086702
ACH-000036,-0.14524215184074138
ACH-000037,-0.2291228321570846
ACH-000039,-0.36112342788709456
ACH-000040,-0.31432727364713514
ACH-000041,-0.1632539872221515
ACH-000042,-0.23909822098329994
ACH-000045,-0.25055492561692033
ACH-000047,-0.16858582477493367
ACH-000052,-0.2275242591487002
ACH-000053,-0.2154347412251497
ACH-000054,-0.16130344287792844
ACH-000055,-0.4539630546766175
ACH-000060,-0.08642346630517063
ACH-000067,-0.07594636069723945
ACH-000070,-0.21226933134558856
ACH-000075,-0.2508478179455681
ACH-000078,-0.1350587308354282
ACH-000082,-0.2807628395640448
ACH-000085,-0.010265929892973244
ACH-000086,-0.2567393349452981
ACH-000087,-0.3489115767471106
ACH-000092,-0.2818672426572304
ACH-000095,-0.21528118696847975
ACH-000097,-0.2405923719156761
ACH-000098,-0.3091626366640821
ACH-000099,-0.1109260888160846
ACH-000108,-0.2651447415381351
ACH-000113,-0.22850788651064086
ACH-000116,-0.18608290640848946
ACH-000118,-0.2931313894748052
ACH-000120,-0.24854570750757246
ACH-000123,-0.13405102710195754
ACH-000127,-0.4186287855960501
ACH-000128,-0.3686606648337824
ACH-000132,-0.28731818209271914
ACH-000133,-0.1115069178748223
ACH-000137,-0.176768402056286
ACH-000138,-0.1562217712821738
ACH-000142,-0.15817042359360275
ACH-000143,-0.3158989096990613
ACH-000146,-0.2301719206082817
ACH-000148,-0.11147497811286801
ACH-000150,-0.2831256080787843
ACH-000152,-0.18055582951992694
ACH-000153,-0.1777659646902918
ACH-000159,-0.1955929482040216
ACH-000160,-0.16072525740517213
ACH-000163,-0.2725885378580973
ACH-000167,-0.25653897676911736
ACH-000168,-0.1783285359900687
ACH-000169,-0.2354515318972692
ACH-000178,-0.2660469314511739
ACH-000183,-0.36356412871977534
ACH-000188,-0.21563442270983108
ACH-000189,-0.10772722245520686
ACH-000190,-0.21396296859242567
ACH-000198,-0.2734974037822494
ACH-000203,-0.4339078685576754
ACH-000204,-0.09473083740394003
ACH-000206,-0.3635781659268734
ACH-000207,-0.19269313743873856
ACH-000208,-0.11034805076784196
ACH-000210,-0.2427403963312479
ACH-000211,-0.13946121893206104
ACH-000215,-0.2690340923738842
ACH-000221,-0.20903653641392653
ACH-000222,-0.3657485997625323
ACH-000223,-0.2303473928617676
ACH-000226,-0.27093818534325426
ACH-000227,-0.1955083991165458
ACH-000228,-0.2104207060808648
ACH-000231,-0.19332915109921506
ACH-000232,-0.09167293318023914
ACH-000233,-0.2981664546553904
ACH-000234,-0.0719948951870681
ACH-000235,-0.2556515887315211
ACH-000237,-0.2499165480430371
ACH-000238,-0.2764445204462614
ACH-000242,-0.24853148991041266
ACH-000243,-0.14584790357512264
ACH-000244,-0.1347334156536387
ACH-000246,-0.19869908836686626
ACH-000248,-0.2693094515175761
ACH-000250,-0.1898797211385403
ACH-000251,-0.09388749190104093
ACH-000252,-0.4170993717003489
ACH-000253,-0.2342161032343561
ACH-000255,-0.15929223229111755
ACH-000256,-0.1655055311357935
ACH-000257,-0.10164153442722924
ACH-000258,-0.2216555579321484
ACH-000259,-0.2021899579189773
ACH-000260,-0.19721244782596725
ACH-000261,-0.1858444227427536
ACH-000262,-0.035313625407486664
ACH-000263,-0.11091470753947227
ACH-000264,-0.15416482054573738
ACH-000265,-0.13487665375469185
ACH-000266,-0.259145137183344
ACH-000272,-0.1985956023734676
ACH-000274,-0.1918603888123935
ACH-000277,-0.2324944743990949
ACH-000278,-0.12538248669369942
ACH-000279,-0.11001650836707903
ACH-000280,-0.37627986629859017
ACH-000281,-0.2030668774474356
ACH-000288,-0.29913739633978875
ACH-000291,-0.1940741859795632
ACH-000293,-0.15992986992970246
ACH-000294,-0.1670502653340605
ACH-000295,-0.20847627240717576
ACH-000296,-0.2252858937888455
ACH-000302,-0.16571445008835806
ACH-000304,-0.1891332509071137
ACH-000307,-0.27239757276863397
ACH-000308,-0.19794470519051466
ACH-000310,-0.18541463450522072
ACH-000311,-0.1792978798879722
ACH-000312,-0.21216507417618669
ACH-000315,-0.1661081058494779
ACH-000316,-0.3292377425975496
ACH-000317,-0.33514913010030906
ACH-000318,-0.20630346682037531
ACH-000319,-0.202247257936126
ACH-000320,-0.24773610669165946
ACH-000322,-0.15638619826399616
ACH-000323,-0.28151094556912
ACH-000324,-0.07941544275324885
ACH-000329,-0.3331744302741917
ACH-000330,-0.39679427635647796
ACH-000331,-0.2669408883564449
ACH-000332,-0.14957643091398834
ACH-000334,-0.2318994016526723
ACH-000335,-0.3884523067776899
ACH-000336,-0.19028586200463454
ACH-000337,-0.23743245366585805
ACH-000338,-0.3865774540251276
ACH-000339,-0.2027359331292099
ACH-000341,-0.21443866946250573
ACH-000348,-0.2603134507476208
ACH-000350,-0.15124083778450606
ACH-000352,-0.29616705280070504
ACH-000356,-0.2769891447737669
ACH-000361,-0.1579526493069513
ACH-000362,-0.21127074695797515
ACH-000363,-0.15289779369418854
ACH-000364,-0.24420767664553866
ACH-000365,-0.1413789395097435
ACH-000366,-0.2586393498461619
ACH-000368,-0.16361607297206068
ACH-000374,-0.2740815118800708
ACH-000375,-0.15917349506627235
ACH-000376,-0.16761278098396484
ACH-000381,-0.3777613038816428
ACH-000383,-0.1493673474429678
ACH-000387,-0.1638194734368764
ACH-000389,-0.24694261816494906
ACH-000390,-0.23423598650887725
ACH-000393,-0.2946284978021764
ACH-000395,-0.1673527828340091
ACH-000396,-0.1200748339345574
ACH-000397,-0.10624004339038763
ACH-000401,-0.2572065391326083
ACH-000402,-0.19330339963844867
ACH-000403,-0.21439926286873934
ACH-000404,-0.2146724141185936
ACH-000406,-0.2276834528043601
ACH-000407,-0.25829611812508985
ACH-000408,-0.4315371221389386
ACH-000410,-0.2398509621111192
ACH-000411,-0.08198176904006435
ACH-000414,-0.2045899143779501
ACH-000415,-0.2875222684149696
ACH-000416,-0.179849745655299
ACH-000420,-0.19730949040747625
ACH-000421,-0.16424844143939418
ACH-000424,-0.2388837016013561
ACH-000425,-0.18205984085945576
ACH-000426,-0.17240722109175374
ACH-000427,-0.2996630980896309
ACH-000433,-0.33693340703506386
ACH-000435,-0.23955586321657216
ACH-000436,-0.04310390785128828
ACH-000444,-0.1685229929006199
ACH-000445,-0.11757679723062728
ACH-000448,-0.25713665940470604
ACH-000450,-0.19822270674640147
ACH-000452,-0.25097143556332263
ACH-000454,-0.4125662243358348
ACH-000458,-0.3135068451668765
ACH-000459,-0.18138482272596268
ACH-000460,-0.28169728682920153
ACH-000461,-0.17972423831457826
ACH-000463,-0.3063826382640751
ACH-000464,-0.18455948492599286
ACH-000466,-0.2040372988792957
ACH-000467,-0.30944927811051937
ACH-000468,-0.3226296721946409
ACH-000469,-0.14798984282142588
ACH-000470,-0.3149890306366685
ACH-000471,-0.2540412622199962
ACH-000472,-0.1896012851544184
ACH-000473,-0.3644072690328252
ACH-000475,-0.2574926889358057
ACH-000476,-0.2595001314882579
ACH-000477,-0.3364332798231645
ACH-000479,-0.0014204823290638994
ACH-000480,-0.3248953913298152
ACH-000481,-0.13506780947244834
ACH-000483,-0.15751859851325775
ACH-000484,-0.12290605809879948
ACH-000485,-0.18231699826981115
ACH-000486,-0.2157143112663375
ACH-000487,-0.19058150665870568
ACH-000488,-0.29859851061412673
ACH-000490,-0.20967293261510897
ACH-000491,-0.14458003250677126
ACH-000495,-0.09720100436302227
ACH-000496,-0.3705724105050953
ACH-000499,-0.11619277055703292
ACH-000500,0.24339186952578676
ACH-000502,-0.2236674592817257
ACH-000503,-0.3145597542363689
ACH-000505,-0.29609937470026976
ACH-000507,-0.3238902140004685
ACH-000510,-0.1578593949743371
ACH-000511,-0.20632166584585784
ACH-000512,-0.17701493514439728
ACH-000516,-0.19277168535881087
ACH-000517,-0.1924796401945644
ACH-000518,-0.17634512255135007
ACH-000520,-0.4398629156705615
ACH-000521,-0.3730825083587884
ACH-000522,-0.42002382236865066
ACH-000524,-0.2868921501264324
ACH-000527,-0.1680022304277502
ACH-000528,-0.21671238871210047
ACH-000537,-0.2322331478604708
ACH-000541,-0.3388755211425811
ACH-000542,-0.21621334496307548
ACH-000544,-0.2714003628748504
ACH-000545,-0.23060107311883166
ACH-000547,-0.2069916024447309
ACH-000548,-0.2426750729982124
ACH-000549,-0.27269531933632923
ACH-000550,-0.3668798388317431
ACH-000552,-0.10069536125261372
ACH-000556,-0.2783364433629901
ACH-000557,-0.055189746743198966
