,UNC45B (146862)
ACH-000004,-0.04107874293957477
ACH-000005,-0.3238801533734311
ACH-000007,-0.046498480489550964
ACH-000009,-0.09766272565473796
ACH-000011,-0.1286567022374358
ACH-000012,-0.10243348688893836
ACH-000013,-0.14648078028735892
ACH-000014,-0.05281946693913783
ACH-000015,0.016874942061257257
ACH-000017,-0.21066072408845427
ACH-000018,-0.06309270192745885
ACH-000019,-0.3858897785900451
ACH-000021,-0.07909221132475205
ACH-000022,-0.17786360027364187
ACH-000025,-0.10909392821086232
ACH-000028,-0.18610859131137453
ACH-000030,-0.15963326540680867
ACH-000035,-0.25468776980522184
ACH-000036,-0.14764017572135693
ACH-000037,-0.007306401456976489
ACH-000039,-0.060289395636764775
ACH-000040,-0.08213611183613016
ACH-000041,-0.26736937918753473
ACH-000042,-0.05996073051468177
ACH-000045,-0.0641265739820589
ACH-000047,-0.15008394814876005
ACH-000052,-0.015295863327247246
ACH-000053,-0.14284577026991369
ACH-000054,-0.17146642388518732
ACH-000055,-0.09087590152883487
ACH-000060,-0.2412748648826479
ACH-000067,-0.08988643910804454
ACH-000070,-0.1863521054467104
ACH-000075,-0.1163587420992011
ACH-000078,-0.08172391463424153
ACH-000082,-0.134649015675236
ACH-000085,-0.1471039057434447
ACH-000086,-0.17162697526147525
ACH-000087,-0.06893075059968448
ACH-000092,-0.07928813390131514
ACH-000095,-0.07473667870314228
ACH-000097,-0.22287381568054135
ACH-000098,-0.05230473264172361
ACH-000099,-0.11627186790958953
ACH-000108,-0.1952581496759907
ACH-000113,-0.05243439581991303
ACH-000116,-0.15710328628193415
ACH-000118,-0.11688872608028415
ACH-000120,-0.024602263823010048
ACH-000123,-0.07273999053796934
ACH-000127,-0.1109560432374422
ACH-000128,-0.08148467436455906
ACH-000132,-0.11557275936074962
ACH-000133,-0.04949301279728367
ACH-000137,-0.1939088175429492
ACH-000138,-0.2349927139006319
ACH-000142,-0.21408303096371534
ACH-000143,-0.24174868317701675
ACH-000146,-0.1438180622001037
ACH-000148,-0.1693464807293165
ACH-000150,-0.1862227674347855
ACH-000152,-0.18217303093514933
ACH-000153,-0.2560905629357588
