,NEURL1B (54492)
ACH-000004,0.0539315510244916
ACH-000005,0.012359379566341405
ACH-000007,-0.07551602918442353
ACH-000009,-0.2008877252258648
ACH-000011,-0.02498477537753571
ACH-000012,-0.11763437675962965
ACH-000013,-0.0641783298654004
ACH-000014,-0.006413642887375844
ACH-000015,-0.005457587891369467
ACH-000017,-0.07803489905313807
ACH-000018,0.050827825433233394
ACH-000019,-0.09646163910376213
ACH-000021,-0.1825276818992815
ACH-000022,-0.07685428965020996
ACH-000025,-0.06478734586314916
ACH-000028,0.021662523463496182
ACH-000030,0.009079368481195324
ACH-000035,-0.2139401157456872
ACH-000036,-0.2445939874758477
ACH-000037,-0.13738465504474692
ACH-000039,-0.25912169351110376
ACH-000040,0.10017814115280532
ACH-000041,0.07372407127226996
ACH-000042,-0.16792562610349826
ACH-000045,0.10496500770617097
ACH-000047,-0.10005669259294807
ACH-000052,-0.16332958634212671
ACH-000053,-0.17301445897424542
ACH-000054,-0.11084660222254802
ACH-000055,-0.18155757834201885
ACH-000060,-0.1798934893955095
ACH-000067,-0.08289783788235315
ACH-000070,0.013774342477376456
ACH-000075,0.07396972855083404
ACH-000078,-0.07258925118658477
ACH-000082,-0.08026988291641501
ACH-000085,-0.02754936341607779
ACH-000086,-0.11100433384648004
ACH-000087,0.1232756276116435
ACH-000092,-0.05859229478826145
ACH-000095,-0.07211726324343205
ACH-000097,-0.08980573691069575
ACH-000098,-0.1138363247505451
ACH-000099,-0.015146756350887991
ACH-000108,-0.2658501118741265
ACH-000113,-0.08961171704108686
ACH-000116,-0.008722443455890695
ACH-000118,-0.10677754947443724
ACH-000120,-0.2611122198726055
ACH-000123,0.0021962447799025084
ACH-000127,-0.07720979400965647
ACH-000128,-0.23574506563888464
ACH-000132,0.160507050469872
ACH-000133,-0.061382769076808036
ACH-000137,-0.183274271584704
ACH-000138,-0.057242747829033165
ACH-000142,-0.21332531539745325
ACH-000143,0.07038404658298397
ACH-000146,0.0037641447920332147
ACH-000148,-0.11298929179598728
ACH-000150,-0.2261073901868171
ACH-000152,-0.13124419561085304
ACH-000153,0.118798063650505
ACH-000159,0.022856159432723525
ACH-000160,-0.1098323306915428
ACH-000163,-0.038567780972275326
ACH-000167,0.07262771132765979
ACH-000168,-0.00551088273105394
ACH-000169,-0.09773677502327054
ACH-000178,-0.02330695728379437
ACH-000183,-0.1701092067379391
ACH-000188,-0.17529929553247836
ACH-000189,-0.19466733434540232
ACH-000190,0.1672675467084103
ACH-000198,-0.014981617253692946
ACH-000203,-0.04855134126897849
ACH-000204,-0.007486682874037219
ACH-000206,-0.012312644047060516
ACH-000207,-0.09896082590572884
ACH-000208,-0.0309436416708944
ACH-000210,-0.17742103198294834
ACH-000211,-0.09856766724828434
ACH-000215,-0.030707587103504963
ACH-000221,-0.13679328367048907
ACH-000222,-0.1507266322448678
ACH-000223,0.0028546660446199844
ACH-000226,-0.06753167233269322
ACH-000227,0.07120730204531651
ACH-000228,-0.03885059590820043
ACH-000231,-0.006554451447795473
ACH-000232,-0.2472083215057221
ACH-000233,-0.2562758511649149
ACH-000234,0.016735891376347702
ACH-000235,-0.07231612760132218
ACH-000237,-0.1401234332339731
ACH-000238,-0.0919276401925056
ACH-000242,-0.2289618482901116
ACH-000243,-0.053686594938924775
ACH-000244,0.15841640118714406
ACH-000246,-0.11389094049896772
ACH-000248,0.057294201919630285
ACH-000250,-0.09670297431315544
ACH-000251,0.12106452807172335
ACH-000252,-0.2438559942562472
ACH-000253,-0.056154845664164336
ACH-000255,-0.1307279859310603
ACH-000256,-0.010283619112163958
ACH-000257,-0.098221141780835
ACH-000258,-0.05619285102362129
ACH-000259,-0.1194256469624669
ACH-000260,-0.14277867414626846
ACH-000261,0.007917408000408516
ACH-000262,-0.34873782299055955
ACH-000263,0.13960287091760856
ACH-000264,0.07276165330916577
ACH-000265,-0.029158321139395368
ACH-000266,-0.07862934195071596
ACH-000272,-0.0269236607651062
ACH-000274,-0.0384816400636989
ACH-000277,0.12779996796279788
ACH-000278,-0.011136723420445723
ACH-000279,-0.028968923578525336
ACH-000280,-0.0882693929910557
ACH-000281,-0.33240625206047497
ACH-000288,-0.12873554730295375
ACH-000291,-0.0961428970994927
ACH-000293,0.02906619600292648
ACH-000294,-0.06840201726298031
ACH-000295,-0.21924758948195
ACH-000296,-0.10629012889449202
ACH-000302,-0.08409469902253518
ACH-000304,-0.2328516783177711
ACH-000307,-0.11425638539815662
ACH-000308,-0.02779834857334568
ACH-000310,-0.021899380731960558
ACH-000311,-0.12164294831616262
ACH-000312,-0.2299197309772224
ACH-000315,-0.38129613874109947
ACH-000316,-0.17568484835955894
ACH-000317,-0.17236653710650865
ACH-000318,0.0208851084909234
ACH-000319,0.006139967083514062
ACH-000320,-0.1426253236480965
ACH-000322,-0.05607895094699547
ACH-000323,-0.09745689587196577
ACH-000324,-0.2134555093996924
ACH-000329,-0.09978094763306772
ACH-000330,0.044670829913230736
ACH-000331,-0.10587419156842434
ACH-000332,-0.08464865535092808
ACH-000334,-0.1681873648181147
ACH-000335,-0.026154238651823158
ACH-000336,-0.2348479383002569
ACH-000337,-0.02691327117499348
ACH-000338,-0.5979886644992055
ACH-000339,-0.07662164439310548
ACH-000341,-0.1375748420535067
ACH-000348,0.1216954337219616
ACH-000350,-0.25516295766250474
ACH-000352,-0.044564840561602835
ACH-000356,-0.007130658132559084
