,CPAMD8 (27151)
ACH-000004,-0.5297619312996313
ACH-000005,-0.587479791490353
ACH-000007,-0.5446740375304355
ACH-000009,-0.3255576393046688
ACH-000011,-0.29074926205798685
ACH-000012,-0.4855082523954495
ACH-000013,-0.4388092555773762
ACH-000014,-0.44225809310846304
ACH-000015,-0.4915511798411032
ACH-000017,-0.2952983919045583
ACH-000018,-0.4046774924928844
ACH-000019,-0.27187171861782405
ACH-000021,-0.39166395013787386
ACH-000022,-0.4440277716638653
ACH-000025,-0.3476171128721943
ACH-000028,-0.4400092416099422
ACH-000030,-0.5451213564523161
ACH-000035,-0.4651583779163586
ACH-000036,-0.4081209683984227
ACH-000037,-0.3332530017614337
ACH-000039,-0.34695266129685537
ACH-000040,-0.4748434556061034
ACH-000041,-0.3473196727983408
ACH-000042,-0.3724114447348029
ACH-000045,-0.3239373626065357
ACH-000047,-0.2750985557192349
ACH-000052,-0.12561198922573427
ACH-000053,-0.37622637736512493
ACH-000054,-0.29456929639268664
ACH-000055,-0.33902855609706456
ACH-000060,-0.3904815794159885
ACH-000067,-0.32365765528139245
ACH-000070,-0.5411127161827743
ACH-000075,-0.3336102570896545
ACH-000078,-0.1275413633677607
ACH-000082,-0.21675530539864127
ACH-000085,-0.2981679443024338
ACH-000086,-0.2344567536663896
ACH-000087,-0.6189481354170124
ACH-000092,-0.3360196863523033
ACH-000095,-0.4705738899507022
ACH-000097,-0.41504850831947904
ACH-000098,-0.3620948902716946
ACH-000099,-0.3981455045295736
ACH-000108,-0.5235960476094134
ACH-000113,-0.2661950983208569
ACH-000116,-0.4693438534917113
ACH-000118,-0.2959167650096421
ACH-000120,-0.4190371740357549
ACH-000123,-0.4356511483440375
ACH-000127,-0.44424883365746615
ACH-000128,-0.5271595363070418
ACH-000132,-0.2394511219805606
ACH-000133,-0.17102497755473434
ACH-000137,-0.2847983411725514
ACH-000138,-0.4916653547818968
ACH-000142,-0.40266548318817696
ACH-000143,-0.409310861368024
ACH-000146,-0.3288200448758498
ACH-000148,-0.3883477299618268
ACH-000150,-0.38890476256074
ACH-000152,-0.3191605830862721
ACH-000153,-0.23925144309145185
ACH-000159,-0.2210892618756807
ACH-000160,-0.4160942304208552
ACH-000163,-0.5344428681546425
ACH-000167,-0.4910167225232486
ACH-000168,-0.3293072987540659
ACH-000169,-0.3190997802133521
ACH-000178,-0.3237487795458741
ACH-000183,-0.16989479260699147
ACH-000188,-0.6433012872055386
ACH-000189,-0.5217317331304867
ACH-000190,-0.2394449594775197
ACH-000198,-0.3324794250105386
ACH-000203,-0.7340179710356812
ACH-000204,-0.4660485272125496
ACH-000206,-0.5846152996547029
ACH-000207,-0.3086374814382917
ACH-000208,-0.09480300695101836
ACH-000210,-0.15138413359204975
ACH-000211,-0.3604022706921754
ACH-000215,-0.20706102075747027
ACH-000221,-0.6057973535087814
ACH-000222,-0.4489973710879265
ACH-000223,-0.32223618440449897
ACH-000226,-0.229236243028345
ACH-000227,-0.3433816506867443
ACH-000228,-0.566922021034972
ACH-000231,-0.3254722237157591
ACH-000232,-0.5649996194375031
ACH-000233,-0.5087384240201936
ACH-000234,-0.36497758045674816
ACH-000235,-0.3922187742435649
ACH-000237,-0.37457060282711147
ACH-000238,-0.35334161734311875
ACH-000242,-0.7331724526623935
ACH-000243,-0.3426831711440821
ACH-000244,-0.3782241042688203
ACH-000246,-0.3119905882431204
ACH-000248,-0.30026277240321314
ACH-000250,-0.4483616246551882
ACH-000251,-0.4350511257401117
ACH-000252,-0.20665541651748146
ACH-000253,-0.2829744291414101
ACH-000255,-0.4122702016055921
ACH-000256,-0.3384552116501931
ACH-000257,-0.5680103819337203
ACH-000258,-0.4904760121548827
ACH-000259,-0.4363798371527076
ACH-000260,-0.4742899992382248
ACH-000261,-0.34295333769152186
ACH-000262,-0.306868285870127
ACH-000263,-0.5162836470265914
ACH-000264,-0.17870398109580254
ACH-000265,-0.3506147853895242
ACH-000266,-0.4567926285568171
ACH-000272,-0.5215426201340143
ACH-000274,-0.27811142999100863
ACH-000277,-0.3014949583315868
ACH-000278,-0.5545462269613421
ACH-000279,-0.3319687699793813
ACH-000280,-0.2797746193083045
ACH-000281,-0.6736563521319789
ACH-000288,-0.2266062594124905
ACH-000291,-0.5462344910054612
ACH-000293,-0.3835908911052066
ACH-000294,-0.7599095688028543
ACH-000295,-0.2837063244911202
ACH-000296,-0.580695385529995
ACH-000302,-0.5568624390529195
ACH-000304,-0.5195200536327664
ACH-000307,-0.4437237215042497
ACH-000308,-0.4178808160212079
ACH-000310,-0.2401290894018608
ACH-000311,-0.38985554770819547
ACH-000312,-0.3495146730357284
ACH-000315,-0.7151022350903006
ACH-000316,-0.1945897180602693
ACH-000317,-0.3580039723702483
ACH-000318,-0.4755185327664554
ACH-000319,-0.35534907057157417
ACH-000320,-0.5322104362667661
ACH-000322,-0.0204185086434543
ACH-000323,-0.32130281366806
ACH-000324,-0.22620051067933444
ACH-000329,-0.33349366487830673
ACH-000330,-0.3925680188578309
ACH-000331,-0.4012987033959925
ACH-000332,-0.34150516193784103
ACH-000334,-0.2769237150102872
ACH-000335,-0.22529386882909
ACH-000336,-0.6127634033553943
ACH-000337,-0.2336442086142708
ACH-000338,-0.4952795441542292
ACH-000339,-0.4579644179264575
ACH-000341,-0.14262812621021825
ACH-000348,-0.4166104681418494
ACH-000350,-0.3594922197134885
ACH-000352,-0.4067324800395
ACH-000356,-0.5208574556909773
ACH-000361,-0.4148058998734382
ACH-000362,-0.5108862000370124
ACH-000363,-0.29755010790313163
ACH-000364,-0.33531927616119217
ACH-000365,-0.3941361046221397
ACH-000366,-0.4299181547208666
ACH-000368,-0.3267524707972595
ACH-000374,-0.4979560622370448
ACH-000375,-0.4350332022855805
ACH-000376,-0.0992486243438097
ACH-000381,-0.4244832171301697
ACH-000383,-0.3928306228788639
ACH-000387,-0.5858436049930371
ACH-000389,-0.4379823767886934
ACH-000390,-0.560893806176385
ACH-000393,-0.4357606067815552
ACH-000395,-1.1047969641175095
ACH-000396,-0.4156250156690768
ACH-000397,-0.30756599398977763
ACH-000401,-0.2529590008383632
ACH-000402,-0.4447795318754499
ACH-000403,-0.3450553006478568
ACH-000404,-0.44624926412477983
ACH-000406,-0.4000899824408791
ACH-000407,-0.4887082928172248
ACH-000408,-0.5162635744273614
ACH-000410,-0.3527487972451803
ACH-000411,-0.37221890762204063
ACH-000414,-0.34732022867592
ACH-000415,-0.4893149689759718
ACH-000416,-0.6480995583874699
ACH-000420,-0.4726318920606312
ACH-000421,-0.4153238025651797
ACH-000424,-0.2577099331490716
ACH-000425,-0.3658042021822099
ACH-000426,-0.5793844897841689
ACH-000427,-0.2497564658878517
ACH-000433,-0.4561004482287646
ACH-000435,-0.5184026697000075
ACH-000436,-0.4756065291194588
ACH-000444,-0.21269219362811545
ACH-000445,-0.5052888866311896
ACH-000448,-0.37383800570410175
ACH-000450,-0.2199558287004058
ACH-000452,-0.5439835043346253
ACH-000454,-0.5421507216162058
ACH-000458,-0.5969602305284119
ACH-000459,-0.1432663620980451
ACH-000460,-0.406917786787966
ACH-000461,-0.4698393020508235
ACH-000463,-0.5233951775773594
ACH-000464,-0.3559168851700032
ACH-000466,-0.4086412946407236
ACH-000467,-0.3023690012973638
ACH-000468,-0.4432470563780097
ACH-000469,-0.3899337926319907
ACH-000470,-0.34496261358758146
ACH-000471,-0.5512658848604246
ACH-000472,-0.4343143307896459
ACH-000473,-0.3344256391421042
ACH-000475,-0.3701251344916851
ACH-000476,-0.35432716364879
ACH-000477,-0.2761038173323321
ACH-000479,0.016882950839460672
ACH-000480,-0.3363402865774437
ACH-000481,-0.3191417256786453
ACH-000483,-0.4228550934553456
ACH-000484,-0.22284903521336227
ACH-000485,-0.4358948268397964
ACH-000486,-0.21387138707705064
ACH-000487,-0.587150475651532
ACH-000488,-0.39566911417642864
ACH-000490,-0.4997929412546071
ACH-000491,-0.34818766970045284
ACH-000495,-0.3810924936084791
ACH-000496,-0.5242075326217275
ACH-000499,-0.31359763087916515
ACH-000500,-0.4873126226771872
ACH-000502,-0.4798366651929638
ACH-000503,-0.5764965420480844
ACH-000505,-0.4780543648914598
ACH-000507,-0.4333261748783938
ACH-000510,-0.3405180010238268
ACH-000511,-0.4536821512907289
ACH-000512,-0.5413819437246592
ACH-000516,-0.3689217067560882
ACH-000517,-0.291271972079711
ACH-000518,-0.32009691969703385
ACH-000520,-0.4508661241219514
ACH-000521,-0.4412068913370016
ACH-000522,-0.4451877069281376
ACH-000524,-0.37824088256740296
ACH-000527,-0.4347665093909731
ACH-000528,-0.3916373195460654
ACH-000537,-0.2346784858344522
ACH-000541,-0.24110718282483146
ACH-000542,-0.4613144978035069
ACH-000544,-0.2715722289151231
ACH-000545,-0.4214306960415791
ACH-000547,-0.4530005290368635
ACH-000548,-0.4210861057355618
ACH-000549,-0.38668527412935344
ACH-000550,-0.32601466458529343
ACH-000552,-0.2555942747003421
ACH-000556,-0.6286433559500288
ACH-000557,-0.4911867250862491
ACH-000569,-0.30841831990549984
ACH-000570,-0.3682572037360283
ACH-000571,-0.4177651907408745
ACH-000573,-0.27881995581309404
ACH-000576,-0.3834831586996733
