,TXNRD3NB (645840)
ACH-000004,-0.039169059184423
ACH-000005,-0.029068427339676475
ACH-000007,0.0036188600245708547
ACH-000009,-0.0947196711069369
ACH-000011,0.041674710557232965
ACH-000012,0.016653460807019533
ACH-000013,-0.051660681607370265
ACH-000014,-0.21180885945751474
ACH-000015,0.018906058177699157
ACH-000017,-0.06300546691513842
ACH-000018,0.04007543429440013
ACH-000019,-0.04100859689053811
ACH-000021,-0.018529862908040547
ACH-000022,-0.03290472214482733
ACH-000025,-0.024610872721608144
ACH-000028,-0.06623112358212878
ACH-000030,-0.10249712783189092
ACH-000035,-0.1139999540140934
ACH-000036,0.029714684970504324
ACH-000037,0.04063493756090439
ACH-000039,-0.05352713701053365
ACH-000040,-0.07242517917277043
ACH-000041,0.010938008758937048
ACH-000042,-0.12507269484565092
ACH-000045,-0.10646237904899612
ACH-000047,-0.07906464508349084
ACH-000052,-0.02475462055584611
ACH-000053,-0.12188731171784498
ACH-000054,-0.08806560791180493
ACH-000055,-0.08879595635370681
ACH-000060,-0.14262981015108506
ACH-000067,-0.10553842790168276
ACH-000070,-0.09215075966347026
ACH-000075,-0.039062302221062
ACH-000078,-0.07894224136848074
ACH-000082,-0.0327006796809837
ACH-000085,-0.01294421292629807
ACH-000086,-0.10621964380986797
ACH-000087,-0.07278528488824286
ACH-000092,-0.13546800576000512
ACH-000095,-0.05297179580446866
ACH-000097,-0.17972865514912148
ACH-000098,-0.07915777683258543
ACH-000099,0.055617207437113896
ACH-000108,-0.0633527545404594
ACH-000113,-0.01500409585950164
ACH-000116,-0.009554971763439135
ACH-000118,-0.00014121326713242938
ACH-000120,0.019061500182578503
ACH-000123,-0.0521708713583409
ACH-000127,0.0074390441929974545
ACH-000128,-0.11141654826462206
ACH-000132,-0.07114823101774792
ACH-000133,0.1339794368925431
ACH-000137,-0.0761794950621561
ACH-000138,-0.1244135443552045
ACH-000142,0.03381780670948042
ACH-000143,0.0349284252322157
ACH-000146,-0.1218763715804854
ACH-000148,-0.02858241694688475
ACH-000150,-0.15200629362588575
ACH-000152,0.005330752112336032
ACH-000153,-0.2088804189325398
ACH-000159,-0.14717558965406485
ACH-000160,-0.228996460738209
ACH-000163,-0.031044371690829263
ACH-000167,-0.07720092538110053
ACH-000168,-0.04513607767346452
ACH-000169,-0.08708699746369339
ACH-000178,-0.03258526014328729
ACH-000183,-0.3492925804134536
ACH-000188,-0.031283061077633345
ACH-000189,-0.10783637810531292
ACH-000190,-0.109728247611643
ACH-000198,-0.10628795836812316
ACH-000203,-0.4999174222068669
ACH-000204,-0.006552059829388157
ACH-000206,-0.07318289064717752
ACH-000207,-0.1517493751780422
ACH-000208,-0.0451421220383102
