,CENPT (80152)
ACH-000411,-0.5208815721662479
ACH-000414,-1.024846721665559
ACH-000415,-0.5600191960226594
ACH-000416,-0.6374403524648682
ACH-000420,-0.6260979891869425
ACH-000421,-0.720835144925715
ACH-000424,-0.5988517041134164
ACH-000425,-0.6419081006926307
ACH-000426,-0.8745924456361021
ACH-000427,-0.4539896151597846
ACH-000433,-0.4004420516925568
ACH-000435,-0.8111130737020659
ACH-000436,-0.6934311618637381
ACH-000444,-0.8234813707606747
ACH-000445,-0.7604450113137673
ACH-000448,-0.7614330370960554
ACH-000450,-0.8473960830443159
ACH-000452,-0.7049341226219341
ACH-000454,-1.0164345906468617
ACH-000458,-0.7057200855334516
ACH-000459,-0.8610517120286799
ACH-000460,-0.8231891382286564
ACH-000461,-0.9330678046448296
ACH-000463,-0.6804959978752338
ACH-000464,-0.5490605716533329
ACH-000466,-0.5135039706672944
ACH-000467,-0.7533227288916221
ACH-000468,-0.7820330717825915
ACH-000469,-0.6384964838311723
ACH-000470,-0.8423729100562666
ACH-000471,-0.6636615145365137
ACH-000472,-0.6844327819736016
ACH-000473,-0.7146943334432391
ACH-000475,-0.7800614287879847
ACH-000476,-0.8198306272133917
ACH-000477,-0.5294685306333344
ACH-000479,-0.6403190648370554
ACH-000480,-0.8200372765105204
ACH-000481,-0.6779245938758022
ACH-000483,-0.841308462212662
ACH-000484,-0.612057895771575
ACH-000485,-0.7714294142182496
ACH-000486,-0.4125013253954887
ACH-000487,-1.0582386654952205
ACH-000488,-0.6513941083069037
ACH-000490,-0.5751794530475498
ACH-000491,-0.5167757218395835
ACH-000495,-1.0804097461994362
ACH-000496,-0.6039801478325332
ACH-000499,-0.7021567366370836
ACH-000500,-0.5703486647776255
ACH-000502,-0.8518387459379427
ACH-000503,-0.5123349666816012
ACH-000505,-0.7421533667697601
ACH-000507,-0.6885406128585483
ACH-000510,-0.7042878050008418
ACH-000511,-0.8842187722595901
ACH-000512,-0.2300209072651648
ACH-000516,-0.6902735152477527
ACH-000517,-0.7125782140850682
ACH-000518,-0.8797624097311362
ACH-000520,-0.6589335184803726
ACH-000521,-0.25447892493782026
ACH-000522,-0.5569891358634707
ACH-000524,-0.8371752582025299
ACH-000527,-0.7788787410725949
ACH-000528,-0.7676473122763738
ACH-000537,-0.7953527925840659
ACH-000541,-0.716358375631364
ACH-000542,-0.7646046191657803
ACH-000544,-0.6559562605279868
ACH-000545,-0.7230192978706848
ACH-000547,-0.9094397500384752
ACH-000548,-0.7613112535350441
ACH-000549,-0.6525684895087536
ACH-000550,-0.554892391979737
ACH-000552,-0.7553838983718117
ACH-000556,-0.4161647753874095
ACH-000557,-0.7437784695925594
ACH-000569,-0.9292938082150792
ACH-000570,-0.6907383457485188
ACH-000571,-0.4774465365471159
ACH-000573,-0.7021006529251435
ACH-000576,-0.6381561658804279
ACH-000579,-0.2827978261432599
ACH-000580,-0.6017756736347334
ACH-000584,-0.9687029956124608
ACH-000585,-0.7629862266219699
ACH-000588,-0.5478694695584415
ACH-000589,-0.8559958990877833
ACH-000591,-0.8186454387887634
ACH-000593,-0.4789951232870217
ACH-000600,-0.5855156910593007
ACH-000601,-0.6245093178061272
ACH-000605,-0.8613015111458899
ACH-000606,-0.7909081566359651
ACH-000608,-0.8398079793697338
ACH-000614,-0.4964611762812483
ACH-000616,-0.5683774778737355
ACH-000618,-0.8961103999218438
ACH-000619,-0.7397583082569879
ACH-000620,-0.6156230118102061
ACH-000621,-0.6387942760493293
ACH-000622,-0.742707302422205
ACH-000623,-0.7707721529675154
ACH-000624,-0.7161828288311108
ACH-000627,-0.6394674774433944
