,PRPF8 (10594)
ACH-000004,-1.7891434032395237
ACH-000005,-2.02753446891258
ACH-000007,-1.1822315529345997
ACH-000009,-1.2466924136613686
ACH-000011,-1.2067582997995998
ACH-000012,-1.2219149087464536
ACH-000013,-1.4944502679410925
ACH-000014,-1.3416960586586673
ACH-000015,-1.3307317143305784
ACH-000017,-1.48071748356774
ACH-000018,-1.1093383819973708
ACH-000019,-1.123733967303835
ACH-000021,-1.2469545597897764
ACH-000022,-1.3093417204083349
ACH-000025,-1.1268261023693404
ACH-000028,-1.1584291756097898
ACH-000030,-1.3058269568638
ACH-000035,-0.9655379907249608
ACH-000036,-1.242411452549349
ACH-000037,-1.3891692996276586
ACH-000039,-1.4086018034142664
ACH-000040,-1.3067254658193663
ACH-000041,-1.3612251261597028
ACH-000042,-1.4381700296157336
ACH-000045,-1.401646606550398
ACH-000047,-1.5439725174304102
ACH-000052,-0.8913008183487008
ACH-000053,-1.5154910882350736
ACH-000054,-1.2184541601295893
ACH-000055,-1.2388138825358637
ACH-000060,-1.3667920615857316
ACH-000067,-1.3243002064017035
ACH-000070,-1.1583617865376754
ACH-000075,-1.2258066206894331
ACH-000078,-1.378876913803284
ACH-000082,-1.4213117322308135
ACH-000085,-1.341070440916696
ACH-000086,-1.3325837054287435
ACH-000087,-1.24607164609043
ACH-000092,-1.177686938982021
ACH-000095,-1.2180310479487846
ACH-000097,-1.3962928281983351
ACH-000098,-1.3454797835096963
ACH-000099,-1.3502819906093029
ACH-000108,-1.26355316912286
ACH-000113,-1.4359518266247346
ACH-000116,-1.433622025887441
ACH-000118,-1.2777748799028217
ACH-000120,-1.2485281517503126
ACH-000123,-1.2740635026957676
ACH-000127,-1.2193539162763676
ACH-000128,-1.2706720130583038
ACH-000132,-1.172492323384621
ACH-000133,-1.346846728452757
ACH-000137,-1.4596400093930584
ACH-000138,-1.5012419009904678
ACH-000142,-1.2727869704018722
ACH-000143,-1.6644668713940776
ACH-000146,-1.6087437987728803
ACH-000148,-1.4214079695418234
ACH-000150,-1.2891290539786333
ACH-000152,-1.2463501406870388
ACH-000153,-1.3137745184556415
ACH-000159,-1.250683600820974
ACH-000160,-1.3001869510354898
ACH-000163,-1.1775673441117145
ACH-000167,-1.7091762279228542
ACH-000168,-1.1924855685922444
ACH-000169,-1.1701017847911046
ACH-000178,-1.2416212652120018
ACH-000183,-1.6400223498190665
ACH-000188,-1.3427277734622978
ACH-000189,-1.093338402204874
ACH-000190,-1.5294331675036519
ACH-000198,-1.5244314171299924
ACH-000203,-1.2111279653949079
ACH-000204,-1.318124882458285
ACH-000206,-1.5307304107107391
ACH-000207,-1.0472181352188237
ACH-000208,-1.4234219675343098
ACH-000210,-1.293364901088761
ACH-000211,-1.214219916609499
ACH-000215,-1.2778791715426865
ACH-000221,-1.5201188708559634
ACH-000222,-1.4505829540202506
ACH-000223,-1.367558786378794
ACH-000226,-1.3353557347578688
ACH-000227,-1.4745080562300894
ACH-000228,-1.4271020490415642
ACH-000231,-1.3140614417646854
ACH-000232,-1.2877778348989832
ACH-000233,-1.3807749658819954
ACH-000234,-1.4981581806840718
ACH-000235,-1.2899318786013354
ACH-000237,-1.2046985126697698
ACH-000238,-1.2719517373143636
ACH-000242,-1.2060643525918735
ACH-000243,-1.2360675717667566
ACH-000244,-1.49197859991043
ACH-000246,-1.3540647443531597
ACH-000248,-1.1454115333282031
ACH-000250,-1.3559814328313264
ACH-000251,-1.350148227587696
ACH-000252,-1.2293958260454765
ACH-000253,-1.3107345244933266
ACH-000255,-1.064858856456411
ACH-000256,-1.5597075617018776
ACH-000257,-1.1161463227763864
ACH-000258,-1.392508826207804
ACH-000259,-1.2666069565012759
ACH-000260,-1.381752163884318
ACH-000261,-1.377720610748557
ACH-000262,-1.2371883839026292
ACH-000263,-1.5315614495420322
ACH-000264,-1.1413320802614926
ACH-000265,-1.1435251150542385
ACH-000266,-1.3956828609678922
ACH-000272,-1.3121887759200164
ACH-000274,-1.4505474757512005
ACH-000277,-1.6077950780082877
ACH-000278,-1.220686533464805
ACH-000279,-1.3736282679669258
ACH-000280,-1.454795232039342
ACH-000281,-1.2791607649904573
ACH-000288,-1.3088803925315813
ACH-000291,-1.0948342878329056
ACH-000293,-1.6305966823994416
ACH-000294,-1.6690636598635984
ACH-000295,-1.1856087441242988
ACH-000296,-1.2555631528197937
ACH-000302,-1.3880466742891393
ACH-000304,-1.3176578596623971
ACH-000307,-1.4148957292001267
ACH-000308,-1.3821035624561229
ACH-000310,-1.2418220761890884
ACH-000311,-1.3308970430086025
ACH-000312,-1.2406632245939389
ACH-000315,-1.4379631218705229
ACH-000316,-1.3278156304258408
ACH-000317,-1.256761371127428
ACH-000318,-1.2511284060342802
ACH-000319,-1.2302245777561136
ACH-000320,-1.2940358150229236
ACH-000322,-1.3471195171866324
ACH-000323,-1.4185747056125737
ACH-000324,-1.3553276578936493
ACH-000329,-1.20684451434092
ACH-000330,-1.2045821010843756
ACH-000331,-1.2577187064284303
ACH-000332,-1.3628980857250903
ACH-000334,-1.7027386730775242
ACH-000335,-1.4532659911713726
ACH-000336,-1.4732190185874727
ACH-000337,-1.4180636311931865
ACH-000338,-1.6358650536491928
ACH-000339,-1.2900936234606428
ACH-000341,-1.3909899382727686
ACH-000348,-1.3787338606621538
ACH-000350,-1.336848960030047
ACH-000352,-1.7105636810437674
ACH-000356,-1.3613968490181556
ACH-000361,-1.2058876386123696
ACH-000362,-1.2792284007498402
ACH-000363,-1.417888411835722
ACH-000364,-1.2409070442782042
ACH-000365,-1.4263284457411305
ACH-000366,-1.2331944067266012
ACH-000368,-1.234243043733393
ACH-000374,-1.445721816696833
ACH-000375,-1.3351755451160026
ACH-000376,-1.439647118858663
ACH-000381,-1.2224578430968165
ACH-000383,-1.38641799204436
ACH-000387,-1.5867094809154587
ACH-000389,-1.3931879077345308
ACH-000390,-1.1650108734660778
ACH-000393,-1.4521287111587446
ACH-000395,-1.4581759352647092
ACH-000396,-1.3459392488387547
ACH-000397,-1.2502821465749014
ACH-000401,-1.3355047451445048
ACH-000402,-1.1115510038084375
ACH-000403,-1.505194084994696
ACH-000404,-0.9573119913295336
ACH-000406,-1.559105650922132
ACH-000407,-1.2864967117953678
ACH-000408,-1.3316485912257952
ACH-000410,-1.0796202146451102
ACH-000411,-1.358011706959286
ACH-000414,-1.259919373028493
ACH-000415,-1.1734918409244617
ACH-000416,-1.2845952775810736
ACH-000420,-1.0524931896414735
ACH-000421,-1.2843272807939103
ACH-000424,-1.2439130197401636
ACH-000425,-1.2158126816183537
ACH-000426,-1.5780241863125368
ACH-000427,-1.456730435556589
ACH-000433,-1.5019600125421195
ACH-000435,-1.1215576210723486
ACH-000436,-1.3978155844802809
ACH-000444,-1.2162718287266956
ACH-000445,-0.8883179853469618
ACH-000448,-1.3340078820378531
ACH-000450,-1.4187837862712014
ACH-000452,-1.338162040233469
ACH-000454,-1.2373313208024472
ACH-000458,-1.149731389277259
ACH-000459,-1.6431849929328814
ACH-000460,-1.2933437020811394
ACH-000461,-1.2852620694822834
ACH-000463,-1.1317519163181409
ACH-000464,-1.1089638995061182
ACH-000466,-1.4225441535282497
ACH-000467,-1.1891707088089478
ACH-000468,-1.2596138007291255
ACH-000469,-1.4392961898649699
ACH-000470,-1.4308385897074227
ACH-000471,-1.4241794606636882
ACH-000472,-1.19292286016036
ACH-000473,-1.3193466723056797
ACH-000475,-1.270798541170977
ACH-000476,-1.25495916031267
ACH-000477,-0.9740804884573002
ACH-000479,-1.070587045121846
ACH-000480,-1.1799469546100667
ACH-000481,-1.3722282096001477
ACH-000483,-1.6230738501119195
ACH-000484,-1.4366896676779013
ACH-000485,-1.207065676968105
ACH-000486,-1.303043309183521
