,GOLGA6L6 (727832)
ACH-000004,-0.31623670599491016
ACH-000005,-0.414292755436129
ACH-000007,-0.4158640453941009
ACH-000009,-0.6711636878077237
ACH-000011,-0.2940061024396629
ACH-000012,-0.4601334002131247
ACH-000013,-0.2504500551482186
ACH-000014,-0.3405114158369393
ACH-000015,-0.4505453625179952
ACH-000017,-0.4109470557034069
ACH-000018,-0.2991430918441223
ACH-000019,-0.6256586358402558
ACH-000021,-0.3650534449962179
ACH-000022,-0.3087590216208151
ACH-000025,-0.3879297880035228
ACH-000028,-0.31065767005889433
ACH-000030,-0.3656462136940947
ACH-000035,-0.261078873228155
ACH-000036,-0.3722882210513087
ACH-000037,-0.3486769812846361
ACH-000039,-0.236927683268518
ACH-000040,-0.39565569573845455
ACH-000041,-0.4176159766033147
ACH-000042,-0.5036044478126385
ACH-000045,-0.4519633015298632
ACH-000047,-0.3232102804699423
ACH-000052,-0.14473872217765152
ACH-000053,-0.4733600105502728
ACH-000054,-0.4891778708642041
ACH-000055,-0.18151374819081384
ACH-000060,-0.3143864221369214
ACH-000067,-0.3811350373738033
ACH-000070,-0.3961108962680629
ACH-000075,-0.5514476225085274
ACH-000078,-0.41596624492744455
ACH-000082,-0.29702354717724416
ACH-000085,-0.4112963945497676
ACH-000086,-0.2898066854809162
ACH-000087,-0.4806731288549359
ACH-000092,-0.4114938811120829
ACH-000095,-0.6317876791323346
ACH-000097,-0.5932088175622952
ACH-000098,-0.3238978033879039
ACH-000099,-0.4981362899264994
ACH-000108,-0.267143313742922
ACH-000113,-0.4294486734383263
ACH-000116,-0.4398861280556533
ACH-000118,-0.37796122985680985
ACH-000120,-0.183819871173965
ACH-000123,-0.3622020214190819
ACH-000127,-0.3191086988358981
ACH-000128,-0.4232450757972812
ACH-000132,-0.5027902006826995
ACH-000133,-0.3525321259909485
ACH-000137,-0.3512915972728057
ACH-000138,-0.2860750042840852
ACH-000142,-0.2635795425531973
ACH-000143,-0.2590137411458613
ACH-000146,-0.3393280065554442
ACH-000148,-0.35911960043956
ACH-000150,-0.6716248212523912
ACH-000152,-0.24545334717562975
ACH-000153,-0.4630028486319752
ACH-000159,-0.4269860555424656
ACH-000160,-0.4944230661295682
ACH-000163,-0.16702935240559982
ACH-000167,1.1808483312587021
ACH-000168,-0.586413751085578
ACH-000169,-0.4469789372392592
ACH-000178,-0.4127926927163595
ACH-000183,-0.18712943621333103
ACH-000188,-0.33635942559957444
ACH-000189,-0.5679376659705089
ACH-000190,-0.4587891359680637
ACH-000198,-0.3191411438525308
ACH-000203,0.14748345748742334
ACH-000204,-0.541718754125741
ACH-000206,-0.4527341059992999
ACH-000207,-0.3828112715438649
ACH-000208,-0.16921475487670584
ACH-000210,-0.458807999127666
ACH-000211,-0.4439727263973125
ACH-000215,-0.3288288166368509
ACH-000221,-0.5128892142342962
ACH-000222,-0.4228180126549365
ACH-000223,-0.3628259020783705
ACH-000226,-0.5567754262633291
ACH-000227,-0.5792200172846316
ACH-000228,-0.3825970601815705
ACH-000231,-0.39748884253694944
ACH-000232,-0.4586653133062167
ACH-000233,-0.5384515015018133
ACH-000234,-0.4255006304979221
ACH-000235,-0.4269731211730176
ACH-000237,-0.3977548380901327
ACH-000238,-0.07771962923211491
ACH-000242,-0.5798579319319598
ACH-000243,-0.437307050332129
ACH-000244,-0.3588008820413833
ACH-000246,-0.2986135816450617
ACH-000248,-0.28208921969426404
ACH-000250,-0.3932750994628397
ACH-000251,-0.5033232655631933
ACH-000252,-0.5258409563927898
ACH-000253,-0.4388242129574861
ACH-000255,-0.4797410555860466
ACH-000256,-0.2670971876915028
ACH-000257,-0.3778834334312699
ACH-000258,-0.6081435983278152
ACH-000259,-0.3875288871459336
ACH-000260,-0.4623024309556844
ACH-000261,-0.5430709274489309
ACH-000262,-0.3483478006042331
ACH-000263,-0.6944776321091893
ACH-000264,-0.18908865157881247
ACH-000265,-0.36949547060081817
ACH-000266,-0.5815874457750103
ACH-000272,-0.5824416575271572
ACH-000274,-0.4912802969028279
ACH-000277,-0.32235755418277057
ACH-000278,-0.493231757747835
ACH-000279,-0.40715127363953146
ACH-000280,-0.4597390522191549
ACH-000281,-0.3248139544212356
ACH-000288,-0.3843965342021853
ACH-000291,-0.2855871546118968
ACH-000293,-0.43786123558452794
ACH-000294,-0.12874919860966325
ACH-000295,-0.2466101360501064
ACH-000296,-0.2842965801064295
ACH-000302,-0.4821260470220777
ACH-000304,-0.2896995921094896
ACH-000307,-0.3652675468635623
ACH-000308,-0.25489034308313474
ACH-000310,-0.5039322380032157
ACH-000311,-0.5083741718914623
ACH-000312,-0.4339312362451044
ACH-000315,-0.26673997354376605
ACH-000316,-0.18778366442028674
ACH-000317,-0.2742206929266114
ACH-000318,-0.4936566092547346
ACH-000319,-0.5013425500423897
ACH-000320,-0.3882180368191016
ACH-000322,-0.18553093177191807
ACH-000323,-0.3318438926840724
ACH-000324,-0.4866608113420115
ACH-000329,-0.3811494925973817
ACH-000330,-0.3184310150999561
ACH-000331,-0.5393545165940198
ACH-000332,-0.4154224278030981
ACH-000334,-0.4838554747218513
ACH-000335,-0.3352773589040973
ACH-000336,-0.5832576434503718
ACH-000337,-0.2706831181383845
ACH-000338,-0.34839225584779004
ACH-000339,-0.3878320768130857
ACH-000341,-0.20112870428561186
ACH-000348,-0.30394980087658763
ACH-000350,-0.5667772575113678
ACH-000352,-0.3682055104464728
ACH-000356,-0.4542232249357969
ACH-000361,-0.4179564230824168
ACH-000362,-0.3610081127118324
ACH-000363,-0.4263248438015857
ACH-000364,-0.299132365545395
ACH-000365,-0.3367298735926744
ACH-000366,-0.384300175559994
ACH-000368,-0.5609514785077905
ACH-000374,-0.4441811460201331
ACH-000375,-0.3624860206905464
ACH-000376,-0.4167130702518738
ACH-000381,-0.3658909390661511
ACH-000383,-0.3937007971733221
ACH-000387,-0.2523629982584292
ACH-000389,-0.4291649721276861
ACH-000390,-0.6286899722458648
ACH-000393,-0.4168537482368332
ACH-000395,-0.3512962846756435
ACH-000396,-0.5296677611883135
ACH-000397,-0.3258096628903664
ACH-000401,-0.4644209309936871
ACH-000402,-0.2526371021468454
ACH-000403,-0.5939944457921021
ACH-000404,-0.2414140927192513
ACH-000406,-0.2681133245020033
ACH-000407,-0.4343107449784465
ACH-000408,-0.442060071005544
ACH-000410,-0.30478217342383124
ACH-000411,-0.4433829687209627
ACH-000414,-0.498687270465635
ACH-000415,-0.2562915804495023
ACH-000416,-0.33711495486699977
ACH-000420,-0.4288725360220302
ACH-000421,-0.3915885339709753
ACH-000424,-0.5944800136218578
ACH-000425,-0.4137017026830902
ACH-000426,-0.7496013578655076
ACH-000427,-0.5886856677014515
ACH-000433,-0.4029036035349029
ACH-000435,-0.3949632697020423
ACH-000436,-0.8140362391329531
ACH-000444,-0.2450216387383566
ACH-000445,-0.4381759273528541
ACH-000448,-0.470897762557671
ACH-000450,-0.3547862382587403
ACH-000452,-0.4015097295235836
ACH-000454,-0.5463471976389117
ACH-000458,-0.4242697275620072
ACH-000459,-0.3394031592993499
ACH-000460,-0.496439182499514
ACH-000461,-0.5750531543852185
ACH-000463,-0.4456648248331495
ACH-000464,-0.7521560930529654
ACH-000466,-0.6139923734939359
ACH-000467,-0.296401825270842
ACH-000468,-0.4336516848045509
ACH-000469,-0.3474357954523841
ACH-000470,-0.4431930242798864
ACH-000471,-0.16725859739591367
ACH-000472,-0.3271061993240704
ACH-000473,-0.3108830368691271
ACH-000475,-0.3371563586301441
ACH-000476,-0.5027435449765998
ACH-000477,-0.12146170032215335
ACH-000479,-0.4954306177926082
ACH-000480,-0.11448389235439295
ACH-000481,-0.5184987079087411
ACH-000483,-0.5345904381585036
ACH-000484,-0.2981863395997897
ACH-000485,-0.5761019053448924
ACH-000486,-0.4200534494875456
ACH-000487,-0.4049963906072122
ACH-000488,-0.3366885266852569
ACH-000490,-0.3100601699541257
ACH-000491,-0.5095604856951199
ACH-000495,-0.5054121284432559
ACH-000496,-0.2570830497226781
ACH-000499,-0.11670535410142298
ACH-000500,-0.3523723832394229
ACH-000502,-0.5010593018251974
ACH-000503,-0.5121104383662564
ACH-000505,-0.5124672935866843
ACH-000507,-0.3861639351343979
ACH-000510,-0.4008410410486803
