,PEAK1 (79834)
ACH-000004,0.038761521323824204
ACH-000005,0.43649306878282745
ACH-000007,0.23749196267986095
ACH-000009,0.090996342107899
ACH-000011,0.3149348297502436
ACH-000012,0.2229318134869165
ACH-000013,0.21498643966618808
ACH-000014,0.17294306551522454
ACH-000015,0.14748764535489844
ACH-000017,0.12543592506313958
ACH-000018,0.3227787154136734
ACH-000019,0.07973130060996972
ACH-000021,0.3124022893631265
ACH-000022,0.12483341709920193
ACH-000025,0.13715011117142506
ACH-000028,0.24721862565155395
ACH-000030,0.1459796367296516
ACH-000035,0.1843894794132266
ACH-000036,0.2613063248605761
ACH-000037,0.19034946735578626
ACH-000039,0.2642986259387502
ACH-000040,0.3485724645036597
ACH-000041,0.19351159732800235
ACH-000042,0.16601189451133716
ACH-000045,0.1788316336510568
ACH-000047,0.14133018282708415
ACH-000052,0.2624323404034059
ACH-000053,0.2241441578237142
ACH-000054,0.2814754915579343
ACH-000055,0.1791886595360802
ACH-000060,0.09654642468752443
ACH-000067,0.1295024792561313
ACH-000070,0.29685986252379354
ACH-000075,0.13370113457125593
ACH-000078,0.18816843861154267
ACH-000082,0.3097797026205298
ACH-000085,0.25262720858999443
ACH-000086,0.13758324843380387
ACH-000087,0.1590151361035117
ACH-000092,0.28006394044395
ACH-000095,0.2246467036348908
ACH-000097,0.10800935303100227
ACH-000098,0.1694392368354543
ACH-000099,0.2500355329667142
ACH-000108,0.23226638623276946
ACH-000113,0.1522125403552568
ACH-000116,0.24683211992439336
ACH-000118,0.2881214700159317
ACH-000120,0.3203300752038255
ACH-000123,0.12826647878448985
ACH-000127,0.13742799237145706
ACH-000128,0.2107614157373222
ACH-000132,0.2274297312205688
ACH-000133,0.2536348415668684
ACH-000137,0.25167770531678785
ACH-000138,0.2476446352129542
ACH-000142,0.1732798404998461
ACH-000143,0.3529912371635985
ACH-000146,0.19061061732650947
ACH-000148,0.08310011927234727
ACH-000150,0.3178488475167437
ACH-000152,0.1600524994279267
ACH-000153,0.15459030786586234
ACH-000159,0.20350242920977024
ACH-000160,0.008685817741982776
ACH-000163,0.3117680173158299
ACH-000167,0.19388691932932206
ACH-000168,0.2531568936490541
ACH-000169,0.16395019420059567
ACH-000178,0.2779630986624244
ACH-000183,0.15693741808405026
ACH-000188,0.23995212749494466
ACH-000189,0.4936257964010952
ACH-000190,0.17014423115781765
ACH-000198,0.3108663149058042
ACH-000203,0.221012292380618
ACH-000204,0.476713878361993
ACH-000206,0.19804089657252585
ACH-000207,0.1889468778722942
ACH-000208,0.0346000150326254
ACH-000210,0.322166617971104
ACH-000211,0.06171474381275041
ACH-000215,0.2496983302710669
ACH-000221,0.08403833518700479
ACH-000222,0.2650611408352726
ACH-000223,0.16947807460897715
ACH-000226,0.2497458992889823
ACH-000227,0.025243759729138837
ACH-000228,0.1781100089598236
ACH-000231,0.2724124344297766
ACH-000232,0.21121939846196386
ACH-000233,0.1032785390416634
ACH-000234,0.1521984396200526
ACH-000235,0.15193789813795355
ACH-000237,0.206832303756618
ACH-000238,0.2526871970608153
ACH-000242,0.3133265336907036
ACH-000243,0.17919346423932478
ACH-000244,-0.15539887111972595
ACH-000246,0.32799861588701124
ACH-000248,0.2779148202048376
ACH-000250,0.2402083459246057
ACH-000251,0.4115136925704276
ACH-000252,0.2208526390107941
ACH-000253,0.17621406498495965
ACH-000255,0.15137874154020362
ACH-000256,0.12849182326176192
ACH-000257,0.17550594041482884
ACH-000258,0.2182166489058437
ACH-000259,0.11681224013713075
ACH-000260,0.22893255814426325
ACH-000261,0.1609803164046884
ACH-000262,0.2309855196535787
ACH-000263,0.2350770906670287
ACH-000264,0.2422294268453485
ACH-000265,0.12264191977344842
ACH-000266,0.1646883847514024
ACH-000272,0.19231278939946653
ACH-000274,0.17435809971815308
ACH-000277,0.2686380625432859
ACH-000278,0.14428339470385387
ACH-000279,0.19254310258460267
ACH-000280,0.0553213361689877
ACH-000281,0.10777176810995168
ACH-000288,0.3101731841435537
ACH-000291,0.2781881129636574
ACH-000293,0.1543806358147513
ACH-000294,0.21426705500315085
ACH-000295,0.01872297383948364
ACH-000296,0.06836213555225754
ACH-000302,0.18840961063715986
ACH-000304,0.42465388999022496
ACH-000307,0.1549491253884516
