,HIST1H1E (3008)
ACH-000004,0.08326146058424477
ACH-000005,-0.39527748076594504
ACH-000007,-0.3271513228917807
ACH-000009,-0.2393774393727755
ACH-000011,-0.6067515844548006
ACH-000012,-0.3518347210816898
ACH-000013,-0.2772273371619153
ACH-000014,-0.5125929542630105
ACH-000015,0.060206531140019885
ACH-000017,-0.6960504998641209
ACH-000018,-0.4537976598336712
ACH-000019,-0.3384698427544301
ACH-000021,-0.2871031837159202
ACH-000022,-0.3027604803035908
ACH-000025,-0.14631081692545908
ACH-000028,-0.2628859463285728
ACH-000030,-0.334641282946386
ACH-000035,-0.3731722095925549
ACH-000036,-0.3134617085160093
ACH-000037,-0.19856210622031725
ACH-000039,-0.3968316431308835
ACH-000040,-0.26431222198799353
ACH-000041,-0.2850089592030988
ACH-000042,-0.1757704109478078
ACH-000045,-0.14698320984795407
ACH-000047,-0.09693657541881218
ACH-000052,-0.04436342858797361
ACH-000053,-0.11648004127886068
ACH-000054,-0.4807743507296704
ACH-000055,-0.35841486804220235
ACH-000060,-0.30806355464488955
ACH-000067,-0.2424438335837472
ACH-000070,-0.3624061374187016
ACH-000075,-0.3454843255482658
ACH-000078,-0.21743335148739573
ACH-000082,-0.456190085499585
ACH-000085,-0.4518554224599791
ACH-000086,-0.31678589008124725
ACH-000087,-0.1655954297616291
ACH-000092,-0.5013208116251207
ACH-000095,-0.21791129953198804
ACH-000097,-0.3033001406777174
ACH-000098,-0.3251858137166738
ACH-000099,-0.20845467505550785
ACH-000108,-0.34982503403979226
ACH-000113,-0.17453760214674888
ACH-000116,-0.11530374121926575
ACH-000118,-0.4007588673467767
ACH-000120,-0.4192613316775162
ACH-000123,-0.5438913381094143
ACH-000127,-0.4272744127939168
ACH-000128,-0.4841655217755769
ACH-000132,-0.2975939015844357
ACH-000133,-0.495231095116015
ACH-000137,-0.2495224852382553
ACH-000138,-0.2523205421838263
ACH-000142,-0.4044681078612254
ACH-000143,-0.6011076875669153
ACH-000146,-0.4084109266856612
ACH-000148,-0.32808491052712235
ACH-000150,-0.21693524807554304
ACH-000152,-0.3131551572151767
ACH-000153,-0.4965687423555002
ACH-000159,-0.2842285461355126
ACH-000160,0.16568991952950246
ACH-000163,-0.14338135007541752
ACH-000167,0.15723613504103598
ACH-000168,-0.41336850435964895
ACH-000169,-0.5669889863883422
ACH-000178,-0.467950433759037
ACH-000183,-0.6537229795170998
ACH-000188,-0.2482891914397135
ACH-000189,-0.7212256947921648
ACH-000190,0.02621392316355369
ACH-000198,-0.6188397090146233
ACH-000203,0.12964524426250668
ACH-000204,-0.5651660560592909
ACH-000206,-0.8999599270834304
ACH-000207,-0.3821257393442435
ACH-000208,-0.5671854888917522
ACH-000210,-0.3079223241213367
ACH-000211,-0.3164344914164576
ACH-000215,-0.4180958203911795
ACH-000221,-0.18916193904688716
ACH-000222,-0.6034546146699783
ACH-000223,-0.31925496747908577
ACH-000226,-0.20329015097219855
ACH-000227,-0.18455477014006846
ACH-000228,-0.1117088055382854
ACH-000231,-0.601727995145583
ACH-000232,-0.2068916798972602
ACH-000233,-0.285225675728962
ACH-000234,-0.6682561145370698
ACH-000235,-0.3083193256482855
ACH-000237,-0.30975574173999576
ACH-000238,-0.2767668410657788
ACH-000242,-0.6040093375343992
ACH-000243,-0.3734360804003734
ACH-000244,-0.45599483819661
ACH-000246,-0.40991896035126596
ACH-000248,-0.3855174168350061
ACH-000250,-0.4346806536413537
ACH-000251,-0.4697845550345802
ACH-000252,-0.3824666137144037
ACH-000253,-0.3714478578044204
ACH-000255,-0.06669154140476118
ACH-000256,-0.3082877507912378
ACH-000257,-0.1275195670772623
ACH-000258,-0.3219253926731643
ACH-000259,-0.343196559524479
ACH-000260,-0.4054769145093277
ACH-000261,-0.3648815446596385
ACH-000262,-0.18240069288122612
