,CSNK1G2 (1455)
ACH-000004,-0.049052689880926925
ACH-000005,-0.13058124701276694
ACH-000007,-0.04568913148663198
ACH-000009,-0.021588207780868247
ACH-000011,0.018419307047442827
ACH-000012,-0.1797951167689512
ACH-000013,-0.26236950855141744
ACH-000014,-0.034464860910112194
ACH-000015,-0.12019411385686245
ACH-000017,-0.3164348394513247
ACH-000018,-0.12168781098491985
ACH-000019,-0.14666450609528936
ACH-000021,-0.12446136045395413
ACH-000022,-0.10744988537949612
ACH-000025,-0.08832916025924283
ACH-000028,-0.2216978746159992
ACH-000030,-0.07220060448498278
ACH-000035,-0.2645367122626729
ACH-000036,-0.20785552399308724
ACH-000037,-0.05818661960620265
ACH-000039,-0.08467794443897457
ACH-000040,-0.013773134106799655
ACH-000041,-0.08016534923764587
ACH-000042,-0.1240506707714356
ACH-000045,-0.014209068983075257
ACH-000047,-0.19317546411362616
ACH-000052,-0.06794991131483888
ACH-000053,-0.13953279336257518
ACH-000054,-0.14588741097788946
ACH-000055,-0.14499644593703254
ACH-000060,-0.0205657997672931
ACH-000067,-0.07070244167596268
ACH-000070,-0.16460646289845554
ACH-000075,-0.21658830618095348
ACH-000078,-0.0588929422837829
ACH-000082,-0.11778825807488402
ACH-000085,-0.32213052158171146
ACH-000086,-0.15796128996497566
ACH-000087,-0.012299530102454678
ACH-000092,-0.06770583864951674
ACH-000095,-0.29512864960200724
ACH-000097,8.779331013067959e-05
ACH-000098,-0.17495109866975214
ACH-000099,-0.17509289314814386
ACH-000108,-0.10466186789002628
ACH-000113,0.004307010717306739
ACH-000116,-0.10704821297167223
ACH-000118,0.038351064203728115
ACH-000120,-0.07071766325573824
ACH-000123,-0.05286135005044901
ACH-000127,-0.20615703217119735
ACH-000128,-0.2591026099326265
ACH-000132,-0.04418725519516373
ACH-000133,-0.11733045256501665
ACH-000137,-0.05921709136884579
ACH-000138,-0.18210988665972494
ACH-000142,-0.09009601212682276
ACH-000143,-0.11199461602603114
ACH-000146,-0.17345083366989067
ACH-000148,-0.059414262776654674
ACH-000150,-0.12516607614093034
ACH-000152,-0.09828443559949217
ACH-000153,-0.012688891389346002
ACH-000159,-0.2067193004023536
ACH-000160,-0.032721836109084114
ACH-000163,-0.0065790920275522104
ACH-000167,-0.053944330100244235
ACH-000168,-0.12246293896025963
ACH-000169,-0.1967756451109027
ACH-000178,-0.04067563435890805
ACH-000183,-0.22240605055094415
ACH-000188,-0.12142602030592226
ACH-000189,0.04471309982259794
ACH-000190,0.009223972648031138
ACH-000198,-0.19348322212954602
ACH-000203,-0.2048510920103119
ACH-000204,-0.028399975257379795
ACH-000206,0.038042273246906025
ACH-000207,-0.019638270975730676
ACH-000208,-0.026339463757188708
ACH-000210,-0.18418761242490925
ACH-000211,-0.08694517306269506
ACH-000215,-0.11756072479124564
ACH-000221,-0.13249449447011455
ACH-000222,-0.17943686639992634
ACH-000223,-0.057566015897670374
ACH-000226,-0.06607018103854584
ACH-000227,-0.103021126830392
ACH-000228,-0.105233235117372
ACH-000231,-0.11459662650399892
ACH-000232,-0.15429330714662046
ACH-000233,-0.06327773080982678
ACH-000234,-0.2280696199329206
ACH-000235,-0.1845143122737023
ACH-000237,-0.16386492829763866
ACH-000238,-0.1290163118050769
ACH-000242,-0.20225627838531532
ACH-000243,-0.09449905568218434
ACH-000244,-0.02737440784631897
ACH-000246,-0.16688213540132638
ACH-000248,-0.15557369785496952
ACH-000250,-0.1061702102392237
ACH-000251,-0.19598328054507344
ACH-000252,-0.2012595510254669
ACH-000253,-0.059632742002350685
ACH-000255,-0.1836931558964682
ACH-000256,-0.12420251454494068
ACH-000257,-0.17721575779587867
ACH-000258,0.0347731746966865
ACH-000259,-0.19392009378666328
ACH-000260,-0.10143445666149968
ACH-000261,-0.1350278679653345
ACH-000262,-0.12879422450797254
ACH-000263,-0.04755709669562224
ACH-000264,-0.11279586202914613
ACH-000265,-0.1161935561520022
ACH-000266,-0.12775755138319653
ACH-000272,-0.12335242116519897
ACH-000274,-0.14286659529506182
ACH-000277,-0.2044243380735543
ACH-000278,-0.0072501000512052655
ACH-000279,-0.1094216812689384
ACH-000280,-0.15997739924928375
ACH-000281,-0.16577625249956104
ACH-000288,-0.021651592741646925
ACH-000291,-0.02526714404321195
ACH-000293,-0.12274028278474985
ACH-000294,0.13148165033120046
ACH-000295,-0.23568409574129265
ACH-000296,-0.07140901723142519
ACH-000302,-0.3344255452229416
ACH-000304,-0.2594809533986819
ACH-000307,-0.1595249793283923
ACH-000308,-0.11507827933306206
ACH-000310,-0.18218416162209164
ACH-000311,-0.11509756133928407
ACH-000312,-0.2700944741726045
ACH-000315,-0.18071282154321905
ACH-000316,-0.11807558127555215
ACH-000317,-0.1283712429488867
ACH-000318,-0.09418828446789844
ACH-000319,-0.1464158363067149
ACH-000320,-0.12717411411675875
ACH-000322,0.02874341252955889
ACH-000323,-0.2557214459251835
ACH-000324,-0.18286281592002035
ACH-000329,-0.13539482255491586
