,INMT (11185)
ACH-000004,-0.07032809453811406
ACH-000005,0.008456862609009479
ACH-000007,-0.13141738430506275
ACH-000009,-0.20493850772841266
ACH-000011,-0.1912579757307888
ACH-000012,-0.20649350341387754
ACH-000013,-0.07997879752596901
ACH-000014,-0.044986194916156484
ACH-000015,-0.014067039762933874
ACH-000017,-0.11804361029701713
ACH-000018,-0.036190803716619487
ACH-000019,-0.23310792823793164
ACH-000021,-0.04633796923427863
ACH-000022,-0.2337796542855808
ACH-000025,-0.06199107002522269
ACH-000028,-0.00384490477108706
ACH-000030,-0.07408503128777298
ACH-000035,-0.020619336507650347
ACH-000036,-0.138237577793051
ACH-000037,-0.2677255184763612
ACH-000039,-0.11518304405868528
ACH-000040,-0.1653153002034248
ACH-000041,-0.17605824663939013
ACH-000042,-0.1436312936821214
ACH-000045,-0.1083550967888739
ACH-000047,-0.3078581001938227
ACH-000052,-0.012889662753629069
ACH-000053,-0.11527024388634324
ACH-000054,-0.04350193090888451
ACH-000055,0.08071440531363895
ACH-000060,-0.09737496403373196
ACH-000067,-0.2299487136293233
ACH-000070,-0.1436382571528287
ACH-000075,-0.307734792972202
ACH-000078,-0.2517998230347685
ACH-000082,-0.2101396841663572
ACH-000085,-0.119252667829972
ACH-000086,0.010081769395153664
ACH-000087,-0.10432230004111852
ACH-000092,0.058950009797097074
ACH-000095,-0.12093325434669157
ACH-000097,-0.06565732630637619
ACH-000098,-0.10514672412021613
ACH-000099,-0.12923884875451078
ACH-000108,-0.06318868351040184
ACH-000113,-0.06632392432064707
ACH-000116,-0.05619430196723887
ACH-000118,0.011953363516193277
ACH-000120,-0.21754016440227705
ACH-000123,-0.1501319886578704
ACH-000127,-0.07968342643585656
ACH-000128,-0.18312832938394324
ACH-000132,0.03003252915328494
ACH-000133,-0.06670634416971176
ACH-000137,-0.08061890774439795
ACH-000138,-0.06262725886303665
ACH-000142,-0.03431995093944507
ACH-000143,-0.07332432326671966
ACH-000146,-0.13284621007243128
ACH-000148,-0.0831783228745707
ACH-000150,-0.13935513393141324
ACH-000152,-0.18233663832403546
ACH-000153,0.150002359965866
ACH-000159,-0.19697376481985668
ACH-000160,-0.06573990091343199
ACH-000163,0.1332486347315058
ACH-000167,0.3493369297530041
ACH-000168,-0.2691909581527459
ACH-000169,-0.21803570475080994
ACH-000178,-0.08924405885998762
ACH-000183,-0.2016336598292864
ACH-000188,-0.045413073016904615
ACH-000189,-0.4224107243534512
