,FSCN2 (25794)
ACH-000004,-0.09420003299585576
ACH-000005,-0.0215622490629979
ACH-000007,0.06353121561682172
ACH-000009,-0.17941059254131228
ACH-000011,-0.16914912110203925
ACH-000012,-0.2833125941118021
ACH-000013,-0.1297600618727923
ACH-000014,-0.21869841703590187
ACH-000015,-0.07914088646750726
ACH-000017,-0.5089580620282961
ACH-000018,0.047224900446329
ACH-000019,-0.34903288131127114
ACH-000021,-0.13948620470979228
ACH-000022,-0.321539681916651
ACH-000025,-0.3178441513244595
ACH-000028,-0.19539275182453955
ACH-000030,-0.2477864319356675
ACH-000035,-0.2300942682265293
ACH-000036,-0.25914958949531725
ACH-000037,-0.45746710144923297
ACH-000039,-0.2610844580483918
ACH-000040,-0.2104343733967715
ACH-000041,-0.2953894116661279
ACH-000042,-0.3863758661805379
ACH-000045,-0.1773562706417912
ACH-000047,-0.3191129438614214
ACH-000052,-0.3845185077565918
ACH-000053,-0.1997438417837384
ACH-000054,-0.1712236147241424
ACH-000055,-0.2312873582939021
ACH-000060,-0.33420046483043203
ACH-000067,-0.17930013549374196
ACH-000070,-0.20472790218162107
ACH-000075,-0.17172215076395492
ACH-000078,-0.2386648350666351
ACH-000082,-0.3144132222604529
ACH-000085,-0.06812658756292507
ACH-000086,-0.24967767659470294
ACH-000087,-0.21051809830950732
ACH-000092,-0.1875908233165016
ACH-000095,-0.26255785456710723
ACH-000097,-0.25857432548296305
ACH-000098,-0.07602135481286214
ACH-000099,-0.3426267656534481
ACH-000108,-0.283862862326
ACH-000113,-0.31556500005519883
ACH-000116,-0.3718336714264403
ACH-000118,-0.2926132419735056
ACH-000120,-0.4796439096367617
ACH-000123,-0.1308541620712219
ACH-000127,-0.2058260563974338
ACH-000128,-0.41886675701272746
ACH-000132,-0.32445049372286083
ACH-000133,-0.15428560042207312
ACH-000137,-0.06999016334600035
ACH-000138,-0.2462408560977616
ACH-000142,-0.2726164360940129
ACH-000143,-0.35877576574961856
ACH-000146,-0.22875557069611205
ACH-000148,-0.3103199202903881
ACH-000150,-0.2361622922525151
ACH-000152,-0.225105318538513
ACH-000153,-0.00236886458902353
ACH-000159,-0.23866995918843134
ACH-000160,-0.4275187012474753
ACH-000163,-0.31872864332596745
ACH-000167,-0.3284565632235817
ACH-000168,-0.13220763643534508
ACH-000169,-0.0886234118746022
ACH-000178,-0.20363436433354493
ACH-000183,-0.3273585691803614
ACH-000188,-0.16547238396780398
ACH-000189,-0.30596442067310364
ACH-000190,-0.11487562353484085
ACH-000198,-0.1962533374151039
ACH-000203,-0.34650611948967514
ACH-000204,-0.10850364732243076
ACH-000206,-0.06673135880437596
ACH-000207,-0.07061601223936746
ACH-000208,-0.12111663689897745
ACH-000210,-0.0492772579800013
ACH-000211,-0.2053830043166427
ACH-000215,-0.2230435704002909
ACH-000221,-0.25826940206527144
ACH-000222,-0.16801248186539808
ACH-000223,-0.2095537969377305
ACH-000226,-0.2442961599796349
ACH-000227,-0.26120376797175143
ACH-000228,-0.014990253693179469
ACH-000231,-0.2401906197290293
ACH-000232,-0.2075693662835964
ACH-000233,-0.2372529262062988
ACH-000234,-0.2250672905442748
ACH-000235,-0.21262477566582103
ACH-000237,-0.19710827268566505
ACH-000238,-0.3133204720764731
ACH-000242,-0.6173633339814579
ACH-000243,-0.2558906923566629
ACH-000244,-0.18057755513655085
ACH-000246,-0.324325186950568
ACH-000248,-0.4550340942828452
ACH-000250,-0.3066048042317864
ACH-000251,-0.3231680766052551
ACH-000252,-0.21489997394486104
ACH-000253,-0.2118923647448793
ACH-000255,-0.2734458467473561
ACH-000256,-0.3412815054504381
ACH-000257,-0.2270461763844797
ACH-000258,-0.35523139838081746
ACH-000259,-0.3550291810020307
ACH-000260,-0.30745158917116866
ACH-000261,-0.31230138588187484
ACH-000262,-0.20110829906939928
ACH-000263,-0.010882335615418015
ACH-000264,-0.3087612440213527
ACH-000265,-0.1910839135330588
ACH-000266,-0.2367869840497107
ACH-000272,-0.1792719671923121
ACH-000274,-0.19996249731437804
ACH-000277,-0.3434552208536469
ACH-000278,-0.12772369257273322
ACH-000279,-0.25038698847628177
ACH-000280,-0.284751476117093
ACH-000281,-0.13119926744767474
ACH-000288,-0.2933961545066528
ACH-000291,-0.264831884980542
ACH-000293,-0.4053688354408665
ACH-000294,-0.263894646476062
ACH-000295,-0.4983919802859052
ACH-000296,-0.1862533470416886
ACH-000302,-0.2280728258637365
ACH-000304,-0.2832871892835785
ACH-000307,-0.15219597271814705
ACH-000308,-0.30162853252208066
ACH-000310,-0.3293944936530576
ACH-000311,-0.3038212999005043
ACH-000312,-0.3026126497846577
ACH-000315,0.043615191334304235
ACH-000316,-0.32922755935356884
ACH-000317,-0.1671213405074527
ACH-000318,-0.13546538026585
ACH-000319,-0.3157933701284376
ACH-000320,-0.25097238873423594
ACH-000322,-0.36369370779139465
ACH-000323,-0.2817655933363977
ACH-000324,-0.3063924725120734
ACH-000329,-0.2826107688716551
ACH-000330,-0.1024447577995567
ACH-000331,-0.2825192098924269
ACH-000332,-0.2559193003261461
ACH-000334,-0.09045326650506777
ACH-000335,-0.21635035906285824
ACH-000336,-0.08256104991041338
ACH-000337,-0.3805450030376968
ACH-000338,0.12441611295823858
ACH-000339,-0.22339630845472488
ACH-000341,-0.22461036411228644
ACH-000348,-0.09828084998503972
ACH-000350,-0.10933960658049548
ACH-000352,-0.25367484660035866
ACH-000356,-0.06860803073984711
ACH-000361,-0.2971973663670829
ACH-000362,-0.16967412572725474
ACH-000363,-0.2566100984406107
ACH-000364,-0.03871737699304726
ACH-000365,-0.10678870539838596
ACH-000366,-0.2233176102767212
ACH-000368,-0.14912488678068647
ACH-000374,-0.4435647866251671
ACH-000375,-0.19325876875180192
ACH-000376,-0.2757323917445513
ACH-000381,-0.14902960193594594
ACH-000383,-0.16473414718238916
ACH-000387,-0.28834532347621195
ACH-000389,-0.2744321539674632
ACH-000390,-0.21076840564711755
ACH-000393,-0.13123345669238878
ACH-000395,-0.33642336627631897
ACH-000396,-0.3939767184326787
ACH-000397,-0.3707626865684314
ACH-000401,-0.16368732981173378
ACH-000402,-0.2248951108220592
ACH-000403,-0.28876104421057275
ACH-000404,-0.039525266053209406
ACH-000406,-0.15375884953303431
ACH-000407,-0.3791347575966783
ACH-000408,-0.3415958532806326
ACH-000410,-0.16497525505619254
ACH-000411,-0.251912549055914
ACH-000414,-0.2588693995657158
ACH-000415,-0.2110005590746329
ACH-000416,-0.21164468338154274
ACH-000420,-0.2274156997739901
ACH-000421,-0.21030786609359456
ACH-000424,-0.2825450262875654
ACH-000425,-0.16161672801510618
ACH-000426,-0.1391745958837453
ACH-000427,-0.3616429453973173
ACH-000433,-0.2678226564210216
ACH-000435,-0.23422184869165724
ACH-000436,-0.2700273706846532
ACH-000444,-0.09113848309766187
ACH-000445,-0.2646127184208165
ACH-000448,-0.16196948757941226
ACH-000450,-0.2465658271179715
ACH-000452,-0.16471083212163706
ACH-000454,-0.12842193534995405
ACH-000458,-0.3102601179647198
ACH-000459,-0.3502827911784223
ACH-000460,-0.200946977521694
ACH-000461,-0.11442281445255448
ACH-000463,-0.19662598024064198
ACH-000464,-0.08326607206022173
ACH-000466,-0.4883557043557297
ACH-000467,-0.3027773198838941
ACH-000468,-0.1603663563469632
ACH-000469,-0.3563332351486532
ACH-000470,-0.3132362697474858
ACH-000471,-0.304782729772019
ACH-000472,-0.2971612640002594
ACH-000473,-0.41535552050240987
ACH-000475,-0.3218112848807943
ACH-000476,-0.3305339879042908
ACH-000477,-0.12366972645685753
ACH-000479,-0.3906791039499533
ACH-000480,-0.3409858001533365
ACH-000481,-0.18610537668266933
ACH-000483,-0.2579995680469423
ACH-000484,-0.3744676616982322
ACH-000485,-0.1680246000694745
ACH-000486,-0.10830629422641648
ACH-000487,-0.20121665014380136
ACH-000488,-0.3207364365681547
ACH-000490,-0.10324141181544738
ACH-000491,-0.1758299925544035
ACH-000495,-0.2605220058196408
ACH-000496,-0.2407984229921156
ACH-000499,-0.2927204193448001
