,PIGM (93183)
ACH-000004,-0.11257167031679012
ACH-000005,-0.10104932888329328
ACH-000007,-0.07697050898971429
ACH-000009,-0.25828910330780896
ACH-000011,-0.3972930907185677
ACH-000012,-0.3132092676290181
ACH-000013,-0.026606606361180268
ACH-000014,-0.1684818857541886
ACH-000015,-0.15396235436119046
ACH-000017,-0.0906686720403355
ACH-000018,-0.2527279128437341
ACH-000019,-0.08228366574601696
ACH-000021,-0.11483671364681175
ACH-000022,-0.1883046270751056
ACH-000025,-0.40511950578946254
ACH-000028,0.030874236651856526
ACH-000030,-0.1892181790066084
ACH-000035,-0.34117087800359264
ACH-000036,-0.030591718713674824
ACH-000037,-0.15526733591415234
ACH-000039,-0.20809039954150066
ACH-000040,-0.07219414962570475
ACH-000041,-0.14256319203252574
ACH-000042,-0.2179176587537048
ACH-000045,-0.02436492566456263
ACH-000047,-0.3565822199445169
ACH-000052,-0.33775952799095976
ACH-000053,-0.11778193987807575
ACH-000054,-0.18775431866388656
ACH-000055,0.033272560203233256
ACH-000060,-0.11940508890573133
ACH-000067,-0.11958081295215785
ACH-000070,-0.08564754103501226
ACH-000075,-0.251438667437133
ACH-000078,-0.21158061780626874
ACH-000082,-0.24496223279971355
ACH-000085,-0.23004645386670985
ACH-000086,-0.4030869836721708
ACH-000087,-0.19002983899325748
ACH-000092,-0.24949078620752166
ACH-000095,-0.2808828177062188
ACH-000097,-0.09886651841949713
ACH-000098,-0.4088373555621296
ACH-000099,-0.14515364996894367
ACH-000108,-0.12851312331565432
ACH-000113,-0.14794609256602698
ACH-000116,-0.16343926761279287
ACH-000118,-0.3314827807732475
ACH-000120,-0.12685801246256154
ACH-000123,-0.2228105092999493
ACH-000127,-0.18886292723475145
ACH-000128,-0.1492594928893644
ACH-000132,-0.21221149913940948
ACH-000133,-0.2608310504831953
ACH-000137,-0.24775917921166155
ACH-000138,-0.29115064221361725
ACH-000142,-0.18638793034834525
ACH-000143,-0.14914412896870374
ACH-000146,-0.14189009007036518
ACH-000148,-0.21270538412762074
ACH-000150,-0.2196319292033784
ACH-000152,-0.03376308731645908
ACH-000153,-0.12984050802930344
ACH-000159,-0.2522716263143517
ACH-000160,-0.14369904028855726
ACH-000163,-0.34777669942411665
ACH-000167,-0.2162852085876132
ACH-000168,-0.010649205434017008
ACH-000169,-0.22587886885664565
ACH-000178,-0.11841401416929305
ACH-000183,-0.099416664711322
ACH-000188,-0.15992615814518968
ACH-000189,-0.14915841822163928
ACH-000190,-0.03579729081746271
ACH-000198,-0.06337883894447949
ACH-000203,-0.1366341006080913
ACH-000204,-0.3622970589941501
ACH-000206,-0.09683171306768704
ACH-000207,-0.035589102070586465
ACH-000208,-0.19081964715814712
ACH-000210,-0.23411340427719296
ACH-000211,-0.16441890830567146
ACH-000215,-0.2245276029268855
ACH-000221,-0.1918187789405152
ACH-000222,-0.25970784324625257
ACH-000223,-0.20893347591157405
ACH-000226,-0.164452389638778
ACH-000227,-0.13518641087673167
ACH-000228,-0.1328063226304335
ACH-000231,-0.14862695079988306
ACH-000232,-0.2788885655601657
ACH-000233,-0.1650486313163925
ACH-000234,-0.008034081613840643
ACH-000235,-0.18781414967306406
ACH-000237,-0.14043180959118512
ACH-000238,-0.12599747515974652
ACH-000242,-0.4185846996072749
ACH-000243,-0.15824122393818135
ACH-000244,-0.2408703534975555
ACH-000246,-0.2794634299373219
ACH-000248,-0.23787098015864835
ACH-000250,-0.19095364257628436
ACH-000251,-0.16325107778268244
ACH-000252,-0.13823591693514414
ACH-000253,-0.21309251702501333
ACH-000255,-0.18811121414967605
ACH-000256,-0.1717668308960348
ACH-000257,-0.2699069172777848
ACH-000258,-0.07558051934772236
ACH-000259,-0.20976438514060067
ACH-000260,-0.2143629699612397
ACH-000261,-0.10276604813372188
ACH-000262,-0.21132460709766387
ACH-000263,-0.2902626782827726
ACH-000264,-0.26429396480878
ACH-000265,-0.22165560723714708
ACH-000266,-0.2446669641127168
ACH-000272,-0.3622680037091323
ACH-000274,-0.16191446078685487
ACH-000277,-0.12892658517663658
ACH-000278,-0.2370659210104675
ACH-000279,-0.12398558282567435
ACH-000280,-0.2651117210987056
ACH-000281,-0.13676475714915728
ACH-000288,-0.1579049166928229
ACH-000291,-0.13146944516466189
ACH-000293,-0.02203678192351609
ACH-000294,-0.1797716797853915
ACH-000295,-0.15217518949033326
ACH-000296,-0.1671636585779232
ACH-000302,-0.18150006100561708
ACH-000304,0.10862108114158424
ACH-000307,-0.19551251004657247
ACH-000308,-0.21571082736185854
ACH-000310,-0.19285735189971914
ACH-000311,-0.4589770428584361
ACH-000312,-0.17455368530408755
ACH-000315,-0.00822256663390383
ACH-000316,-0.19108108307372665
ACH-000317,-0.08929770149083226
ACH-000318,-0.285137712011774
ACH-000319,-0.14592405618431234
ACH-000320,-0.2212375766107344
ACH-000322,-0.08816393549063015
ACH-000323,-0.07244903418214277
ACH-000324,-0.2938683125879031
ACH-000329,-0.1332117478627932
ACH-000330,-0.15854426086851622
ACH-000331,-0.4659751112088319
ACH-000332,-0.2364156156552201
ACH-000334,-0.3386489312229089
ACH-000335,-0.34690785484933623
ACH-000336,-0.4486590575668245
ACH-000337,-0.19507757564977088
ACH-000338,-0.4384696008676953
ACH-000339,-0.2390366578614405
ACH-000341,-0.42402822501916776
ACH-000348,-0.07061217273748988
ACH-000350,-0.09232026060694032
ACH-000352,-0.15907737361476898
ACH-000356,-0.3774231753361101
ACH-000361,-0.029712630298330427
ACH-000362,-0.15138185632530865
ACH-000363,-0.20957557142426966
ACH-000364,-0.3526078574961348
ACH-000365,-0.1790380654824007
ACH-000366,-0.1878470872948702
ACH-000368,-0.13419773502229976
ACH-000374,-0.30555860118981565
ACH-000375,-0.30249467263082624
ACH-000376,-0.1536175581427725
ACH-000381,-0.3151124306921524
ACH-000383,-0.1565571284448059
ACH-000387,-0.20156479760857585
ACH-000389,-0.14037416042899725
ACH-000390,-0.16850778549437168
ACH-000393,-0.19561433185589272
ACH-000395,-0.1588883095055358
ACH-000396,-0.17517987940419488
ACH-000397,-0.13940545959685655
ACH-000401,-0.16652537949991886
ACH-000402,-0.2856813375302741
ACH-000403,-0.2369126681226543
ACH-000404,-0.20179859302893596
ACH-000406,-0.23859074807048186
ACH-000407,-0.1821035279084066
ACH-000408,-0.10501562288441647
ACH-000410,-0.3037964601806357
ACH-000411,-0.1555417162014487
ACH-000414,-0.18989705754857591
ACH-000415,-0.12047721313694833
ACH-000416,-0.31026320444077937
ACH-000420,-0.20708869729917986
ACH-000421,-0.21497773899707892
ACH-000424,-0.2998163537573288
ACH-000425,-0.1499115239665475
ACH-000426,-0.4961859535498189
ACH-000427,-0.18670002527773727
ACH-000433,-0.18809044276339154
ACH-000435,0.15810599381682958
ACH-000436,0.012697606476261095
ACH-000444,-0.190585913517018
ACH-000445,-0.36072330993353546
ACH-000448,-0.05965132243288013
ACH-000450,-0.40096329079287396
ACH-000452,-0.2191246108394036
ACH-000454,-0.21003723207965308
ACH-000458,-0.2469730068195618
ACH-000459,-0.01948179936124788
ACH-000460,-0.08211726272880307
ACH-000461,-0.1834304694426474
ACH-000463,-0.16701084034587174
ACH-000464,-0.17576835908923122
ACH-000466,-0.38492344732940653
ACH-000467,-0.5221939207368158
ACH-000468,-0.12162754897721027
ACH-000469,-0.13620007110517002
ACH-000470,-0.10471361631841487
ACH-000471,-0.2980052750020298
ACH-000472,-0.14553102344430133
ACH-000473,-0.30555827063503177
ACH-000475,-0.285884740335785
ACH-000476,-0.2590038580146456
ACH-000477,-0.13781909148570587
ACH-000479,-0.31661163221122873
ACH-000480,-0.13289293711027314
ACH-000481,-0.21809899531215046
ACH-000483,-0.1146114929328877
ACH-000484,-0.17505746196458194
ACH-000485,-0.21852689971818248
ACH-000486,-0.1677763257396681
ACH-000487,-0.07941202306003879
ACH-000488,-0.1413937686598129
ACH-000490,-0.32946570950595483
ACH-000491,-0.2554471692221617
ACH-000495,-0.10388579672953306
ACH-000496,-0.1828276547503571
ACH-000499,-0.10710498083559744
ACH-000500,-0.5152216575565183
ACH-000502,-0.2996191137563377
ACH-000503,-0.12280490066809012
ACH-000505,-0.2039963141667055
ACH-000507,-0.0638917870071146
ACH-000510,-0.22497626943633706
ACH-000511,-0.13923873911872273
ACH-000512,-0.2833190936366595
ACH-000516,-0.13265154062454115
ACH-000517,-0.22194714729327625
ACH-000518,-0.2991599702231153
ACH-000520,-0.17932698980341574
ACH-000521,-0.4321030412392455
ACH-000522,-0.33624366184697074
ACH-000524,-0.09601942838877996
ACH-000527,-0.2581696160894985
ACH-000528,-0.25112424622984186
ACH-000537,-0.4567974453043653
ACH-000541,-0.0512402653586878
ACH-000542,-0.1902741172743692
ACH-000544,0.1222126765858294
ACH-000545,-0.30900324960254544
ACH-000547,-0.1491712939633163
ACH-000548,-0.22008147650118
ACH-000549,-0.295438090899162
ACH-000550,-0.14446109873331014
ACH-000552,-0.2570794587674737
ACH-000556,-0.1297616730766764
ACH-000557,-0.13132609387765504
ACH-000569,0.0949662571959222
ACH-000570,-0.2416216455856097
ACH-000571,-0.2330451173208988
ACH-000573,-0.26922934762850603
ACH-000576,-0.025552395144403498
ACH-000579,-0.1134070895237717
ACH-000580,-0.18444798323993847
ACH-000584,-0.1067385057285214
ACH-000585,-0.1727623807508602
ACH-000588,-0.3114578455079507
ACH-000589,-0.10595742293683673
ACH-000591,-0.12667492351767298
ACH-000593,-0.39537170790905934
