,TBL1XR1 (79718)
ACH-000004,-0.1350157995550672
ACH-000005,-0.07750966458252934
ACH-000007,-0.14458313924992064
ACH-000009,-0.4327184114093281
ACH-000011,-0.2386125966940404
ACH-000012,-0.2211663237785889
ACH-000013,-0.5112001011662941
ACH-000014,-0.4700973773427194
ACH-000015,-0.07927915507955424
ACH-000017,-0.6841951711905473
ACH-000018,-0.37132378038723945
ACH-000019,-0.4609481693209018
ACH-000021,-0.2696738665626831
ACH-000022,-0.1722784911042288
ACH-000025,-0.20041910856854905
ACH-000028,-0.24118961850243215
ACH-000030,-0.30895898063290506
ACH-000035,-0.4889883059978817
ACH-000036,-0.6103223303454597
ACH-000037,-0.26022283287974984
ACH-000039,-0.5121916229575729
ACH-000040,-0.21132980114079736
ACH-000041,0.07815264420234395
ACH-000042,-0.6355132338033308
ACH-000045,-0.3419333711510353
ACH-000047,-0.3647871484549667
ACH-000052,-0.5567281638420436
ACH-000053,-0.4297618365241251
ACH-000054,-0.023972073661284808
ACH-000055,-0.4762238262551191
ACH-000060,-0.5272303421615776
ACH-000067,-0.6172904515492341
ACH-000070,-0.08525027575369981
ACH-000075,-0.040161716279401384
ACH-000078,-0.24744659310094505
ACH-000082,-0.1816359495774748
ACH-000085,-0.7937956664508369
ACH-000086,-0.2514002986207782
ACH-000087,-0.1623261038531354
ACH-000092,-0.284793504774989
ACH-000095,-0.6840808998825729
ACH-000097,-0.2608674562746521
ACH-000098,-0.06815401046702266
ACH-000099,-0.045520893694564094
ACH-000108,-0.21365807810778395
ACH-000113,-0.17607327442576973
ACH-000116,-0.10723785425879803
ACH-000118,-0.7307626491890035
ACH-000120,-0.36538382078279663
ACH-000123,-0.10179789046828376
ACH-000127,0.10296812387336728
ACH-000128,-0.2950022082611755
ACH-000132,-0.2921606891596225
ACH-000133,-0.571993333262558
ACH-000137,0.1979394448965617
ACH-000138,-0.17579889736327875
ACH-000142,0.12091169377568164
ACH-000143,-0.10942277476308816
ACH-000146,0.14675710107348552
ACH-000148,-0.2167248267223154
ACH-000150,-0.13675247760576376
ACH-000152,-0.4302371751082992
ACH-000153,0.04407760358075986
ACH-000159,-0.08414460032111483
ACH-000160,0.05090264891802762
