,RAP1A (5906)
ACH-000004,-0.19087021185064168
ACH-000005,-0.3530086971213385
ACH-000007,-0.26400729463989986
ACH-000009,-0.2695237044157744
ACH-000011,-0.1842009500018468
ACH-000012,-0.2655778649561144
ACH-000013,-0.2487843443492821
ACH-000014,-0.2887842268907145
ACH-000015,-0.20769674117571926
ACH-000017,-0.2420412213014196
ACH-000018,-0.2426718486487208
ACH-000019,-0.19862819457695724
ACH-000021,-0.14627081189884672
ACH-000022,-0.246949687867026
ACH-000025,-0.2268252481353908
ACH-000028,-0.3986522012883011
ACH-000030,-0.21020146857251165
ACH-000035,-0.3717924575188386
ACH-000036,-0.17506734890633527
ACH-000037,-0.22608091371348876
ACH-000039,-0.1938458113762159
ACH-000040,-0.3086352631670254
ACH-000041,-0.17390776656943036
ACH-000042,-0.15771760329284093
ACH-000045,-0.04028274797231808
ACH-000047,-0.24778953466459705
ACH-000052,-0.2693009669240054
ACH-000053,-0.11919488072978365
ACH-000054,-0.3025334348322683
ACH-000055,-0.26089034535613115
ACH-000060,-0.3887277155300197
ACH-000067,-0.4164691581241167
ACH-000070,-0.08454173791066555
ACH-000075,-0.2413879912105005
ACH-000078,-0.2720914401664199
ACH-000082,-0.16104146136589073
ACH-000085,-0.16976128041535876
ACH-000086,-0.2662166981937242
ACH-000087,-0.41424345205036905
ACH-000092,-0.3982474411149296
ACH-000095,-0.12211601852692157
ACH-000097,-0.2950254297117732
ACH-000098,-0.17397195151774547
ACH-000099,-0.20675488789268984
ACH-000108,-0.2607877246666178
ACH-000113,-0.25187384137114593
ACH-000116,-0.19772958534163
ACH-000118,-0.2362532900565981
ACH-000120,-0.11259862578170415
ACH-000123,-0.13214291177492335
ACH-000127,-0.2610543467909629
ACH-000128,-0.309649912988592
ACH-000132,-0.11127670389896548
ACH-000133,-0.11874408927539155
ACH-000137,-0.2727844996399185
ACH-000138,-0.27031908143315186
ACH-000142,-0.2679014104870039
ACH-000143,-0.12957226198204352
ACH-000146,-0.16722870404658988
ACH-000148,-0.24356965444370995
ACH-000150,-0.2313515094922993
ACH-000152,-0.2784803734583956
ACH-000153,-0.14093898425321885
ACH-000159,-0.2463276358393338
ACH-000160,-0.2753958448472336
