,MASP2 (10747)
ACH-000004,-0.05080463977209666
ACH-000005,-0.3747258039859412
ACH-000007,-0.18332037109915444
ACH-000009,-0.2677815999413061
ACH-000011,-0.13743618869111962
ACH-000012,-0.17113079564714934
ACH-000013,-0.14748511419444535
ACH-000014,-0.2884350028084885
ACH-000015,-0.08988273860645657
ACH-000017,-0.14668858652977934
ACH-000018,-0.3423413617189286
ACH-000019,-0.11318584886719575
ACH-000021,-0.06952083336374115
ACH-000022,-0.12695348658382305
ACH-000025,-0.2792268860758473
ACH-000028,-0.05009179748779608
ACH-000030,-0.19800180962113426
ACH-000035,-0.3696707429541625
ACH-000036,0.01408848355199276
ACH-000037,-0.2496723646903573
ACH-000039,-0.28688305472567205
ACH-000040,-0.21667643582775967
ACH-000041,-0.2497273147835287
ACH-000042,-0.1214211385802383
ACH-000045,-0.2359362333382597
ACH-000047,-0.16284006716757168
ACH-000052,-0.046292541047798334
ACH-000053,-0.13266778835022458
ACH-000054,-0.13897255346409754
ACH-000055,-0.1254476877601455
ACH-000060,-0.18607146980578135
ACH-000067,-0.1310972328868886
ACH-000070,-0.24076547032167556
ACH-000075,-0.13537934857407874
ACH-000078,-0.07280198586183756
ACH-000082,-0.04616258367023217
ACH-000085,-0.42686293389382096
ACH-000086,-0.1843520895005808
ACH-000087,-0.5194945633924846
ACH-000092,-0.1317225215437889
ACH-000095,-0.17145933843173986
ACH-000097,-0.11623116703098388
ACH-000098,-0.17788056489242218
ACH-000099,-0.15853936798183396
ACH-000108,-0.2811687765508035
ACH-000113,-0.15520271317503198
ACH-000116,-0.17455396656676547
ACH-000118,-0.1525533028458455
ACH-000120,-0.21532157768102955
ACH-000123,-0.07499232287169648
ACH-000127,-0.12331987007425628
ACH-000128,-0.5479384780087306
ACH-000132,-0.1695443425309681
ACH-000133,-0.13842708682274316
ACH-000137,-0.06562223234136845
ACH-000138,-0.14484975874913014
ACH-000142,-0.1702582663749641
ACH-000143,-0.2638037439910024
ACH-000146,-0.17678484657595514
ACH-000148,-0.3148227093278549
ACH-000150,-0.5130908542335345
ACH-000152,-0.2549301653189293
ACH-000153,-0.2418630069471749
ACH-000159,-0.19541265041259975
ACH-000160,-0.2479930438936864
ACH-000163,-0.1024729986774702
ACH-000167,-0.13324098923273567
ACH-000168,-0.41178925023567214
ACH-000169,-0.2154943780490997
ACH-000178,-0.1032338753216868
ACH-000183,-0.10217410822562102
ACH-000188,-0.2575775199895089
ACH-000189,-0.27710175994035874
ACH-000190,-0.2413845912772282
ACH-000198,-0.13413411236829342
ACH-000203,0.4167511762044589
ACH-000204,-0.07979252472797445
ACH-000206,-0.3711199468849372
ACH-000207,-0.10158460011091508
ACH-000208,-0.3340952993893277
ACH-000210,0.059232192278084336
ACH-000211,-0.12551201199870218
ACH-000215,-0.09041269339184373
ACH-000221,-0.1837476401781505
ACH-000222,-0.030151389316805093
ACH-000223,-0.06939438344239947
ACH-000226,-0.16106051665859536
ACH-000227,-0.2324267564863937
ACH-000228,-0.05515303739858962
ACH-000231,-0.1033344960289404
ACH-000232,-0.09986182503565516
ACH-000233,-0.2186716886699841
ACH-000234,-0.1529746680114491
ACH-000235,-0.11701564728993548
ACH-000237,-0.19982764097577602
ACH-000238,-0.2395136779447745
ACH-000242,-0.2163629474434035
ACH-000243,-0.10703381624122957
ACH-000244,-0.01662681323758894
ACH-000246,-0.18799962374269666
ACH-000248,-0.1369538807246371
ACH-000250,-0.10032203465719054
ACH-000251,-0.24516785392623056
ACH-000252,-0.2916579117148404
ACH-000253,-0.2117734038790429
ACH-000255,-0.1799818854230306
ACH-000256,-0.21859966615432347
ACH-000257,-0.3660442429790143
ACH-000258,-0.2964692749876362
ACH-000259,-0.19849040001651566
ACH-000260,-0.1911294177425681
ACH-000261,0.08550523815137821
ACH-000262,-0.3063581929781744
ACH-000263,-0.2434240677050973
ACH-000264,-0.1348961227663034
ACH-000265,-0.104310254317235
ACH-000266,-0.1534123181333865
ACH-000272,-0.08022876285489736
ACH-000274,-0.12035732491364436
ACH-000277,-0.1857749053789321
ACH-000278,-0.20363289063119014
ACH-000279,-0.2294725917500813
ACH-000280,-0.18921886117429848
ACH-000281,-0.3504217501974877
ACH-000288,-0.2887558269940101
ACH-000291,-0.07251189400060981
ACH-000293,-0.3874098580493582
ACH-000294,-0.1386439769324926
ACH-000295,-0.2466206704541323
ACH-000296,-0.3925917441309757
ACH-000302,-0.24034223621522774
ACH-000304,-0.3641133215788363
ACH-000307,-0.12138662828838888
ACH-000308,-0.1453572532130581
ACH-000310,-0.09231864882886684
ACH-000311,-0.18651513619681392
ACH-000312,-0.2195441315228793
ACH-000315,-0.17035402800793775
ACH-000316,-0.1767498673781774
ACH-000317,-0.10933193774696688
ACH-000318,-0.10565984048838284
ACH-000319,-0.22415578186534715
ACH-000320,-0.28161537438509204
ACH-000322,-0.20863968136195227
ACH-000323,-0.3285711937058963
ACH-000324,-0.2348345946097176
ACH-000329,-0.231570285603282
ACH-000330,0.055979464032882086
ACH-000331,-0.11811306187005227
ACH-000332,-0.11071934349482647
ACH-000334,-0.2576155464125049
ACH-000335,-0.04281908650273464
ACH-000336,-0.19554415719968876
ACH-000337,-0.10658092587286178
ACH-000338,-0.6778059437960666
ACH-000339,-0.07935254259149194
ACH-000341,-0.13113513315079547
ACH-000348,-0.1648868438584372
ACH-000350,-0.26407172385968025
ACH-000352,-0.3092208667333332
