,ACTR1B (10120)
ACH-000004,-0.40132071581104206
ACH-000005,-0.5369651920981434
ACH-000007,-0.23829710140506036
ACH-000009,-0.3765563542587865
ACH-000011,-0.30982894052726984
ACH-000012,-0.5808975148807866
ACH-000013,-0.4534430970679
ACH-000014,-0.6211718955615021
ACH-000015,-0.6502214362958176
ACH-000017,-0.5103150647912482
ACH-000018,-0.3624600971661608
ACH-000019,-0.2347207961156127
ACH-000021,-0.3149725972729342
ACH-000022,-0.3572049148394595
ACH-000025,-0.441282062225773
ACH-000028,-0.378431851154438
ACH-000030,-0.8702767331720502
ACH-000035,-0.5072067332617903
ACH-000036,-0.3469971312185217
ACH-000037,-0.4034935813766623
ACH-000039,-0.3865878210050357
ACH-000040,-0.2891366867762065
ACH-000041,-0.41231951887101176
ACH-000042,-0.4158769146544385
ACH-000045,-0.34187127255351835
ACH-000047,-0.4478146236371721
ACH-000052,-0.3343129303499196
ACH-000053,-0.4986011680082196
ACH-000054,-0.4599680497120253
ACH-000055,-0.31764513251832605
ACH-000060,-0.3072342902401025
ACH-000067,-0.4593579863281382
ACH-000070,-0.5779388298811163
ACH-000075,-0.5087303916961139
ACH-000078,-0.3454854972588775
ACH-000082,-0.5035562452063548
ACH-000085,-0.4605824825696274
ACH-000086,-0.5483204351060976
ACH-000087,-0.35515547054931523
ACH-000092,-0.5001610561397309
ACH-000095,-0.5362719006746612
ACH-000097,-0.4859072018316066
ACH-000098,-0.6009799506065294
ACH-000099,-0.5184356385727056
ACH-000108,-0.3078924295922401
ACH-000113,-0.4168126150939792
ACH-000116,-0.5423592504779168
ACH-000118,-0.35825231956918874
ACH-000120,-0.22519780849409854
ACH-000123,-0.4092838173189278
ACH-000127,-0.4300102924561009
ACH-000128,-0.5230539240897097
ACH-000132,-0.25921638251944545
ACH-000133,-0.4088962623684019
ACH-000137,-0.4532382267599314
ACH-000138,-0.4271547961047087
ACH-000142,-0.383001883445868
ACH-000143,-0.3829915736064947
ACH-000146,-0.4229136019062267
ACH-000148,-0.382881623506622
ACH-000150,-0.21343325704687105
ACH-000152,-0.357665894084245
ACH-000153,-0.4345738069071959
ACH-000159,-0.4028261623843203
