,LYPLA2 (11313)
ACH-000004,-0.10822853284520867
ACH-000005,0.1607771553499396
ACH-000007,-0.28507489733734154
ACH-000009,-0.12406982836988575
ACH-000011,-0.16752710016314612
ACH-000012,-0.18413639893273626
ACH-000013,-0.16183615465993434
ACH-000014,-0.14270249520509315
ACH-000015,-0.1671957446536413
ACH-000017,-0.12201979096800515
ACH-000018,-0.18816584694758864
ACH-000019,0.1921672245155503
ACH-000021,-0.06903340102420667
ACH-000022,-0.09149402790203924
ACH-000025,-0.2764199313637964
ACH-000028,-0.05385561343796253
ACH-000030,-0.18083141388306614
ACH-000035,-0.3188647089417501
ACH-000036,-0.07794511287158326
ACH-000037,-0.16769332401848835
ACH-000039,-0.12480531870318187
ACH-000040,-0.2962281816651494
ACH-000041,-0.16557708803382454
ACH-000042,-0.16627573147957925
ACH-000045,-0.2972724209150733
ACH-000047,-0.2542334621937054
ACH-000052,-0.2801269147164533
ACH-000053,-0.0935616938173768
ACH-000054,-0.18561333824796836
ACH-000055,-0.4078448572108846
ACH-000060,-0.30562230568315824
ACH-000067,-0.3978645256892997
ACH-000070,-0.0722060700888474
ACH-000075,-0.10433089864696764
ACH-000078,-0.148130951794475
ACH-000082,-0.185732474707959
ACH-000085,-0.17603873566995135
ACH-000086,-0.05456442931752471
ACH-000087,-0.34118985731435725
ACH-000092,-0.3458683753696064
ACH-000095,-0.2144885192653912
ACH-000097,-0.055025706119672516
ACH-000098,-0.21939250359736084
ACH-000099,-0.15326898877447154
ACH-000108,-0.20400580654450626
ACH-000113,-0.011377655742631087
ACH-000116,-0.04783644289559559
ACH-000118,-0.12590997444731986
ACH-000120,-0.09149019132622854
ACH-000123,-0.06682752072319373
ACH-000127,-0.11515800387173948
ACH-000128,-0.3171813920587131
ACH-000132,-0.18759669395532716
ACH-000133,-0.16661926778608288
ACH-000137,-0.20339744335831533
ACH-000138,-0.10364349863770048
ACH-000142,-0.22402589099810866
ACH-000143,-0.1518637826232409
ACH-000146,-0.1988409050947824
ACH-000148,-0.044939860070022604
ACH-000150,-0.45000085002216217
ACH-000152,-0.2839307864082362
ACH-000153,-0.1151880440008984
ACH-000159,-0.2204277265069624
ACH-000160,0.040219927474372495
