,NCAPH2 (29781)
ACH-000004,-0.8111230048832131
ACH-000005,-0.4940223553235744
ACH-000007,-0.99514547666344
ACH-000009,-0.2124365439408392
ACH-000011,-0.5332691482059874
ACH-000012,-1.0078722994788951
ACH-000013,-0.8617116110782789
ACH-000014,-1.0058055316939454
ACH-000015,-0.8764069726919682
ACH-000017,-0.8903711034764062
ACH-000018,-0.7747782172480105
ACH-000019,-0.8414293224677323
ACH-000021,-0.9206351100096676
ACH-000022,-0.3619456204245877
ACH-000025,-0.8172522661532805
ACH-000028,-0.727346110780475
ACH-000030,-1.0725637960227654
ACH-000035,-1.006334750265376
ACH-000036,-0.8236776524324156
ACH-000037,-0.7038563558200938
ACH-000039,-0.5830616616385305
ACH-000040,-0.8466779502788979
ACH-000041,-0.694451601069594
ACH-000042,-1.136021557439773
ACH-000045,-0.7647446875666136
ACH-000047,-0.9235483966614126
ACH-000052,-0.9724303698210084
ACH-000053,-0.2468783444981996
ACH-000054,-1.065234049793052
ACH-000055,-1.0662263685195057
ACH-000060,-1.215585314727543
ACH-000067,-1.166628744987725
ACH-000070,-0.6418627606541699
ACH-000075,-1.1021299344672004
ACH-000078,-0.6606634046155727
ACH-000082,-0.8896720146119652
ACH-000085,-0.7904672550053149
ACH-000086,-0.942165549028268
ACH-000087,-0.6327139890620207
ACH-000092,-1.079495993780016
ACH-000095,-0.8176657556924629
ACH-000097,-1.2164824909306449
ACH-000098,-1.2528381441950829
ACH-000099,-0.7376877810727294
ACH-000108,-0.6740843933975266
ACH-000113,-0.7345785688328645
ACH-000116,-0.500058458228613
ACH-000118,-0.6813811486974706
ACH-000120,-0.7323995531322454
ACH-000123,-0.6665257319666926
ACH-000127,-0.5909203142038458
ACH-000128,-0.8635459661445344
ACH-000132,-0.9206290482568028
ACH-000133,-1.108107746922002
ACH-000137,-0.8078298700510149
ACH-000138,-0.5848564177924034
ACH-000142,-0.2819905526746581
ACH-000143,-0.7654095647684411
ACH-000146,-0.6630443801031615
ACH-000148,-0.91533520814049
ACH-000150,-0.9970813840292544
ACH-000152,-1.0111812429568598
ACH-000153,-0.7292877046671872
ACH-000159,-0.7830249200130112
ACH-000160,-0.7743664283485349
ACH-000163,-0.8415150074990698
ACH-000167,-0.6526644979859826
ACH-000168,-0.7077637058102186
ACH-000169,-0.7093169834044692
ACH-000178,-0.6991119035242394
ACH-000183,-0.9999315941418984
ACH-000188,-0.6283740635630121
ACH-000189,-0.8022102401110647
ACH-000190,-0.8767409895554651
