,CCT6A (908)
ACH-000004,-0.8877213386575002
ACH-000005,-0.9131469814090394
ACH-000007,-0.7976483383746257
ACH-000009,-0.8256678532981835
ACH-000011,-0.3778811476036957
ACH-000012,-0.23745493470583964
ACH-000013,-0.7497702990373245
ACH-000014,-0.7493672667299598
ACH-000015,-0.7874975306122313
ACH-000017,-0.4873008720194942
ACH-000018,-0.8942902636305696
ACH-000019,-0.7412551906715317
ACH-000021,-0.7048009946969834
ACH-000022,-0.5591707412299293
ACH-000025,-0.7718798448018116
ACH-000028,-0.7176118941551043
ACH-000030,-0.4509454560081563
ACH-000035,-0.7214897889221251
ACH-000036,-0.6210335347855762
ACH-000037,-0.5254704784146975
ACH-000039,-0.6894241416815451
ACH-000040,-0.7104549764452408
ACH-000041,-0.7346382548749513
ACH-000042,-0.7148560435026562
ACH-000045,-0.5928516687766061
ACH-000047,-0.4756356322452575
ACH-000052,-0.7567226432917429
ACH-000053,-0.7582538487083395
ACH-000054,-0.7135730684524805
ACH-000055,-0.7519571043088271
ACH-000060,-0.5632978610354769
ACH-000067,-0.8332445984409875
ACH-000070,-0.6555770200882058
ACH-000075,-0.8319690469266516
ACH-000078,-0.5846385758713442
ACH-000082,-0.8181553936695687
ACH-000085,-0.8837605597568374
ACH-000086,-0.5921985733014357
ACH-000087,-0.7477870250479829
ACH-000092,-0.896617654265388
ACH-000095,-0.7528748511134195
ACH-000097,-0.8313874042809808
ACH-000098,-0.7079870359771937
ACH-000099,-0.5908933721618315
ACH-000108,-0.6336804581932379
ACH-000113,-0.6951965733545783
ACH-000116,-0.7402169144848746
ACH-000118,-0.620518757425649
ACH-000120,-0.7411141864117121
ACH-000123,-0.5862181337818212
ACH-000127,-0.9227503871924376
ACH-000128,-1.0002166581559044
ACH-000132,-0.8608251074763134
ACH-000133,-0.7924011616444118
ACH-000137,-0.6607643470491605
ACH-000138,-0.6435002725007745
ACH-000142,-0.4662501516108958
ACH-000143,-0.7791725221474622
ACH-000146,-0.6849668644649708
ACH-000148,-0.8893882997959858
ACH-000150,-0.5721984871963633
ACH-000152,-0.9419446161686568
ACH-000153,-1.0126539280071911
ACH-000159,-0.7543180002902901
ACH-000160,-0.8946452754881116
ACH-000163,-0.6996201830141494
ACH-000167,-1.5883322609803998
ACH-000168,-0.7156395779079446
ACH-000169,-0.501234940462659
ACH-000178,-0.7362360998535744
ACH-000183,-0.6379514188458681
ACH-000188,-0.6887169892301772
ACH-000189,-0.6849817349836179
ACH-000190,-1.0263151053181097
ACH-000198,-0.7009310964701992
ACH-000203,-0.6096456303472368
ACH-000204,-0.6070136022248875
ACH-000206,-0.8459361105950951
ACH-000207,-0.6461600335959131
ACH-000208,-1.0749330007286453
ACH-000210,-0.7390276165629207
ACH-000211,-0.7564256313687621
ACH-000215,-0.7144510320075704
ACH-000221,-0.7104503102868506
ACH-000222,-0.6449863659919891
ACH-000223,-0.8585579598985864
ACH-000226,-0.5835863306127027
ACH-000227,-0.6823315985588345
ACH-000228,-0.9371466315472436
ACH-000231,-0.8129828768818025
ACH-000232,-0.7283581676822742
ACH-000233,-0.6555680921711069
ACH-000234,-0.6355034766535553
ACH-000235,-0.6598028726026215
ACH-000237,-0.8768328631187807
ACH-000238,-0.5772050183069933
ACH-000242,-0.0916404815990276
ACH-000243,-0.6972342074023441
ACH-000244,-1.0562508297611812
ACH-000246,-0.7514225392320881
ACH-000248,-0.5110630247214372
ACH-000250,-0.6193776711708362
ACH-000251,-0.5586262925557576
ACH-000252,-0.907559240906386
ACH-000253,-0.6875267842152691
ACH-000255,-0.8830556412025142
ACH-000256,-0.7689661126877846
ACH-000257,-0.6154589782611903
ACH-000258,-0.4809539151493338
ACH-000259,-0.5576245161034712
ACH-000260,-0.6950346509620545
ACH-000261,-0.5781672682274489
ACH-000262,-0.6337653176187455
ACH-000263,-0.7676451253747719
ACH-000264,-1.060454235823843
ACH-000265,-0.6965110101120869
ACH-000266,-0.718728096548198
ACH-000272,-0.8441536628378046
ACH-000274,-0.3889703143359485
ACH-000277,-0.8193449947310631
ACH-000278,-0.7598127688147766
ACH-000279,-0.7715301105492912
ACH-000280,-0.6598954812760482
ACH-000281,-0.5515402991145756
ACH-000288,-0.950857044267632
ACH-000291,-0.8799015251070252
ACH-000293,-0.7066597099912526
ACH-000294,-0.3750758523751
ACH-000295,-0.9301597484752312
ACH-000296,-0.8917319223638599
ACH-000302,-0.6705325958794924
ACH-000304,-0.5331419269702611
ACH-000307,-0.8730607418720966
ACH-000308,-0.9600398901333737
ACH-000310,-0.7256781787822982
ACH-000311,-0.6962722628341242
ACH-000312,-0.7390180196737429
ACH-000315,-0.7004284084993202
ACH-000316,-0.791604927186905
ACH-000317,-0.4764349223923912
ACH-000318,-0.8272752640624854
ACH-000319,-0.729207200879743
ACH-000320,-0.7530399660039331
ACH-000322,-0.6889198187722111
ACH-000323,-1.0304306893109607
ACH-000324,-0.7037853003117394
ACH-000329,-0.8287675920001321
ACH-000330,-0.8141499529093438
ACH-000331,-0.7268776299277546
ACH-000332,-0.622895959691563
ACH-000334,-0.9654473621874776
ACH-000335,-0.5848869438818761
ACH-000336,-0.6738353330207693
ACH-000337,-0.6051473024247541
ACH-000338,0.36368003646736174
ACH-000339,-0.7576451644003889
ACH-000341,-0.7954199360390463
ACH-000348,-0.5457527284558487
ACH-000350,-0.6247808841227493
ACH-000352,-0.7833200486851756
ACH-000356,-0.7608342103586013
ACH-000361,-0.8813179755503509
ACH-000362,-0.7003311589816554
ACH-000363,-0.7918063208838583
ACH-000364,-0.7417841610821734
ACH-000365,-0.6686607881304826
ACH-000366,-0.7402157700826558
ACH-000368,-0.6987221572252776
ACH-000374,-0.6679126536080937
ACH-000375,-0.6280390975867255
ACH-000376,-0.7133785537996234
ACH-000381,-0.6361277210671722
ACH-000383,-0.7437916030957222
ACH-000387,-0.8914941829104397
ACH-000389,-0.8292628130683465
ACH-000390,-0.4283272633149524
ACH-000393,-0.86100397407692
ACH-000395,-0.7604789431905851
ACH-000396,-0.5284310814688842
ACH-000397,-0.9024762603595398
ACH-000401,-0.7474577582672713
ACH-000402,-1.119536263663579
ACH-000403,-0.5648755402084316
ACH-000404,-0.375315890211967
ACH-000406,-0.7661644850406838
ACH-000407,-0.7227270670398703
ACH-000408,-0.6154107501525403
ACH-000410,-0.9068535788997776
ACH-000411,-0.5898027953759271
ACH-000414,-0.8063069728171065
ACH-000415,-0.6734541518526358
ACH-000416,-0.7460043067270306
ACH-000420,-0.948833580981966
ACH-000421,-0.8354542250309941
ACH-000424,-0.6696796906689975
ACH-000425,-0.7919259446939243
ACH-000426,-0.8972617196419513
ACH-000427,-0.6455347358190122
ACH-000433,-0.7756469052007235
ACH-000435,-0.7584801791224489
ACH-000436,-0.739706198230714
ACH-000444,-0.7409516135182364
ACH-000445,-0.7392114124452435
ACH-000448,-0.7344527801854399
ACH-000450,-0.35529547236987297
ACH-000452,-0.6077573571267094
ACH-000454,-0.4913765965901738
ACH-000458,-0.5890767686508284
ACH-000459,-0.30693940894128274
