,PLA2G4C (8605)
ACH-000769,-0.046453538364510084
ACH-000770,0.2405046374628846
ACH-000771,0.02980123413837928
ACH-000773,0.15389382892938375
ACH-000776,0.1196102863232902
ACH-000777,-0.0625624622971431
ACH-000778,0.047166749639275335
ACH-000781,0.14533835157318906
ACH-000782,0.010344929507326165
ACH-000783,0.12799998993468595
ACH-000784,0.18107722295528264
ACH-000785,0.18037106321324906
ACH-000787,-0.0038328868408718476
ACH-000788,0.13302882128555285
ACH-000791,0.16171504120157934
ACH-000792,0.07835061669645707
ACH-000794,0.1903865974836933
ACH-000796,0.057805355842710675
ACH-000798,0.09145775820753496
ACH-000799,0.039558959125774534
ACH-000800,0.16840844733856986
ACH-000802,0.21877859958724494
ACH-000804,0.16754403790657604
ACH-000805,0.2597275956486748
ACH-000809,0.14612562761392073
ACH-000810,-0.02720770547747679
ACH-000811,0.09438802025629553
ACH-000817,0.1363655840944219
ACH-000819,0.015334046605863625
ACH-000820,0.2944280177802547
ACH-000821,0.06189289018286675
ACH-000822,0.12470435892115732
ACH-000823,0.1875339221717636
ACH-000824,-0.06745115032505121
ACH-000827,0.1592666525596981
ACH-000829,0.18506690750314805
ACH-000831,0.11975922719996128
ACH-000832,0.3127158666338676
ACH-000833,0.12126308257903955
ACH-000834,0.2742977336070896
ACH-000835,-0.009438750047165064
ACH-000836,0.1804710590205568
ACH-000837,0.01533223886348111
ACH-000838,0.2946183811318292
ACH-000839,0.15862708020941266
ACH-000840,0.3147311373433383
ACH-000841,0.1310061759557719
ACH-000843,0.03705787675210543
ACH-000846,0.11184509115479097
ACH-000847,-0.015764270365713456
ACH-000848,0.19858506176108204
ACH-000849,0.2330162789746857
ACH-000851,0.2882599523477079
ACH-000855,0.2598676472000815
ACH-000856,0.22620944472577226
ACH-000858,0.05776732205058974
ACH-000859,0.04937274892152188
ACH-000861,0.10507793670696976
ACH-000862,-0.010999481734259542
ACH-000865,0.145131832246036
ACH-000866,0.140506140448318
ACH-000867,0.14515540706029806
ACH-000869,0.13662435052889413
ACH-000872,0.2154622114219432
ACH-000873,0.1903782114112933
ACH-000876,0.1866384327642817
ACH-000878,-0.09136844038062256
ACH-000880,0.1807310660901598
ACH-000881,0.18161969136449854
ACH-000882,0.016875905599066723
ACH-000884,0.1424355017415172
ACH-000885,0.2346402144021243
ACH-000887,0.1119039186893163
ACH-000889,0.18438107364535064
ACH-000896,0.16963852852457048
ACH-000898,0.12985689684781396
ACH-000900,0.16752747172063945
ACH-000901,0.10382699402513096
ACH-000905,0.2254909482725793
ACH-000906,0.04196689467158257
ACH-000907,0.29984801986956505
ACH-000910,0.1115251172852993
ACH-000911,0.14483401714253247
ACH-000912,0.23981868986686106
ACH-000913,0.1954380592741436
ACH-000915,0.15227226346297076
ACH-000916,0.18897429720633
ACH-000917,0.16176473018087065
ACH-000920,0.4626169068419416
ACH-000921,0.09396114496375904
ACH-000924,0.10526622249097477
ACH-000926,0.046039429523784606
ACH-000928,-0.04913259987212211
ACH-000929,0.17884778668514673
ACH-000932,0.20466481468394332
ACH-000935,0.023035009281210626
ACH-000936,0.06270016068812546
ACH-000937,0.23733627934385984
ACH-000938,0.17678770179790718
ACH-000939,0.03181951376559887
ACH-000941,0.0529300575651896
ACH-000943,0.05228255686334083
ACH-000946,0.2252242619704964
ACH-000947,0.2231938053448852
ACH-000948,0.2359494879342071
ACH-000950,0.11329594798046412
ACH-000953,0.11993002061737973
ACH-000954,-0.010094162922712905
ACH-000957,0.2448172040431003
ACH-000958,0.11981158958443015
ACH-000960,0.046970312470627884
ACH-000963,0.14785570902575093
ACH-000968,0.15762788776254238
ACH-000969,0.013206138466513978
ACH-000972,-0.0574055321433375
ACH-000973,0.12708124417456948
ACH-000974,0.11544885697623318
ACH-000978,0.05325897073331055
ACH-000984,0.07480275871338818
ACH-000986,0.1755727757507046
ACH-000988,0.02017870287366939
ACH-000993,0.01919697694493664
ACH-000994,0.20283849407556712
ACH-000996,0.19437537943728853
ACH-001001,0.031003687074088706
ACH-001020,0.2592576150245776
ACH-001028,0.11871806627712204
ACH-001031,0.3233952808466676
ACH-001038,0.12494244474255654
ACH-001048,-0.007432735182648544
ACH-001050,0.10860981190025644
ACH-001053,0.24506844536877834
ACH-001054,0.15098280330136027
ACH-001061,0.2377749641154224
ACH-001067,0.10477461550401504
ACH-001075,0.2522548594363563
ACH-001096,0.20379220601268955
ACH-001111,0.16426300424319298
ACH-001119,-0.016879214893364115
ACH-001128,-0.03254307896067244
ACH-001134,0.10771434778250202
ACH-001151,0.1048228840421264
ACH-001163,0.12777611597576305
ACH-001164,0.14413637795096376
ACH-001183,0.10284301395241824
ACH-001192,0.3022230643347313
ACH-001193,0.042511892038126387
ACH-001196,0.12398087426117825
ACH-001197,0.04015283326714871
ACH-001205,0.10825073561715337
ACH-001211,0.15147747483173005
ACH-001212,0.16422885130620002
ACH-001228,0.19839573046188985
ACH-001232,0.2210587971137828
ACH-001239,0.16880759395703085
ACH-001270,0.2389780784113027
ACH-001274,0.1737990828437679
ACH-001275,0.05501832612730264
ACH-001277,0.02325491186862987
ACH-001278,0.15130007770152587
ACH-001280,0.34371252897379784
ACH-001283,0.12682767822751376
ACH-001289,0.1228602172648286
ACH-001300,0.2563817640469201
ACH-001301,0.22326393685601
ACH-001302,0.1945092692551469
ACH-001306,0.1864733630787508
ACH-001318,0.29545004018858184
ACH-001322,0.17059634098437534
ACH-001328,0.07066652203894197
ACH-001332,0.04413128673196247
ACH-001336,0.2719867311991155
ACH-001346,0.17844333493594913
ACH-001353,0.18794074299199096
ACH-001354,0.0924733294875428
ACH-001367,0.3034692340515041
ACH-001368,0.0969450088059712
ACH-001374,0.5000056372449794
ACH-001377,0.15753237206458548
ACH-001380,0.1924372420139919
ACH-001391,0.2736979026816829
ACH-001408,0.08894050374917968
ACH-001430,0.2146328166302318
ACH-001431,0.07420359676781217
ACH-001450,0.0769585165025053
ACH-001496,0.10723300956098084
ACH-001500,0.047592435022965236
ACH-001523,0.2984833174886451
ACH-001532,0.2675529576192863
ACH-001550,0.06084399395088316
ACH-001552,0.06536517584969459
ACH-001554,0.09577416897748346
ACH-001654,0.06025490412272864
ACH-001735,0.08522272563630859
ACH-001736,0.003977104381511288
ACH-001737,0.13097047529345215
ACH-001740,0.22341784906065854
ACH-001745,-0.14062795741088982
ACH-001765,0.1721752427397486
