,CX3CR1 (1524)
ACH-000004,0.14470139791310224
ACH-000005,0.09113974680343494
ACH-000007,0.2120674274133913
ACH-000009,0.1561395680294353
ACH-000011,0.08564512163011449
ACH-000012,0.1977012240286124
ACH-000013,0.12667703157906302
ACH-000014,0.14052378224374013
ACH-000015,0.11540944981448782
ACH-000017,0.09414815109902344
ACH-000018,0.2341167568243996
ACH-000019,0.06250618421458792
ACH-000021,0.11981387548080548
ACH-000022,0.1811855644239361
ACH-000025,0.1912428979283848
ACH-000028,0.28646880713124323
ACH-000030,0.13341661928082799
ACH-000035,0.01964742201271881
ACH-000036,0.17101028892050513
ACH-000037,0.13894860583218016
ACH-000039,0.16431761961870905
ACH-000040,0.10889475117262427
ACH-000041,0.07128826911392325
ACH-000042,0.057994602923803124
ACH-000045,0.002578305671192657
ACH-000047,0.15913045788958466
ACH-000052,-0.1858580958455414
ACH-000053,0.11189655581055508
ACH-000054,0.1306194732001307
ACH-000055,0.18154180127878095
ACH-000060,0.0867124879936203
ACH-000067,0.095654322744892
ACH-000070,0.24358676584997602
ACH-000075,0.1293692630744707
ACH-000078,0.16810040792315564
ACH-000082,0.09117263473107044
ACH-000085,0.017054037473633706
ACH-000086,0.0926816589267745
ACH-000087,0.16043875546985364
ACH-000092,0.13404698300684745
ACH-000095,0.049368535970388615
ACH-000097,0.2598044504811819
ACH-000098,0.04330899157901507
ACH-000099,0.17389029455993146
ACH-000108,0.16168082408951034
ACH-000113,0.2262096199960355
ACH-000116,0.14034486919315836
ACH-000118,0.13863008074080085
ACH-000120,0.31442762242520184
ACH-000123,0.12890863096060284
ACH-000127,0.09062894172452343
ACH-000128,0.03957065058779342
ACH-000132,0.16395147645797006
ACH-000133,0.15178535983143576
ACH-000137,0.14420578021672015
ACH-000138,0.1109315612975336
ACH-000142,0.14714061529659306
ACH-000143,0.1886784219094027
ACH-000146,0.16201412131631046
ACH-000148,0.17134456783412064
ACH-000150,0.11374726460678015
ACH-000152,0.13705369022485706
ACH-000153,0.32507228646914843
ACH-000159,0.15409221828825814
ACH-000160,0.20477207946249407
ACH-000163,-0.003333687738969849
ACH-000167,0.035932470168886683
ACH-000168,0.08845968499537059
ACH-000169,0.12524893132254064
ACH-000178,0.14123614897215378
ACH-000183,-0.01909389514130166
ACH-000188,0.00520251549243824
ACH-000189,0.2108791573499631
ACH-000190,0.10048262591414936
