,ATP5B (506)
ACH-000004,-0.7693863408090459
ACH-000005,-0.34360732590384724
ACH-000007,-0.7861704538802948
ACH-000009,-0.6942459671822455
ACH-000011,-0.19556969061249746
ACH-000012,-0.4679422734344573
ACH-000013,-0.9339370895422936
ACH-000014,-0.5705701435821572
ACH-000015,-0.7840732183552278
ACH-000017,-0.5717033640382789
ACH-000018,-0.6702581822116842
ACH-000019,-1.0196102752002203
ACH-000021,-0.6489167462252632
ACH-000022,-0.9635114068066768
ACH-000025,-0.8431468618044707
ACH-000028,-0.7353246916436631
ACH-000030,-0.6170578053507753
ACH-000035,-0.6984405246469229
ACH-000036,-0.24672604031720574
ACH-000037,-0.6669851199175588
ACH-000039,-0.5011861578402319
ACH-000040,-0.3461933723803511
ACH-000041,-0.6794095392944344
ACH-000042,-0.3719691405882845
ACH-000045,-0.7026758848790093
ACH-000047,-0.8928984289468196
ACH-000052,-0.5233041994370097
ACH-000053,-0.5868882533717985
ACH-000054,-0.8852117794639617
ACH-000055,-0.5246460684554031
ACH-000060,-0.5524859953824003
ACH-000067,-0.4037681584772559
ACH-000070,-0.7436709792034952
ACH-000075,-0.364281988484652
ACH-000078,-0.7523780074325593
ACH-000082,-0.5976204269177645
ACH-000085,-0.6641600369382186
ACH-000086,-0.9554121111325052
ACH-000087,-0.9347267153219526
ACH-000092,-0.5818197503608298
ACH-000095,-0.3990313508195643
ACH-000097,-0.7002439849620947
ACH-000098,-0.6045645597960141
ACH-000099,-0.6534970653460693
ACH-000108,-0.5562147222098659
ACH-000113,-0.5846356618507665
ACH-000116,-0.8380327192326771
ACH-000118,-0.9392945745400841
ACH-000120,-0.3686504755477911
ACH-000123,-0.7520329387471923
ACH-000127,-0.8458397242582254
ACH-000128,-0.8829113327150577
ACH-000132,-0.6328674331479429
ACH-000133,-0.6333221518881234
ACH-000137,-0.7654877525606006
ACH-000138,-0.7108676494880238
ACH-000142,-0.4496324176084215
ACH-000143,-0.6267943698082363
ACH-000146,-0.4489803503051438
ACH-000148,-0.9055008416576512
ACH-000150,-0.934014905570928
ACH-000152,-0.6692506510926757
ACH-000153,-0.7971946331744859
ACH-000159,-0.6080625485995405
ACH-000160,-0.9204918286710304
ACH-000163,-0.5341192720609839
ACH-000167,-0.7970237036267167
ACH-000168,-0.444801418458339
ACH-000169,-0.9598437505570674
ACH-000178,-0.36532014902336574
ACH-000183,-0.6679966259004476
ACH-000188,-0.4802502221802218
ACH-000189,-0.7942885161368467
ACH-000190,-0.7714107997401688
