,SRFBP1 (153443)
ACH-000004,-0.5433487470080341
ACH-000005,-0.4924061340975743
ACH-000007,-0.8382121280461294
ACH-000009,-0.5292195671322507
ACH-000011,-0.9297717775421406
ACH-000012,-0.7509179438404209
ACH-000013,-0.7271115135263659
ACH-000014,-0.6836250296162998
ACH-000015,-1.0736384782951875
ACH-000017,-0.7021914625176071
ACH-000018,-0.740321515419054
ACH-000019,-0.6637923744516734
ACH-000021,-0.7416900865792899
ACH-000022,-0.6744098879126726
ACH-000025,-0.7664692018521234
ACH-000028,-1.0218220291945828
ACH-000030,-0.8898921550786469
ACH-000035,-0.6527420609112964
ACH-000036,-0.7226323207729108
ACH-000037,-0.6824761856449877
ACH-000039,-0.5700379523231908
ACH-000040,-0.8350788759379301
ACH-000041,-0.5732055357444443
ACH-000042,-0.4871524338467246
ACH-000045,-0.8894224039114766
ACH-000047,-1.0234766809897065
ACH-000052,-0.9198499976215372
ACH-000053,-0.7547866625193113
ACH-000054,-0.807094508862741
ACH-000055,-0.658507510306634
ACH-000060,-0.5806929109223897
ACH-000067,-0.8244501662310149
ACH-000070,-0.8516821022782662
ACH-000075,-0.944797954676989
ACH-000078,-0.8875482103585688
ACH-000082,-0.5849826619668296
ACH-000085,-0.7724341951837557
ACH-000086,-1.0248104176484254
ACH-000087,-1.1810481234276409
ACH-000092,-0.7885428447932854
ACH-000095,-0.7419746761773355
ACH-000097,-0.9268011101223048
ACH-000098,-0.7704055300837264
ACH-000099,-0.7298051841333756
ACH-000108,-0.8141561174665434
ACH-000113,-0.7437487958284087
ACH-000116,-1.3173684488102395
ACH-000118,-0.8445699362574476
ACH-000120,-0.5850600410301159
ACH-000123,-0.7161733909776233
ACH-000127,-0.9122707054438356
ACH-000128,-0.7640386315351205
ACH-000132,-0.6021393075176852
ACH-000133,-0.7181019451079675
ACH-000137,-0.9268815824576048
ACH-000138,-0.6240118000280707
ACH-000142,-0.8542672257753805
ACH-000143,-0.8926971016521225
ACH-000146,-0.7743078123793106
ACH-000148,-0.8921930129907117
ACH-000150,-0.970157130482634
ACH-000152,-0.5510148372209653
ACH-000153,-0.9591036862286562
