,HIBCH (26275)
ACH-000004,-0.008809542106447842
ACH-000005,-0.18399710627614788
ACH-000007,-0.06970837446938241
ACH-000009,-0.10457392395738936
ACH-000011,-0.12069738384707195
ACH-000012,-0.07037532412318205
ACH-000013,-0.10996546068542526
ACH-000014,-0.05102933512156298
ACH-000015,-0.13922324167691086
ACH-000017,-0.022292813737710703
ACH-000018,-0.09559420191337756
ACH-000019,0.048954573173565864
ACH-000021,-0.05510079929234354
ACH-000022,-0.13007565823240322
ACH-000025,-0.04588514852140979
ACH-000028,-0.16174336975174708
ACH-000030,-0.015019576492154506
ACH-000035,0.025651791482678453
ACH-000036,0.13172897007944626
ACH-000037,-0.1220121459900882
ACH-000039,-0.11126593622648752
ACH-000040,-0.15838448426352122
ACH-000041,0.005922314569603505
ACH-000042,-0.08039163034575637
ACH-000045,-0.10041838289185144
ACH-000047,-0.005609946731835764
ACH-000052,-0.17697036113924222
ACH-000053,-0.037670104542793514
ACH-000054,-0.20214544048870986
ACH-000055,0.05128023734055733
ACH-000060,0.09903641360375576
ACH-000067,-0.05095240368868243
ACH-000070,0.15700531074206397
ACH-000075,-0.19994283151691172
ACH-000078,-0.07987099663686371
ACH-000082,-0.08490626291750601
ACH-000085,-0.17594494206634198
ACH-000086,-0.10980503739529406
ACH-000087,-0.14551296421146226
ACH-000092,-0.17473597206987462
ACH-000095,-0.08648182045735578
ACH-000097,-0.11402318763635975
ACH-000098,-0.13321370944791786
ACH-000099,-0.11583675867934586
ACH-000108,-0.060123668648223036
ACH-000113,-0.12660371003403845
ACH-000116,-0.0867132717494286
ACH-000118,-0.07066118323802059
ACH-000120,-0.022030473381668168
ACH-000123,-0.09138739389964017
ACH-000127,0.04001667038147748
ACH-000128,-0.06690267862592175
ACH-000132,-0.13607065592594558
ACH-000133,-0.2264350506917354
ACH-000137,-0.15475061259030395
ACH-000138,-0.11287851305873063
ACH-000142,-0.05449477078443479
ACH-000143,-0.011062938428633288
ACH-000146,-0.02876858558097964
ACH-000148,-0.1619233830343642
ACH-000150,-0.004725734431402358
ACH-000152,-0.081560550638275
ACH-000153,-0.26018115950794285
ACH-000159,-0.0618260599601916
ACH-000160,-0.12020362710095008
ACH-000163,-0.10771706749872316
ACH-000167,-0.1205852669763769
ACH-000168,-0.010491581148918813
ACH-000169,-0.2836665245212509
ACH-000178,-0.09215138239109326
ACH-000183,-0.20194868267261595
ACH-000188,-0.014320615114229825
ACH-000189,0.028080323395441382
ACH-000190,-0.2914688942424362
ACH-000198,-0.12859649539287274
ACH-000203,-0.4547253400739098
ACH-000204,-0.18955641911134494
ACH-000206,-0.003017618047409249
ACH-000207,0.016536654921183013
ACH-000208,-0.25713034631402976
ACH-000210,0.2862144314940108
ACH-000211,-0.15705159261315282
ACH-000215,-0.039004157905032866
ACH-000221,-0.20603790694392665
ACH-000222,-0.09334327856271887
ACH-000223,-0.09260372270300772
ACH-000226,-0.06389015038055591
ACH-000227,-0.17226051212619808
ACH-000228,-0.1093982469964892
ACH-000231,-0.040150808299736385
ACH-000232,-0.027750615605051727
