,KPNB1 (3837)
ACH-000004,-1.7093265836404834
ACH-000005,-1.6724871756340105
ACH-000007,-1.5142516394095082
ACH-000009,-1.1529847118741308
ACH-000011,-1.523632120665432
ACH-000012,-1.5032787623854382
ACH-000013,-1.5122878357193712
ACH-000014,-1.4380997436722434
ACH-000015,-1.2937098338122937
ACH-000017,-1.5295612395250406
ACH-000018,-1.3875008126485386
ACH-000019,-1.2769619501972942
ACH-000021,-1.2733228376674144
ACH-000022,-1.5667632836099703
ACH-000025,-1.4588892076821915
ACH-000028,-1.2478197426020772
ACH-000030,-1.5350625601451402
ACH-000035,-1.4635563852922806
ACH-000036,-1.4210983792855274
ACH-000037,-1.5703475812644712
ACH-000039,-1.2799165958525758
ACH-000040,-1.3320739437572415
ACH-000041,-1.4449333984079304
ACH-000042,-1.378433001771006
ACH-000045,-1.4938564378618826
ACH-000047,-1.3430544804145466
ACH-000052,-1.6056475166448785
ACH-000053,-1.548939593605215
ACH-000054,-1.5036901879296842
ACH-000055,-1.2973352813491312
ACH-000060,-1.2500010683325875
ACH-000067,-1.4599965786733888
ACH-000070,-1.5302485699710457
ACH-000075,-1.2316676263075659
ACH-000078,-1.2757477950401594
ACH-000082,-1.6806176702189657
ACH-000085,-1.542160269324911
ACH-000086,-1.3165289675128449
ACH-000087,-1.5684033610828043
ACH-000092,-1.3423068248241854
ACH-000095,-1.297794557984592
ACH-000097,-1.4271759039211491
ACH-000098,-1.498286617705041
ACH-000099,-1.4984162360983162
ACH-000108,-1.6484934508850828
ACH-000113,-1.5180289861303953
ACH-000116,-1.3919210786732108
ACH-000118,-1.36372488187602
ACH-000120,-1.3897265325707446
ACH-000123,-1.245422973770329
ACH-000127,-1.3760378321922369
ACH-000128,-1.286547266289185
ACH-000132,-1.4392783223638932
ACH-000133,-1.33763380614123
ACH-000137,-1.507893737692949
ACH-000138,-1.4039199220046181
ACH-000142,-1.371177666378811
ACH-000143,-1.4721893666651895
ACH-000146,-1.6278223261045608
ACH-000148,-1.6151831622191202
ACH-000150,-1.5167126132678783
ACH-000152,-1.2890791979651064
ACH-000153,-1.8540557399476136
ACH-000159,-1.2979927606711203
ACH-000160,-1.7244729234975118
ACH-000163,-1.5837501788343806
ACH-000167,-2.173560896368733
ACH-000168,-1.4585224331533713
ACH-000169,-1.5438677945771566
ACH-000178,-1.4453560572592064
ACH-000183,-1.513777569751088
ACH-000188,-1.1010977303058556
ACH-000189,-1.263671054539614
ACH-000190,-1.1707186867223502
ACH-000198,-1.448007552895567
ACH-000203,-1.5415780834261066
ACH-000204,-1.4690581659118112
ACH-000206,-1.4255087611981416
ACH-000207,-1.922486091659216
ACH-000208,-1.2694503981512024
ACH-000210,-1.5372113322388143
ACH-000211,-1.3277066506059736
ACH-000215,-1.3124682873209594
ACH-000221,-1.6462239712154747
ACH-000222,-1.7384536113003923
ACH-000223,-1.6577718962734425
ACH-000226,-1.4563549242925604
ACH-000227,-1.5459801233850308
ACH-000228,-1.5363098497067031
ACH-000231,-1.4671597363610742
ACH-000232,-1.4381155417410838
ACH-000233,-1.492352177150801
ACH-000234,-1.5416482548782742
