,IFI44L (10964)
ACH-000004,0.00030603469085327097
ACH-000005,-0.6619706405228473
ACH-000007,-0.19349646541064547
ACH-000009,-0.1441131638443051
ACH-000011,-0.020395950732837436
ACH-000012,-0.1125027772720798
ACH-000013,-0.12597739014485235
ACH-000014,-0.2459495611733565
ACH-000015,-0.04329332759330429
ACH-000017,-0.16723976971547252
ACH-000018,-0.1138070241012732
ACH-000019,-0.017318519672279112
ACH-000021,-0.2310323307739822
ACH-000022,-0.05979326764281965
ACH-000025,-0.3111368669166351
ACH-000028,-0.12029370087801446
ACH-000030,-0.1698779465168525
ACH-000035,-0.09779317231508283
ACH-000036,-0.24357419897623414
ACH-000037,-0.0821277502452483
ACH-000039,-0.13761515851986714
ACH-000040,-0.08528814490711521
ACH-000041,-0.18932835260013967
ACH-000042,-0.027411086083677327
ACH-000045,-0.16649398456333928
ACH-000047,-0.052641468603241134
ACH-000052,-0.06492880041001167
ACH-000053,-0.15253026665835112
ACH-000054,-0.10670938694141636
ACH-000055,-0.07933968791709398
ACH-000060,-0.1428630504858988
ACH-000067,-0.0649309758341802
ACH-000070,-0.3272324270364815
ACH-000075,0.027623820416145733
ACH-000078,-0.3082530637652849
ACH-000082,-0.03920465219264889
ACH-000085,-0.10832648706821776
ACH-000086,-0.12941169800003555
ACH-000087,0.045214209441055
ACH-000092,-0.1021493784741087
ACH-000095,-0.09290458059272366
ACH-000097,-0.06947708218249499
ACH-000098,-0.12661528258988866
ACH-000099,-0.09827287775474143
ACH-000108,-0.05230558450023411
ACH-000113,-0.04120079194553759
ACH-000116,-0.07846030267885966
ACH-000118,-0.08302670989895815
ACH-000120,-0.06831711434331889
ACH-000123,-0.1744539082192735
ACH-000127,-0.059782917849500676
ACH-000128,-0.17899979167245372
ACH-000132,-0.17053743953685727
ACH-000133,-0.2707114108200385
ACH-000137,-0.19826795221852184
ACH-000138,-0.09175796551284432
ACH-000142,-0.07212844583660817
ACH-000143,-0.2520046231369602
ACH-000146,-0.13684559616525788
ACH-000148,-0.1389999602031055
ACH-000150,-0.2901842284517786
ACH-000152,-0.10900010433942503
ACH-000153,-0.08581837746606757
ACH-000159,-0.19408813281803486
ACH-000160,-0.1919325186234416
ACH-000163,-0.03908157278767183
ACH-000167,-0.3053320192540077
ACH-000168,-0.08682383091597283
ACH-000169,-0.0692219949946722
ACH-000178,0.0308117295000966
ACH-000183,-0.07838071732268201
ACH-000188,-0.006341340541605896
ACH-000189,0.0042088919767435855
ACH-000190,-0.029574316645447244
ACH-000198,-0.15139019868966172
ACH-000203,-0.3248737080076787
ACH-000204,-0.007070199009690806
ACH-000206,-0.1234372922787226
ACH-000207,-0.18327916113323686
ACH-000208,-0.19249054538497384
ACH-000210,-0.04249750164541823
ACH-000211,-0.028308613019854482
ACH-000215,-0.1241189574943154
ACH-000221,0.026495905223397183
ACH-000222,-0.1266636389329012
ACH-000223,-0.11855147167453033
ACH-000226,-0.1379664275282359
ACH-000227,-0.1620369507498717
ACH-000228,-0.031096721428806963
ACH-000231,-0.11101599003492298
ACH-000232,-0.10119884976107914
ACH-000233,-0.13409918391299036
ACH-000234,-0.038308922216231146
ACH-000235,-0.045533949118726005
ACH-000237,-0.19680660827851065
ACH-000238,-0.26467504831398786
