,DCDC2B (149069)
ACH-000004,-0.3385127002073457
ACH-000005,-0.1885940949648978
ACH-000007,-0.3160997903779824
ACH-000009,-0.2463008130404256
ACH-000011,-0.09435684477592277
ACH-000012,-0.22824325377740196
ACH-000013,-0.27726036813511074
ACH-000014,-0.19135323157164968
ACH-000015,-0.19383942180910785
ACH-000017,-0.14328149762263329
ACH-000018,-0.3951257392231136
ACH-000019,-0.11885569030600902
ACH-000021,-0.14917894611710333
ACH-000022,-0.2360967651828552
ACH-000025,-0.29738982589425234
ACH-000028,-0.12757250087789707
ACH-000030,-0.1405532327649854
ACH-000035,-0.4636102589487413
ACH-000036,-0.08889684001539631
ACH-000037,-0.2123523310926743
ACH-000039,-0.21037622346355425
ACH-000040,-0.20571231373606802
ACH-000041,-0.1204001999987817
ACH-000042,-0.14258037931254447
ACH-000045,-0.15078412341450556
ACH-000047,-0.33067463360234944
ACH-000052,-0.0522321476112181
ACH-000053,-0.14802594010256914
ACH-000054,-0.08261917454915561
ACH-000055,-0.23178431050114856
ACH-000060,-0.2945904575957198
ACH-000067,-0.2606535431402228
ACH-000070,-0.2414683973422161
ACH-000075,-0.4002692190905581
ACH-000078,-0.13264804562171975
ACH-000082,-0.2315542230376621
ACH-000085,-0.10943021822993514
ACH-000086,-0.2907971884225559
ACH-000087,-0.14932854280994753
ACH-000092,-0.34252551507133466
ACH-000095,-0.13269961469648245
ACH-000097,-0.0745852951641713
ACH-000098,-0.2740665672061989
ACH-000099,-0.037031830586891794
ACH-000108,-0.23341525229617766
ACH-000113,-0.1271515381917446
ACH-000116,-0.2609771726752422
ACH-000118,-0.2645174603056823
ACH-000120,0.015656518630755338
ACH-000123,-0.2503758152280489
ACH-000127,-0.15693148313281194
ACH-000128,-0.2451852131027281
ACH-000132,-0.2787649183428497
ACH-000133,-0.2815163476518996
ACH-000137,-0.28064459758865906
ACH-000138,-0.22396316440361533
ACH-000142,-0.2109258844584964
ACH-000143,-0.2329200294698163
ACH-000146,-0.11865773393891538
ACH-000148,-0.3133648965854072
ACH-000150,-0.3772981760389304
ACH-000152,-0.3522805735845909
ACH-000153,-0.31415189844775576
ACH-000159,-0.2301122122647132
ACH-000160,-0.226979638197608
ACH-000163,-0.2694749774023825
ACH-000167,-0.5618102634517453
ACH-000168,-0.1614970141874378
ACH-000169,-0.2672466411950077
ACH-000178,-0.10854928270651834
ACH-000183,-0.3002186039700248
ACH-000188,-0.21444052003553116
ACH-000189,-0.13346870877745584
ACH-000190,-0.3244128978128039
ACH-000198,-0.22793912757228055
ACH-000203,-0.3218716206383725
ACH-000204,-0.3453917317688746
ACH-000206,-0.1499067358023713
ACH-000207,-0.29414602065130674
ACH-000208,-0.41651016085634535
ACH-000210,-0.17090107048690242
ACH-000211,-0.12558979953805882
ACH-000215,-0.2347173022487558
ACH-000221,-0.33100508314650623
ACH-000222,-0.287263747264247
ACH-000223,-0.2730945346060856
ACH-000226,-0.2296596854845593
ACH-000227,-0.139789994695122
ACH-000228,-0.20315006811492764
ACH-000231,-0.21155964376522024
ACH-000232,-0.16513468363350234
ACH-000233,-0.16602759021647048
ACH-000234,-0.2258775087833361
ACH-000235,-0.1632716642388945
ACH-000237,-0.3113256036625182
ACH-000238,-0.29402549890433
ACH-000242,0.09874797768813846
ACH-000243,-0.2227439278795362
ACH-000244,-0.32898643957256485
ACH-000246,-0.21652052523409326
ACH-000248,-0.058691193523151726
ACH-000250,-0.29719155985861684
ACH-000251,-0.13366779802865442
ACH-000252,-0.22752687416997106
ACH-000253,-0.3003851953854375
ACH-000255,-0.1880354781094972
ACH-000256,-0.32506025803486954
ACH-000257,-0.11983998778269375
ACH-000258,-0.2660518137132028
ACH-000259,-0.2418735545060681
ACH-000260,-0.14832715665013646
ACH-000261,-0.15769764755293506
ACH-000262,-0.06987541534154837
ACH-000263,-0.22149044499729573
ACH-000264,-0.1617268605854336
ACH-000265,-0.2518847774425433
ACH-000266,-0.17444898694077499
ACH-000272,-0.17638949934591194
ACH-000274,-0.27333442435590843
ACH-000277,-0.22959863149408025
ACH-000278,-0.1988185419529322
ACH-000279,-0.2495782992331952
ACH-000280,-0.21887719790219065
ACH-000281,0.006711245344141474
ACH-000288,-0.3522783810066619
ACH-000291,-0.28538504111319873
ACH-000293,-0.3875019369596881
ACH-000294,-0.10229175915706988
ACH-000295,-0.15738751767411835
ACH-000296,-0.11070793620760484
ACH-000302,-0.3139006579258781
ACH-000304,-0.3687020751053484
ACH-000307,-0.2841975901631281
ACH-000308,-0.140488788502691
ACH-000310,-0.2348532913447172
ACH-000311,-0.2135815133557445
ACH-000312,-0.2397358648023958
ACH-000315,-0.3580570940315109
ACH-000316,-0.2028646146880545
ACH-000317,-0.2699572649412795
ACH-000318,-0.2828469190504885
ACH-000319,-0.22007013673934173
ACH-000320,-0.4167637419228962
ACH-000322,-0.3187546368778984
ACH-000323,-0.4186663797395632
ACH-000324,-0.3009477839869424
ACH-000329,-0.3731999632002823
ACH-000330,-0.05050953170880353
ACH-000331,-0.26448871223764714
ACH-000332,-0.27653165260365564
ACH-000334,-0.2554906869740657
ACH-000335,-0.12717487812770714
ACH-000336,-0.2694105894320608
ACH-000337,-0.3368581185904224
ACH-000338,-0.7999022259766699
ACH-000339,-0.10694370794847326
ACH-000341,-0.2933949091071536
ACH-000348,-0.16364087255407295
