,API5 (8539)
ACH-000004,-0.3566814757205618
ACH-000005,-0.2359768564357213
ACH-000007,-0.1898775206811631
ACH-000009,-0.2394138305332551
ACH-000011,-0.05231002697711937
ACH-000012,-0.30686555246856684
ACH-000013,-0.18508012609280966
ACH-000014,-0.4034098590372516
ACH-000015,-0.1915362429419903
ACH-000017,-0.055014751588533486
ACH-000018,-0.2692905615410213
ACH-000019,-0.1468679330113563
ACH-000021,-0.33588195444523106
ACH-000022,-0.17871346189022366
ACH-000025,-0.37133642731070704
ACH-000028,-0.6156643961122471
ACH-000030,-0.3536486521729863
ACH-000035,-0.2495969995715443
ACH-000036,-0.03279304726373486
ACH-000037,-0.2326028188980793
ACH-000039,-0.4536010678038296
ACH-000040,-0.4765972859261509
ACH-000041,-0.3036282939096435
ACH-000042,-0.4329078251905269
ACH-000045,-0.24284297517684406
ACH-000047,-0.4921375294612814
ACH-000052,-0.15998687460334274
ACH-000053,-0.2794771454271462
ACH-000054,-0.07331631877891248
ACH-000055,-0.045275121359832415
ACH-000060,-0.4339839143379424
ACH-000067,-0.3342586412692235
ACH-000070,-0.3554598711023804
ACH-000075,-0.4690652291899428
ACH-000078,-0.2683504392390049
ACH-000082,-0.2733386968730196
ACH-000085,-0.02440689190091789
ACH-000086,-0.1908870537631798
ACH-000087,-0.05067601451293068
ACH-000092,-0.16570054148090724
ACH-000095,-0.13547783027710045
ACH-000097,-0.26294545910870576
ACH-000098,-0.11637278688936185
ACH-000099,-0.20886148813771044
ACH-000108,-0.3252076191922259
ACH-000113,-0.5697747400776701
ACH-000116,-0.4287450817524116
ACH-000118,-0.24578440810048516
ACH-000120,-0.19433356368582586
ACH-000123,-0.33016954524660524
ACH-000127,-0.331195185410695
ACH-000128,-0.3364817728035309
ACH-000132,-0.3918520069950876
ACH-000133,-0.3399171310454393
ACH-000137,-0.15467899031613092
ACH-000138,-0.20247561023535596
ACH-000142,-0.29353745598625425
ACH-000143,-0.42966646689361737
ACH-000146,-0.26907896720812724
ACH-000148,-0.2796688557536608
ACH-000150,-0.22403047666001907
ACH-000152,-0.1151596141662753
ACH-000153,-0.06986274153615607
ACH-000159,-0.2391786930866664
ACH-000160,-0.16607758646140694
ACH-000163,-0.10365030345357704
