,GADD45B (4616)
ACH-000004,-0.035527852286870484
ACH-000005,-0.19744833774555515
ACH-000007,-0.14047417193910322
ACH-000009,-0.17307758657881298
ACH-000011,-0.14067088481380868
ACH-000012,0.00904882565017275
ACH-000013,-0.16844485037058174
ACH-000014,-0.12978779706549826
ACH-000015,-0.17177174874037962
ACH-000017,-0.181053615216441
ACH-000018,-0.12633195658582125
ACH-000019,0.12359846799249395
ACH-000021,-0.17758615621787271
ACH-000022,-0.10107967641197996
ACH-000025,-0.1838968247075808
ACH-000028,-0.21087935312027967
ACH-000030,-0.1573749560167239
ACH-000035,-0.18865666082155952
ACH-000036,0.0008011413569608507
ACH-000037,-0.055394996834943436
ACH-000039,-0.0734408573875653
ACH-000040,-0.2700275377346525
ACH-000041,-0.17516346899409052
ACH-000042,-0.12929634626995282
ACH-000045,-0.2207825253461556
ACH-000047,-0.1855247874839151
ACH-000052,-0.13343454971001364
ACH-000053,0.01137298053384052
ACH-000054,-0.1221880979252436
ACH-000055,-0.16559085192143727
ACH-000060,0.004378490343753002
ACH-000067,-0.12238292520815325
ACH-000070,-0.15295530120284162
ACH-000075,-0.21781819208238026
ACH-000078,0.06183209635326965
ACH-000082,-0.16252517581664247
ACH-000085,-0.3283506508288573
ACH-000086,-0.11228914648892348
ACH-000087,-0.08948627781828303
ACH-000092,-0.06795127730190001
ACH-000095,-0.25310970645652475
ACH-000097,-0.21819937263491565
ACH-000098,-0.3437658154577145
ACH-000099,-0.09819554083379296
ACH-000108,-0.04345306595758789
ACH-000113,-0.1813781583600384
ACH-000116,-0.14946943194435172
ACH-000118,0.041729236451868136
ACH-000120,-0.3957544557190851
ACH-000123,-0.07472937797705825
ACH-000127,-0.1997212501163266
ACH-000128,-0.10899843764724088
ACH-000132,-0.1022516204703653
ACH-000133,-0.011033307862393385
ACH-000137,-0.2150861285230296
ACH-000138,-0.08194686477093423
ACH-000142,-0.1580786645405771
ACH-000143,-0.17748996058286548
ACH-000146,-0.22494802018610954
ACH-000148,-0.04022985101817282
ACH-000150,-0.12601661497380162
ACH-000152,-0.05426921722627159
ACH-000153,-0.11902497298910115
ACH-000159,-0.16528054956100724
ACH-000160,0.02522062965008608
ACH-000163,-0.2614855893109742
ACH-000167,0.06170530664419933
ACH-000168,-0.15507885499084906
ACH-000169,-0.21077710663601326
ACH-000178,-0.11900937859828313
ACH-000183,-0.24327090140250404
ACH-000188,-0.09554409051181004
ACH-000189,-0.21506314130415574
