,BRK1 (55845)
ACH-000004,-0.2977898742636261
ACH-000005,-0.9495164274422409
ACH-000007,-0.506203186357892
ACH-000009,-0.6416965470429035
ACH-000011,-0.4835881742378023
ACH-000012,0.1265160214800042
ACH-000013,-0.4088206730835347
ACH-000014,-0.5386257215645883
ACH-000015,-0.2331554590117743
ACH-000017,-0.2786213997559
ACH-000018,-0.520196182422172
ACH-000019,-0.5109556106468907
ACH-000021,-0.15250390619038992
ACH-000022,-0.3758697601164345
ACH-000025,-0.2442802699485476
ACH-000028,-0.3454060198275305
ACH-000030,-0.3348898241649897
ACH-000035,-0.5011580532956297
ACH-000036,-0.5901459575194957
ACH-000037,-0.3196569186337702
ACH-000039,-0.35860185223277985
ACH-000040,-0.479684918231277
ACH-000041,-0.4207577898469439
ACH-000042,-0.6200711122591714
ACH-000045,-0.6034806987334451
ACH-000047,-0.4973949862950526
ACH-000052,-0.4226725509327323
ACH-000053,-0.38315970108191133
ACH-000054,-0.8443144925715618
ACH-000055,-0.31943250480760377
ACH-000060,-0.825466773876222
ACH-000067,-0.6109763727305265
ACH-000070,-0.17786419109413693
ACH-000075,-0.3053128690466743
ACH-000078,-0.2827326842064154
ACH-000082,-0.30042431520584056
ACH-000085,-0.4633569286156899
ACH-000086,-0.16667027117949115
ACH-000087,-0.6192143555487398
ACH-000092,-0.4335898916794485
ACH-000095,-0.3886066211540748
ACH-000097,-0.41574034511870894
ACH-000098,-0.5734522238855506
ACH-000099,-0.4353638878327187
ACH-000108,-0.6760962605557139
ACH-000113,-0.51903011362472
ACH-000116,-0.3009404743892337
ACH-000118,-0.6393801733285874
ACH-000120,-0.6388763860747819
ACH-000123,-0.2936015938722084
ACH-000127,-0.4778275114834451
ACH-000128,-0.3055718151416903
ACH-000132,-0.6360020747730919
ACH-000133,-0.4605415873004594
ACH-000137,-0.22768546977609
ACH-000138,-0.5015546137741771
ACH-000142,-0.7046112001666494
ACH-000143,-0.3838917650101079
ACH-000146,-0.2737651539957892
ACH-000148,-0.24957448309521146
ACH-000150,-0.4385304219004544
ACH-000152,-0.410776681194031
