,DCXR (51181)
ACH-000004,-0.21928377594794404
ACH-000005,0.2306744072240767
ACH-000007,-0.031205264748432812
ACH-000009,-0.2520911602443185
ACH-000011,-0.15078203414254865
ACH-000012,-0.19275882384490964
ACH-000013,-0.12961187441515326
ACH-000014,-0.11706287883505755
ACH-000015,-0.08100194684702815
ACH-000017,-0.0883902278215125
ACH-000018,-0.04223420127697848
ACH-000019,-0.14943493342998915
ACH-000021,-0.07128805887289154
ACH-000022,-0.16233280964630484
ACH-000025,-0.054643296096681004
ACH-000028,-0.11301793889282588
ACH-000030,-0.12830427188266064
ACH-000035,-0.1244051128894558
ACH-000036,-0.2971233730212903
ACH-000037,-0.12815440046970786
ACH-000039,-0.19316183351769112
ACH-000040,-0.20006131750531134
ACH-000041,-0.14641415347848954
ACH-000042,-0.10583939340205578
ACH-000045,-0.2251855857847317
ACH-000047,-0.21843901499811225
ACH-000052,-0.017771785048767988
ACH-000053,-0.1105725513595122
ACH-000054,-0.19820805629216126
ACH-000055,-0.111291609929906
ACH-000060,-0.20831728767528904
ACH-000067,-0.16746290862426955
ACH-000070,-0.2368447475081314
ACH-000075,-0.2337888519502949
ACH-000078,-0.2755550298616709
ACH-000082,-0.04371755942782346
ACH-000085,-0.08766022419089135
ACH-000086,-0.16490832137932254
ACH-000087,-0.2358802643764636
ACH-000092,-0.030515576355666086
ACH-000095,-0.1833410880484592
ACH-000097,-0.18634473829878226
ACH-000098,-0.11943217929601235
ACH-000099,-0.26677887763700303
ACH-000108,-0.15347348863435073
ACH-000113,-0.1421577363313005
ACH-000116,-0.08242528022303176
ACH-000118,-0.20843496616838994
ACH-000120,-0.2361489865831577
ACH-000123,-0.14099575840919418
ACH-000127,-0.08759569783254807
ACH-000128,-0.14108592591683458
ACH-000132,-0.09894047681421056
ACH-000133,-0.037561092183857656
ACH-000137,-0.19385902384031375
ACH-000138,-0.14805198686779591
ACH-000142,-0.19525944365685724
ACH-000143,-0.2412828199503149
ACH-000146,-0.15051971619005788
ACH-000148,-0.05037770831727189
ACH-000150,-0.114681613181622
ACH-000152,-0.14144898002593656
ACH-000153,-0.1055552469894564
ACH-000159,-0.19070811447075184
ACH-000160,-0.1689897636333386
ACH-000163,-0.21342682307408428
ACH-000167,-0.2931345683361685
ACH-000168,-0.3393158024219977
ACH-000169,-0.20286381761715613
ACH-000178,-0.06822652812921946
ACH-000183,-0.3077692442161494
ACH-000188,-0.2022541112373208
ACH-000189,0.03106206879743427
ACH-000190,-0.07898744830365957
ACH-000198,-0.11815597978917852
ACH-000203,-0.6909275999437493
ACH-000204,0.01121886955656767
ACH-000206,-0.098978641462647
ACH-000207,-0.2634444903453429
ACH-000208,-0.15317076914501054
ACH-000210,-0.13261744355414226
ACH-000211,-0.24153373923022625
ACH-000215,-0.18629834851739044
ACH-000221,-0.10267464902533456
ACH-000222,-0.10399743541420367
ACH-000223,-0.09830117331674107
ACH-000226,0.0032963037088363932
ACH-000227,-0.09170130827615748
ACH-000228,-0.1367266960415212
ACH-000231,-0.13314246521475998
ACH-000232,-0.1173662099039394
ACH-000233,-0.03864748878045656
ACH-000234,-0.18680550781031646
ACH-000235,-0.20750094059812668
ACH-000237,-0.1444162066552544
ACH-000238,-0.33284381079333186
ACH-000242,0.0784353067515569
ACH-000243,-0.12473600272842865
ACH-000244,-0.18666586476346628
ACH-000246,-0.16501267240750714
ACH-000248,-0.2780835875080793
ACH-000250,-0.20104938217911106
ACH-000251,-0.3130828143209143
ACH-000252,-0.12785284673747027
ACH-000253,-0.14829524797223687
ACH-000255,-0.18243672063418925
ACH-000256,-0.29286316669666984
ACH-000257,-0.2306070910597819
ACH-000258,-0.3375609361424446
ACH-000259,-0.1867981345301501
ACH-000260,-0.2791270210540996
ACH-000261,-0.23063709315386224
ACH-000262,-0.2965982906890434
ACH-000263,-0.08708565316977485
ACH-000264,-0.20130304106751531
ACH-000265,-0.12175510856540155
ACH-000266,-0.2190449104572405
ACH-000272,-0.20060235598720214
ACH-000274,-0.14479410604930792
ACH-000277,-0.2997170234838225
ACH-000278,-0.15843705824549412
ACH-000279,-0.2112687676436121
ACH-000280,-0.35994785173641586
ACH-000281,-0.1526278763664977
ACH-000288,-0.16026884956614715
ACH-000291,-0.2889992815517163
ACH-000293,0.009952322428589238
ACH-000294,-0.13127422821567655
ACH-000295,-0.2981093541451646
ACH-000296,-0.2461761508379242
ACH-000302,-0.12314794035940485
ACH-000304,0.02563547764279331
ACH-000307,-0.13735323310511394
ACH-000308,-0.10759433738453264
ACH-000310,-0.4592468111234268
ACH-000311,-0.22499540010442884
ACH-000312,-0.2950782777405787
ACH-000315,-0.09060067011975588
ACH-000316,-0.13237877187932187
ACH-000317,-0.16989655310284166
ACH-000318,-0.16050627615181154
