,ILDR2 (387597)
ACH-000004,0.12448715704048052
ACH-000005,-0.15929757565021188
ACH-000007,0.059285495900835275
ACH-000009,-0.16536101134052214
ACH-000011,-0.09670219585106732
ACH-000012,-0.11614333555564454
ACH-000013,-0.07012620985605518
ACH-000014,0.057440584890612836
ACH-000015,-0.15477061405369294
ACH-000017,-0.07237719460756574
ACH-000018,0.04606520975143755
ACH-000019,-0.05586326152847588
ACH-000021,-0.08691920198879369
ACH-000022,-0.09150795742761901
ACH-000025,-0.21991336470155465
ACH-000028,-0.13741846717508366
ACH-000030,-0.0648955922877271
ACH-000035,-0.03004161038098912
ACH-000036,-0.032328134905538895
ACH-000037,-0.03277776523620492
ACH-000039,8.813465444730508e-05
ACH-000040,-0.13755907881701868
ACH-000041,-0.13291107328341
ACH-000042,0.03029936148155208
ACH-000045,-0.07606854337738897
ACH-000047,-0.04096209640763901
ACH-000052,-0.25188880198650443
ACH-000053,-0.05522274509212503
ACH-000054,-0.20340597363847676
ACH-000055,-0.03232472897336805
ACH-000060,-0.183463620944328
ACH-000067,0.0004277512051387603
ACH-000070,-0.051949296560016026
ACH-000075,-0.0787711653508494
ACH-000078,0.050192511847390535
ACH-000082,-0.03517519301530004
ACH-000085,-0.1618335060898186
ACH-000086,-0.3230889907397271
ACH-000087,-0.06735692561763958
ACH-000092,-0.0698639643768369
ACH-000095,-0.14557246865802534
ACH-000097,-0.09873328005506424
ACH-000098,-0.05791831940852661
ACH-000099,0.06293424194197511
ACH-000108,-0.0919899210999306
ACH-000113,-0.0071286068066367045
ACH-000116,-0.09865925290257394
ACH-000118,-0.13690700813603926
ACH-000120,-0.05478306706719013
ACH-000123,-0.04990483243402088
ACH-000127,-0.06101808981915807
ACH-000128,-0.14060295498199152
ACH-000132,-0.12926606402627144
ACH-000133,-0.037976632888743714
ACH-000137,-0.1661051497527473
ACH-000138,-0.09219326733511572
ACH-000142,0.07970012968367769
ACH-000143,-0.20589526522961832
ACH-000146,-0.026784900373503864
ACH-000148,-0.15136086026862494
ACH-000150,0.10678366707162087
ACH-000152,-0.17377373281885905
ACH-000153,-0.05186834619354542
ACH-000159,-0.11690556388562175
ACH-000160,-0.025104999021381757
ACH-000163,-0.01712325746311231
ACH-000167,-0.007859171012534073
ACH-000168,-0.09243034944788794
ACH-000169,0.017698935124454782
ACH-000178,-0.1278677821838389
ACH-000183,-0.28033434357043824
ACH-000188,-0.10963545204151168
ACH-000189,0.02812433187532732
ACH-000190,-0.04369463989601621
ACH-000198,-0.16013153203189862
