,TBC1D3C (414060)
ACH-000004,-1.7925272278678508
ACH-000005,-1.7529115026959754
ACH-000007,-1.6880542963340783
ACH-000009,-1.703644567512641
ACH-000011,-1.574230002098903
ACH-000012,-1.5839433462593595
ACH-000013,-1.5834021617740202
ACH-000014,-1.8116533285687044
ACH-000015,-1.4642736898974018
ACH-000017,-1.8676470248625316
ACH-000018,-1.4417053668465178
ACH-000019,-1.3362416156836563
ACH-000021,-1.6491791200368533
ACH-000022,-1.704565767515405
ACH-000025,-1.5015605415988609
ACH-000028,-1.4982005484826144
ACH-000030,-1.626970685789009
ACH-000035,-1.4946470221274972
ACH-000036,-1.4912892387998804
ACH-000037,-1.5398419108978194
ACH-000039,-1.7615885625148595
ACH-000040,-1.4692510150989064
ACH-000041,-1.614091417148792
ACH-000042,-1.4707233226605825
ACH-000045,-1.5365298019984541
ACH-000047,-1.7007131899617371
ACH-000052,-1.4991619338311963
ACH-000053,-1.5568089386382211
ACH-000054,-1.5052128438292325
ACH-000055,-1.9297207070150084
ACH-000060,-1.6815754313512008
ACH-000067,-1.6889307358085868
ACH-000070,-1.5411299676910386
ACH-000075,-1.6038472834338398
ACH-000078,-1.4826226891267726
ACH-000082,-1.6000372862070138
ACH-000085,-1.4796037333946233
ACH-000086,-1.6583858134760834
ACH-000087,-1.7980676494826715
ACH-000092,-1.4399494546102374
ACH-000095,-1.5507117079676902
ACH-000097,-1.6968627399566307
ACH-000098,-1.6928852768615883
ACH-000099,-1.4061266013905331
ACH-000108,-1.5234364098348838
ACH-000113,-1.4128210692333838
ACH-000116,-1.5989129210667887
ACH-000118,-1.6584586226488724
ACH-000120,-1.6942404721945183
ACH-000123,-1.5812948957281368
ACH-000127,-1.616675937990607
ACH-000128,-1.5530525204325474
ACH-000132,-1.6750507384053943
ACH-000133,-1.5087039148943109
ACH-000137,-1.6888024865010545
ACH-000138,-1.6350048594002295
ACH-000142,-1.5327060199967355
ACH-000143,-1.5560130536389198
ACH-000146,-1.8352932783652736
ACH-000148,-1.81872929364502
ACH-000150,-1.8048908190678392
ACH-000152,-1.509976516769323
ACH-000153,-1.8950053021208948
ACH-000159,-1.6336640174214356
ACH-000160,-1.5778151817990522
ACH-000163,-1.6757501405257391
ACH-000167,-2.5658169966561584
ACH-000168,-1.5531371316536766
ACH-000169,-1.6322519299672595
ACH-000178,-1.6723134781728402
ACH-000183,-1.8655786018347833
ACH-000188,-1.5602407631248771
ACH-000189,-1.8307038844091552
ACH-000190,-1.6721412039126575
ACH-000198,-1.6205920776524845
ACH-000203,-1.96626784852671
ACH-000204,-1.3959820799322955
ACH-000206,-1.6198383551862374
ACH-000207,-1.464720332168457
ACH-000208,-1.6845842265059578
ACH-000210,-1.986828691065901
ACH-000211,-1.6138695826817748
ACH-000215,-1.6685869563537534
ACH-000221,-1.9646963792218888
ACH-000222,-2.0758375289278392
ACH-000223,-1.6175877804882457
ACH-000226,-1.6021199670491808
ACH-000227,-1.6931935935334084
ACH-000228,-1.7651032106783062
ACH-000231,-1.5916641242423282
ACH-000232,-1.6309235518203056
ACH-000233,-1.613637116559703
ACH-000234,-1.4610692543428438
ACH-000235,-1.6217769561289157
ACH-000237,-1.5884632975760669
ACH-000238,-1.8441108179839687
ACH-000242,-1.9346310510409688
ACH-000243,-1.5370668304199362
ACH-000244,-1.7569989604570806
ACH-000246,-1.5577155121734592
ACH-000248,-1.7516472961873484
ACH-000250,-1.4897688233028104
ACH-000251,-1.542404419281702
ACH-000252,-1.8720466729701688
ACH-000253,-1.4937245969624957
ACH-000255,-1.4110876170815372
ACH-000256,-1.606737978298464
ACH-000257,-1.8531444723255792
ACH-000258,-1.910033739682675
ACH-000259,-1.5968566012868888
ACH-000260,-1.4689317860475204
ACH-000261,-1.6457936649099716
ACH-000262,-1.5648811061408292
ACH-000263,-1.5520237896743163
ACH-000264,-1.5306499757205394
ACH-000265,-1.6350562160437256
ACH-000266,-1.5546628822116322
ACH-000272,-1.6150408539208247
ACH-000274,-1.672736402144131
ACH-000277,-1.4624960132374532
ACH-000278,-1.5119477869276667
ACH-000279,-1.6433570149306442
ACH-000280,-1.5575742397563197
ACH-000281,-1.7080347084145642
ACH-000288,-1.7374152471404871
ACH-000291,-1.7574304592665588
ACH-000293,-1.6843198297576525
ACH-000294,-1.7829742457581168
ACH-000295,-1.6270206388097634
ACH-000296,-1.9148411062420088
ACH-000302,-1.65400338835724
ACH-000304,-1.710078905900257
ACH-000307,-1.5735702351655734
ACH-000308,-1.5740965819044783
ACH-000310,-1.4664421799281282
ACH-000311,-1.6987282873496778
ACH-000312,-1.5022626595828974
ACH-000315,-1.5668337318475574
ACH-000316,-2.016607130415324
ACH-000317,-1.7554947344612315
ACH-000318,-1.5949493339540513
ACH-000319,-1.6854571683793869
ACH-000320,-1.9106292065731043
ACH-000322,-1.7153271996218589
ACH-000323,-1.7777590579310434
ACH-000324,-1.6630700831009606
ACH-000329,-1.4524695936168703
ACH-000330,-1.684695076351169
ACH-000331,-1.4324015248989406
ACH-000332,-1.5614880095849657
ACH-000334,-1.9891833319590488
ACH-000335,-1.6985062655690668
ACH-000336,-1.815056454936756
ACH-000337,-1.4274238331414175
ACH-000338,-2.7544482539813493
ACH-000339,-1.5368200816827935
ACH-000341,-1.7692651803809232
ACH-000348,-1.5456509598768038
ACH-000350,-1.8028458719321772
ACH-000352,-1.596462949637787
ACH-000356,-1.3291199136663074
ACH-000361,-1.7044082349750431
ACH-000362,-1.6518475045897285
ACH-000363,-1.5513036893627956
ACH-000364,-1.6419075318696987
ACH-000365,-1.6106681844564497
ACH-000366,-1.4815713443738299
ACH-000368,-1.5419600122047927
ACH-000374,-1.7740098816974232
ACH-000375,-1.6767661949245627
ACH-000376,-1.6417481385014985
ACH-000381,-1.7154447577233156
ACH-000383,-1.6886921265821695
ACH-000387,-1.7648417256013529
ACH-000389,-1.5534798993948784
ACH-000390,-1.6827912655848167
ACH-000393,-1.706378893153326
ACH-000395,-1.5356222586479569
ACH-000396,-1.6164443271987623
ACH-000397,-1.7613918477075496
ACH-000401,-1.9596401685792573
ACH-000402,-1.4741801596023862
ACH-000403,-1.578505684343147
ACH-000404,-1.5087432285998614
ACH-000406,-1.6648583880980308
ACH-000407,-1.4852122491288708
ACH-000408,-1.64519724586506
ACH-000410,-1.5316756097879174
ACH-000411,-1.5422967043403435
ACH-000414,-1.6823514866871514
ACH-000415,-1.7352902673359625
ACH-000416,-1.476812358794048
ACH-000420,-1.6337946231244147
ACH-000421,-1.532507304339321
ACH-000424,-1.4227829079626892
ACH-000425,-1.374419100482623
ACH-000426,-2.1332161861532977
ACH-000427,-1.5865792111579216
ACH-000433,-1.5553732983057864
ACH-000435,-1.9855235930578148
ACH-000436,-1.8611805341510828
ACH-000444,-1.839950128777856
ACH-000445,-1.7045420702785816
ACH-000448,-1.7024148132755796
ACH-000450,-1.4274515015257836
ACH-000452,-1.6314390495459954
ACH-000454,-1.6999656685557103
ACH-000458,-1.579121252145797
ACH-000459,-1.4525899120261692
ACH-000460,-1.6515010531122063
ACH-000461,-1.7069943224331143
ACH-000463,-1.3979450381383742
ACH-000464,-1.5887450046332874
ACH-000466,-2.0303897358449934
ACH-000467,-1.7633819604058885
ACH-000468,-1.7247076524703489
ACH-000469,-1.7646928350425113
ACH-000470,-1.8791503136240295
ACH-000471,-1.694791974569546
ACH-000472,-1.7321476153026916
ACH-000473,-1.5187720170301569
ACH-000475,-1.6879731258938653
ACH-000476,-1.5392494244915669
ACH-000477,-1.4684071107658911
ACH-000479,-1.87929936724002
ACH-000480,-1.6728856694242484
ACH-000481,-1.6625752794491109
ACH-000483,-1.7103960024020053
ACH-000484,-1.5791632794321908
ACH-000485,-1.804376491059336
ACH-000486,-1.3723427261036227
ACH-000487,-1.6486460993240737
ACH-000488,-1.500442568944378
ACH-000490,-1.4486610369256534
ACH-000491,-1.6724620952905742
ACH-000495,-1.6190005655229638
ACH-000496,-1.7008150036414478
ACH-000499,-1.6524290192301316
ACH-000500,-1.5605346689235924
ACH-000502,-1.7095615047340298
ACH-000503,-1.8258811416909304
ACH-000505,-1.3851683359863418
ACH-000507,-1.6057042529731993
ACH-000510,-1.4924246283902771
ACH-000511,-1.6296731448413972
ACH-000512,-1.6011110533356134
ACH-000516,-1.6819013856013905
ACH-000517,-1.6382214297996007
ACH-000518,-1.5081699664187806
ACH-000520,-1.7629813514174089
ACH-000521,-1.7045208145574473
ACH-000522,-1.6631164871628883
