,COQ10A (93058)
ACH-000004,-0.24857294191012136
ACH-000005,-0.09882792751686248
ACH-000007,-0.03315815308261998
ACH-000009,-0.06029320371925837
ACH-000011,-0.05093803320119628
ACH-000012,-0.08262855625782291
ACH-000013,-0.03763144297707846
ACH-000014,-0.18158958809984255
ACH-000015,-0.15088099497030788
ACH-000017,-0.07274105053639618
ACH-000018,-0.12666719554594733
ACH-000019,-0.00023754454128272886
ACH-000021,-0.030742584584023375
ACH-000022,-0.12374563451428973
ACH-000025,-0.1880865803294552
ACH-000028,-0.253895699235614
ACH-000030,-0.011065019056011304
ACH-000035,0.0008168166066838589
ACH-000036,-0.08163906669224892
ACH-000037,-0.1481978762946604
ACH-000039,0.09621963860846554
ACH-000040,-0.08740380078267275
ACH-000041,-0.3481959388117678
ACH-000042,-0.032589975241174685
ACH-000045,-0.06819602290687242
ACH-000047,-0.14363718492238448
ACH-000052,-0.10304899513034717
ACH-000053,-0.06629145928419636
ACH-000054,-0.08410874243757464
ACH-000055,0.030508760187575087
ACH-000060,-0.16545237972466267
ACH-000067,-0.28982954854613663
ACH-000070,-0.1295774906920012
ACH-000075,-0.2633383736522865
ACH-000078,-0.09679498644118006
ACH-000082,-0.12982674208663952
ACH-000085,-0.08753386368764171
ACH-000086,-0.28478173316644595
ACH-000087,-0.3653546993033656
ACH-000092,-0.08359572743108465
ACH-000095,-0.018108638078713442
ACH-000097,-0.2040794630292326
ACH-000098,-0.13199703257708567
ACH-000099,0.015508482811094475
ACH-000108,0.0248793603715512
ACH-000113,0.07879703674030034
ACH-000116,-0.18053866436969265
ACH-000118,-0.2446880663168681
ACH-000120,-0.07851398175826192
ACH-000123,-0.19278243687366814
ACH-000127,0.027917253846690436
ACH-000128,-0.2322853390124786
ACH-000132,0.06198834738928755
ACH-000133,-0.18742943232334472
ACH-000137,-0.07715563658778657
ACH-000138,-0.09672671834658042
ACH-000142,0.07682057185589537
ACH-000143,-0.007916977216468451
ACH-000146,-0.0770666545749639
ACH-000148,-0.08450962841495016
ACH-000150,-0.1870538969736868
ACH-000152,-0.2513064979480659
ACH-000153,-0.1345069286615816
ACH-000159,-0.12400916074204782
ACH-000160,-0.1846997535591729
ACH-000163,-0.11255903137436164
ACH-000167,-0.1177213663073133
ACH-000168,0.025343338870439745
ACH-000169,-0.07772623086487103
ACH-000178,-0.12900616075492605
ACH-000183,-0.1529421682509183
ACH-000188,-0.007457546205570106
ACH-000189,-0.10024224752658903
ACH-000190,0.04201681251887182
ACH-000198,-0.09901630734971684
ACH-000203,-0.6900412219089346
ACH-000204,-0.1337509199180772
ACH-000206,-0.28159864522984296
ACH-000207,0.05232726298458143
ACH-000208,-0.09665318312890077
ACH-000210,-0.2564437726147533
ACH-000211,-0.017909141057423025
ACH-000215,-0.15123548817208174
ACH-000221,-0.2155850901058733
ACH-000222,-0.01113492963240032
ACH-000223,-0.18301199995800824
ACH-000226,-0.20344625564304414
ACH-000227,-0.20628911276007714
ACH-000228,-0.2930160499263373
ACH-000231,-0.06398651565899961
ACH-000232,-0.1077508140537327
ACH-000233,-0.1693805309954698
ACH-000234,-0.2640629076841117
ACH-000235,-0.1772244102578652
ACH-000237,0.018380051725601983
ACH-000238,-0.05128770318162775
ACH-000242,0.3211917782859906
ACH-000243,-0.1361129004919781
ACH-000244,0.029879532481044007
ACH-000246,-0.1671575505236354
ACH-000248,-0.14763799719768922
ACH-000250,-0.10418924723948013
ACH-000251,-0.21588184948596306
ACH-000252,-0.08003587875520647
ACH-000253,-0.1839655566614996
ACH-000255,-0.045426997632420654
ACH-000256,0.041312152413327564
ACH-000257,-0.036106258028526524
ACH-000258,-0.0791014203869201
ACH-000259,-0.06419379232326991
ACH-000260,-0.09188907901122298
ACH-000261,-0.15135170259584727
ACH-000262,0.0045948421703969145
ACH-000263,-0.11783799048807996
ACH-000264,-0.2507514948724437
ACH-000265,-0.10114153366697504
ACH-000266,-0.10330696635020106
ACH-000272,0.0428471941288801
ACH-000274,-0.1043106345457265
ACH-000277,-0.1589702444454634
ACH-000278,-0.30591089226410595
ACH-000279,-0.17669502280586094
ACH-000280,-0.11129938158818704
ACH-000281,-0.23094673480174044
ACH-000288,-0.17264913008320756
ACH-000291,-0.2014917041262594
ACH-000293,-0.23935783930143045
ACH-000294,-0.06657249068766116
ACH-000295,-0.02644842108075551
ACH-000296,-0.02940067940901145
ACH-000302,-0.2493197579384804
ACH-000304,-0.3348906574494009
ACH-000307,0.009654460617585712
ACH-000308,-0.14604525749141786
ACH-000310,0.0257453231899638
ACH-000311,0.0613486325539202
ACH-000312,-0.09114570162050277
ACH-000315,-0.19074492965296155
ACH-000316,-0.09621749000664154
ACH-000317,0.031615429340066316
ACH-000318,-0.26123236301354835
ACH-000319,-0.10514800161846752
ACH-000320,-0.167985868162525
ACH-000322,-0.20053025306279865
ACH-000323,-0.08370867800214385
ACH-000324,-0.19547744480753068
ACH-000329,-0.004363947812556789
