,RCC1 (1104)
ACH-000004,-1.0280116588205397
ACH-000005,-0.7201220030008011
ACH-000007,-1.1325924843502684
ACH-000009,-1.2098455804700945
ACH-000011,-1.003317656675465
ACH-000012,-1.1108307032577631
ACH-000013,-1.2693611788622066
ACH-000014,-1.3328595713228932
ACH-000015,-1.139593479636191
ACH-000017,-0.9633277812384612
ACH-000018,-1.1940890163536466
ACH-000019,-0.7850231340197737
ACH-000021,-1.266602182746838
ACH-000022,-1.0648447936601813
ACH-000025,-1.1553351417652824
ACH-000028,-1.1690389291115642
ACH-000030,-1.0239632327491748
ACH-000035,-1.2665395928478842
ACH-000036,-1.1949674897462181
ACH-000037,-1.179573520388914
ACH-000039,-0.9300154882883902
ACH-000040,-1.0047389587134516
ACH-000041,-1.1490773032916304
ACH-000042,-1.2088532444850784
ACH-000045,-0.9605538793868156
ACH-000047,-1.0873716589497069
ACH-000052,-1.11452839252729
ACH-000053,-1.02319015763794
ACH-000054,-1.0188631692991736
ACH-000055,-1.0470247256303469
ACH-000060,-1.1518038798965016
ACH-000067,-1.1861998801361775
ACH-000070,-1.0858639809351065
ACH-000075,-1.1912199231668603
ACH-000078,-1.0862839182044592
ACH-000082,-1.1537012177851558
ACH-000085,-1.1525381211404528
ACH-000086,-1.2232941422325758
ACH-000087,-0.8773583619420383
ACH-000092,-1.1154362596248772
ACH-000095,-1.22819964865527
ACH-000097,-1.1200889925344275
ACH-000098,-1.0936798576969793
ACH-000099,-1.3094960209235282
ACH-000108,-1.105665606859292
ACH-000113,-0.8162070708918225
ACH-000116,-0.8815905625603254
ACH-000118,-1.0326846225897093
ACH-000120,-1.4153787903560942
ACH-000123,-1.1492561585375836
ACH-000127,-1.1290997199300166
ACH-000128,-1.1269985516542491
ACH-000132,-1.1872374341990577
ACH-000133,-1.0692224821562315
ACH-000137,-1.2305264572359569
ACH-000138,-1.1050665029385092
ACH-000142,-1.1626560266477706
ACH-000143,-1.1294125730533038
ACH-000146,-1.0319380535438762
ACH-000148,-1.1116258621969959
ACH-000150,-1.1597519655835613
ACH-000152,-1.0297665314804487
ACH-000153,-1.4858046357269528
ACH-000159,-1.1579142592300402
