,LGALS14 (56891)
ACH-000004,-0.30027207022537344
ACH-000005,-0.3151200154843096
ACH-000007,-0.0668689715534164
ACH-000009,-0.1889106411612202
ACH-000011,-0.08840232449905268
ACH-000012,-0.2801464460175195
ACH-000013,-0.6327493869013407
ACH-000014,-0.2787610890950318
ACH-000015,-0.33119328076667165
ACH-000017,-0.1514237455475356
ACH-000018,-0.380439864877781
ACH-000019,-0.4044005549743112
ACH-000021,-0.24239333429198595
ACH-000022,-0.19971056661738826
ACH-000025,-0.03087224671936951
ACH-000028,-0.17182156861963452
ACH-000030,-0.3323415357515621
ACH-000035,-0.18054535127073346
ACH-000036,-0.05867514356095847
ACH-000037,-0.11613218131386575
ACH-000039,-0.013463601706660815
ACH-000040,-0.026872792043024445
ACH-000041,-0.2853641791651152
ACH-000042,-0.17552769323070486
ACH-000045,-0.14441842035197106
ACH-000047,-0.14269364916243624
ACH-000052,-0.2634974376099009
ACH-000053,-0.31759041788320325
ACH-000054,-0.19856563877784436
ACH-000055,0.015458746634607275
ACH-000060,-0.13898412655631334
ACH-000067,-0.10937677277213216
ACH-000070,-0.15565682675781412
ACH-000075,-0.13459077397108385
ACH-000078,-0.22466866330614865
ACH-000082,-0.1909755813132101
ACH-000085,-0.17589660628910792
ACH-000086,-0.3238790227447058
ACH-000087,-0.16843090963850782
ACH-000092,-0.20349378827568426
ACH-000095,-0.2115903599698305
ACH-000097,-0.2805574903370028
ACH-000098,-0.2484141070036941
ACH-000099,-0.19010897231532897
ACH-000108,-0.3276478750862303
ACH-000113,-0.20525492522349065
ACH-000116,-0.14322973639438355
ACH-000118,-0.25322833330904104
ACH-000120,-0.2172911619911868
ACH-000123,-0.17531832021083646
ACH-000127,-0.3028383816829117
ACH-000128,-0.21951761085981486
ACH-000132,-0.15634628280212498
ACH-000133,-0.2584095898154599
ACH-000137,-0.2602036714964501
ACH-000138,-0.29810579555239664
ACH-000142,-0.1623456515540151
ACH-000143,-0.17628419998268252
ACH-000146,-0.2534492132995057
ACH-000148,-0.14920385884656148
ACH-000150,-0.3268800070059804
ACH-000152,-0.19157181361350714
ACH-000153,-0.43140827858680747
ACH-000159,-0.11915529080999818
ACH-000160,-0.29195557333443084
ACH-000163,-0.18496001181454824
ACH-000167,-0.3832406997255319
ACH-000168,-0.1723288916319471
ACH-000169,-0.19769754185271865
ACH-000178,-0.16666706882687873
ACH-000183,-0.3729591932356294
ACH-000188,-0.2180287807199979
ACH-000189,-0.2752142977969583
ACH-000190,-0.40226566252828494
ACH-000198,-0.20741725953871387
ACH-000203,-0.009570236058317702
