,GSC2 (2928)
ACH-000004,-0.21064775894592064
ACH-000005,0.005994017032895139
ACH-000007,-0.08429947244314873
ACH-000009,-0.2754096369738853
ACH-000011,-0.22226469567685656
ACH-000012,-0.106714550675499
ACH-000013,-0.2707829446385749
ACH-000014,-0.2665231345214241
ACH-000015,-0.21565571634563044
ACH-000017,-0.06641377631434656
ACH-000018,-0.13395926579911227
ACH-000019,0.05607078284499061
ACH-000021,-0.1795154706939125
ACH-000022,-0.14032169671138098
ACH-000025,-0.2782887897117087
ACH-000028,-0.1975370714350346
ACH-000030,-0.19526356350343346
ACH-000035,-0.2740492362278372
ACH-000036,-0.2732632716501289
ACH-000037,-0.3487967860532183
ACH-000039,-0.2208078748189474
ACH-000040,-0.08715918142959109
ACH-000041,-0.18349038998632836
ACH-000042,-0.30959074412846754
ACH-000045,-0.04537669073351794
ACH-000047,-0.23119169826095945
ACH-000052,-0.25209272098892965
ACH-000053,-0.12261770730294692
ACH-000054,-0.2028297045778374
ACH-000055,-0.2960741569286268
ACH-000060,-0.3047014064204041
ACH-000067,-0.2605254987047871
ACH-000070,-0.1798510529035405
ACH-000075,-0.29161349317591617
ACH-000078,-0.29727739321212204
ACH-000082,-0.03436996222476324
ACH-000085,-0.29845984742368925
ACH-000086,-0.11107504028079156
ACH-000087,-0.03618912631796558
ACH-000092,-0.2810564411221903
ACH-000095,-0.27304550211755696
ACH-000097,-0.20141693449512726
ACH-000098,-0.26353779450383
ACH-000099,-0.22000384364458567
ACH-000108,-0.32486813598084885
ACH-000113,-0.22512815826489616
ACH-000116,-0.06684209789229482
ACH-000118,-0.2129797555031407
ACH-000120,-0.13054785900042262
ACH-000123,-0.40017092976577706
ACH-000127,-0.16463011025129326
ACH-000128,-0.1348680922332303
ACH-000132,-0.2961504439164512
ACH-000133,-0.1419991767951284
ACH-000137,-0.3111106192412705
ACH-000138,-0.07808084207646207
ACH-000142,-0.12461818767879992
ACH-000143,-0.05720025240446161
ACH-000146,-0.20010977484477416
ACH-000148,-0.11952325225106065
ACH-000150,-0.2992506661359689
ACH-000152,-0.28050486961123244
ACH-000153,0.052653916294554536
ACH-000159,-0.09747515100615434
ACH-000160,-0.17293559834147154
ACH-000163,-0.08605145471391988
ACH-000167,0.24078718327407475
ACH-000168,-0.2615447666810026
ACH-000169,-0.09733363322703248
ACH-000178,-0.09881221090822977
ACH-000183,-0.3411989501705017
ACH-000188,-0.07129786529563402
ACH-000189,0.0242540222799466
ACH-000190,0.10148083205934172
ACH-000198,-0.3167869983248669
ACH-000203,-0.7094224380620501
ACH-000204,-0.14206669833793634
ACH-000206,-0.20259378560325028
ACH-000207,-0.3102613692305683
ACH-000208,-0.549298817885619
ACH-000210,-0.2815965676051204
ACH-000211,-0.15188945726092878
ACH-000215,-0.2231584827072077
ACH-000221,-0.2420979531208453
ACH-000222,-0.11640939330975328
ACH-000223,-0.19127635987571176
ACH-000226,-0.273369633440037
ACH-000227,-0.13685987258591994
ACH-000228,-0.43368452254916295
ACH-000231,-0.14191804403570007
ACH-000232,-0.1875641766563136
ACH-000233,-0.18485744713903388
ACH-000234,-0.34572037893127444
ACH-000235,-0.250522342779699
ACH-000237,-0.09948156926234883
ACH-000238,-0.2139217458350731
ACH-000242,-0.29968194803108544
ACH-000243,-0.14343068065067555
ACH-000244,-0.04514371347456847
ACH-000246,-0.20865034451603465
ACH-000248,0.04524446206134702
ACH-000250,-0.14722077886070095
ACH-000251,-0.19889462217076412
ACH-000252,-0.07859987632087019
ACH-000253,-0.18794574647785944
ACH-000255,-0.09343396016879403
ACH-000256,-0.1856382448348836
ACH-000257,-0.013855560689103551
ACH-000258,-0.029597768770267336
ACH-000259,-0.1817155071797257
ACH-000260,-0.2453960148050141
ACH-000261,-0.3097376786803673
ACH-000262,0.12018389414666465
ACH-000263,-0.24898314004874994
ACH-000264,-0.2114390729969351
ACH-000265,-0.3060254182543126
ACH-000266,-0.22701491039560925
ACH-000272,-0.22448391272137447
ACH-000274,-0.43351113372010297
ACH-000277,0.039033166266811185
ACH-000278,-0.33026321022726496
ACH-000279,-0.2719300224106765
ACH-000280,-0.2681575627969879
ACH-000281,-0.10907469904537022
ACH-000288,-0.18138912209030172
ACH-000291,-0.15236867830272227
ACH-000293,-0.2954887001174564
ACH-000294,-0.3631250538996245
ACH-000295,0.0009358119914441152
ACH-000296,-0.1538938698299067
ACH-000302,-0.16718750963456036
ACH-000304,-0.13191975344538806
ACH-000307,-0.3587574798540533
ACH-000308,-0.20684680315790205
ACH-000310,-0.3784312978057349
ACH-000311,-0.12484392573739735
ACH-000312,-0.2330855293876593
ACH-000315,-0.31462282682691983
ACH-000316,0.05486552861862611
ACH-000317,0.03867720292510996
ACH-000318,-0.17861179098085372
ACH-000319,-0.2277488253746557
ACH-000320,-0.5197110571155596
ACH-000322,-0.09032600940598026
ACH-000323,-0.2944985495938431
ACH-000324,-0.2302328504608187
ACH-000329,-0.28338179241581923
ACH-000330,-0.1507105176147327
ACH-000331,-0.1652062197916836
ACH-000332,-0.2048156535779927
ACH-000334,0.032190278956808684
ACH-000335,-0.320627832085568
ACH-000336,-0.16553222822692598
