,CAPS (828)
ACH-000004,-0.10954993827874393
ACH-000005,-0.35375571301859626
ACH-000007,-0.005474588782575457
ACH-000009,-0.1867763883997816
ACH-000011,-0.014759315386083282
ACH-000012,-0.3798366490462298
ACH-000013,-0.3055470261368329
ACH-000014,-0.1180789043551354
ACH-000015,-0.14521189928993675
ACH-000017,-0.4057854560448393
ACH-000018,-0.30417937581933585
ACH-000019,-0.46440002047052203
ACH-000021,-0.3322308231019731
ACH-000022,-0.3196433417416778
ACH-000025,-0.4217131916011289
ACH-000028,-0.4310104518830239
ACH-000030,-0.2656833997033514
ACH-000035,-0.28574060954989605
ACH-000036,-0.2262334577299057
ACH-000037,-0.4460085450519994
ACH-000039,-0.3584220099785437
ACH-000040,-0.03409617993714823
ACH-000041,-0.29645686514444475
ACH-000042,-0.09496610119971224
ACH-000045,-0.3467916711928166
ACH-000047,-0.32640076279974056
ACH-000052,-0.4632209511709846
ACH-000053,-0.16922005028005696
ACH-000054,-0.3248402619298878
ACH-000055,-0.5225397415976635
ACH-000060,-0.20984215149549956
ACH-000067,-0.2884242173012235
ACH-000070,-0.4849492688844021
ACH-000075,-0.4177130657690751
ACH-000078,-0.14966514428694933
ACH-000082,-0.35560490668269035
ACH-000085,-0.23081776122997266
ACH-000086,-0.2820345926502201
ACH-000087,-0.4657500948501935
ACH-000092,-0.20191107518756132
ACH-000095,-0.3753093832014976
ACH-000097,-0.2307062751912955
ACH-000098,-0.2679193916555647
ACH-000099,-0.24067417156306745
ACH-000108,-0.1889032305323623
ACH-000113,-0.18462009305091334
ACH-000116,-0.3601874450605465
ACH-000118,-0.2412631564887099
ACH-000120,-0.3517422854706692
ACH-000123,-0.124714566684758
ACH-000127,-0.3993881033395141
ACH-000128,-0.2519950583396174
ACH-000132,-0.13637881367260773
ACH-000133,-0.2117959346468259
ACH-000137,-0.27252687187018304
ACH-000138,-0.1049851228388128
ACH-000142,-0.2431592294880357
ACH-000143,-0.10280493764993516
ACH-000146,-0.1937911087405668
ACH-000148,-0.2159508326200398
ACH-000150,-0.2260330839301207
ACH-000152,-0.2381491396194887
ACH-000153,0.049790480676905516
ACH-000159,-0.16403947619112086
ACH-000160,-0.19832110915292087
ACH-000163,-0.16625242797064166
ACH-000167,-0.26625448406432484
ACH-000168,-0.1926665523906586
ACH-000169,-0.35280261454599743
ACH-000178,-0.29732486262998903
ACH-000183,-0.15379120809673086
ACH-000188,-0.16449999211711214
ACH-000189,-0.1487489980953702
ACH-000190,0.08519485063230514
ACH-000198,-0.22916375132237515
ACH-000203,-0.5139857146015429
ACH-000204,-0.3740539997575552
ACH-000206,-0.06769063240097771
ACH-000207,-0.33033081909450784
ACH-000208,-0.5026418429319869
ACH-000210,-0.3126539959943416
ACH-000211,-0.2636121166434125
ACH-000215,-0.2855223811010498
ACH-000221,-0.03386369750662967
ACH-000222,0.01464700238042379
ACH-000223,-0.29851180196175137
ACH-000226,-0.2654351692719975
ACH-000227,-0.2042649748979194
ACH-000228,-0.2791183483640369
ACH-000231,-0.20923863352406408
ACH-000232,-0.1542238625317689
ACH-000233,-0.42050174725588696
ACH-000234,-0.24764024951693855
ACH-000235,-0.2608213130206176
ACH-000237,-0.2692206384715661
ACH-000238,-0.13532569773019998
ACH-000242,0.18875998404747715
ACH-000243,-0.2190812351846813
ACH-000244,0.029561786080714088
ACH-000246,-0.25294607461162444
ACH-000248,-0.2405612432676863
ACH-000250,-0.28240744943239565
ACH-000251,-0.5334017331974966
ACH-000252,-0.13530006141706435
ACH-000253,-0.2727362362198788
ACH-000255,-0.35389540421382154
ACH-000256,-0.23325844357382636
ACH-000257,-0.07880713864112142
ACH-000258,-0.1904714321205284
ACH-000259,-0.31736614763618565
ACH-000260,-0.293059087180374
ACH-000261,-0.3070957807038576
ACH-000262,-0.3119323888662148
ACH-000263,-0.1618012849865843
ACH-000264,-0.24452494828302135
ACH-000265,-0.2643118855577178
ACH-000266,-0.27617130441640303
ACH-000272,-0.2277260211018265
ACH-000274,-0.23037250255453304
ACH-000277,-0.28138517963714776
ACH-000278,-0.3030174572222985
ACH-000279,-0.08019678700576599
ACH-000280,-0.2292329811962397
ACH-000281,-0.059370311929500624
ACH-000288,-0.2252238140478807
ACH-000291,-0.3500042820571108
ACH-000293,-0.3968764039495378
ACH-000294,-0.2386977133731949
ACH-000295,-0.3191960742410834
ACH-000296,-0.08827386878749738
ACH-000302,-0.4729640822121716
ACH-000304,-0.19206447250416211
ACH-000307,-0.2689245655720334
ACH-000308,-0.2278501161460731
ACH-000310,-0.15612306829464348
ACH-000311,-0.29957442030180936
ACH-000312,-0.15900727294783454
ACH-000315,-0.07176526319321974
ACH-000316,-0.2794421723202675
ACH-000317,-0.12617998012400275
ACH-000318,-0.1905925965916592
ACH-000319,-0.33905687278540325
ACH-000320,-0.05458223391971943
ACH-000322,-0.34188160036453946
ACH-000323,-0.25198551343052983
ACH-000324,-0.3913533717519597
ACH-000329,-0.19564201187905356
ACH-000330,-0.4049920919843681
ACH-000331,-0.1973830898832689
ACH-000332,-0.2308192701545489
ACH-000334,0.015643221097630732
ACH-000335,-0.2770745731876525
ACH-000336,-0.17135490811146656
ACH-000337,-0.3184332724464352
ACH-000338,-0.2387137997297054
ACH-000339,-0.24720749629431402
ACH-000341,-0.2762079419842015
ACH-000348,-0.13419380223616845
ACH-000350,-0.12443518558409583
ACH-000352,-0.3009757165531428
ACH-000356,-0.2840304416268255
ACH-000361,-0.35284527223648193
ACH-000362,-0.2727306736582689
ACH-000363,-0.3592804335011264
ACH-000364,-0.4060484775387544
ACH-000365,-0.08026457121134846
ACH-000366,-0.2606098760013326
ACH-000368,-0.14936413001834578
ACH-000374,-0.32243018946731394
ACH-000375,-0.07702736416296332
ACH-000376,-0.2455658200229785
ACH-000381,-0.09558361372438087
ACH-000383,-0.21584330031036372
ACH-000387,-0.15988676094873416
ACH-000389,-0.2884725783214738
ACH-000390,-0.26701250495131706
ACH-000393,-0.408714408278702
ACH-000395,-0.20636516950636405
