,CENPU (79682)
ACH-000004,0.0023397463304040736
ACH-000005,0.09221087960263144
ACH-000007,-0.3237035411352361
ACH-000009,0.04714849072613149
ACH-000011,-0.4203555845882284
ACH-000012,-0.010682119610605572
ACH-000013,0.012131368163204809
ACH-000014,-0.2391706813418401
ACH-000015,-0.2795535128290493
ACH-000017,0.09431369991670857
ACH-000018,-0.07458589060005683
ACH-000019,-0.08476604112599781
ACH-000021,-0.05661300277505237
ACH-000022,-0.2230334326936351
ACH-000025,0.02124532934932213
ACH-000028,-0.19738390311043286
ACH-000030,-0.19687522095322108
ACH-000035,0.016291900355542496
ACH-000036,-0.17308937414763398
ACH-000037,-0.09326924305441307
ACH-000039,-0.1974373210903791
ACH-000040,-0.2271528387465757
ACH-000041,-0.3220597489843288
ACH-000042,0.03751218429053167
ACH-000045,-0.005980557245345548
ACH-000047,-0.3201390285195861
ACH-000052,-0.07096087263394359
ACH-000053,-0.032129939403078504
ACH-000054,-0.1147935261673587
ACH-000055,-0.15062979523241093
ACH-000060,-0.10121435099360657
ACH-000067,-0.5665404448051745
ACH-000070,-0.4238007052330671
ACH-000075,-0.04133493444534326
ACH-000078,-0.07257099226322034
ACH-000082,-0.2146741193640096
ACH-000085,-0.08844675475905196
ACH-000086,0.05209776138313322
ACH-000087,-0.15487187701356991
ACH-000092,-0.11607965757836015
ACH-000095,-0.027852187385502568
ACH-000097,-0.05991937972106402
ACH-000098,-0.17243458400996686
ACH-000099,-0.14643618930018568
ACH-000108,-0.08799762372838238
ACH-000113,-0.021266951075359718
ACH-000116,-0.3841271673309464
ACH-000118,-0.019556249620757218
ACH-000120,-0.2307315081448946
ACH-000123,-0.16174394061157235
ACH-000127,0.07415563957704563
ACH-000128,-0.15798172127871588
ACH-000132,0.02181441675613224
ACH-000133,-0.14938892045589405
ACH-000137,-0.2209625007107128
ACH-000138,-0.08065454657142146
ACH-000142,-0.1215568765566052
ACH-000143,-0.1827385823285942
ACH-000146,-0.12720299024699558
ACH-000148,-0.4014918553466312
ACH-000150,-0.5313844319344728
ACH-000152,-0.07439795257947614
ACH-000153,0.056307697489866526
ACH-000159,-0.14361094824307982
ACH-000160,0.1687808962852536
ACH-000163,-0.0004127347463032748
ACH-000167,-0.09402046163133618
ACH-000168,0.031155348079618457
ACH-000169,-0.048488302037067686
ACH-000178,-0.2410302040177324
ACH-000183,-0.14861806098281066
ACH-000188,-0.09832089928461006
ACH-000189,-0.22746183487643326
ACH-000190,0.06768546425142755
ACH-000198,0.113346709111906
ACH-000203,-0.09136578101504593
ACH-000204,-0.06200547972094723
ACH-000206,0.13541599064542698
ACH-000207,-0.10112117187473506
ACH-000208,-0.5256485799788474
ACH-000210,-0.14674390546265398
ACH-000211,-0.3993357281791472
ACH-000215,-0.2212076608506604
ACH-000221,-0.0665016095680097
ACH-000222,-0.2314831409320281
ACH-000223,-0.08763917598339012
ACH-000226,-0.01580842019693433
ACH-000227,-0.14182637746187648
ACH-000228,-0.2574612533094661
ACH-000231,-0.11112859121832498
ACH-000232,-0.3698477618086627
ACH-000233,-0.07212247950499417
ACH-000234,-0.263873227248746
ACH-000235,0.09174833618950323
ACH-000237,-0.3134827524835782
ACH-000238,-0.26644486822119284
ACH-000242,0.09474330337674844
ACH-000243,-0.07262835232442827
ACH-000244,-0.4948654271284354
ACH-000246,-0.27799588427632
ACH-000248,0.07541110486250076
ACH-000250,-0.16969834327549818
ACH-000251,0.11566107168255366
ACH-000252,-0.11013148804774603
ACH-000253,-0.1090750796512821
ACH-000255,-0.05559175039935471
ACH-000256,0.06698278465710268
ACH-000257,-0.1653718600400558
ACH-000258,-0.1403867695844984
ACH-000259,-0.135467540801884
ACH-000260,-0.1676659246644168
ACH-000261,-0.13021006573712413
ACH-000262,-0.2971084640206636
ACH-000263,-0.0501052172867916
ACH-000264,0.006236988654209731
ACH-000265,-0.07751000871332274
ACH-000266,-0.049931011370134816
ACH-000272,-0.04221419548107964
ACH-000274,-0.1358772623577126
