,WASF2 (10163)
ACH-000004,-0.249755837162928
ACH-000005,-0.2615945594472335
ACH-000007,0.0001991508600924025
ACH-000009,-0.4421753522462694
ACH-000011,-0.2471174132523461
ACH-000012,0.02268746252338072
ACH-000013,-0.2106990738819145
ACH-000014,-0.3783734177904069
ACH-000015,0.045639441767660376
ACH-000017,-0.20243745776012945
ACH-000018,-0.3253003453979421
ACH-000019,-0.3665824549105803
ACH-000021,0.005565570742165047
ACH-000022,-0.1172518327412097
ACH-000025,-0.04751254961157561
ACH-000028,-0.3037709993558655
ACH-000030,-0.20803930505390414
ACH-000035,-0.2613895045973955
ACH-000036,-0.06126256504060915
ACH-000037,-0.1936751281557659
ACH-000039,-0.08200033245053992
ACH-000040,-0.28314582365156216
ACH-000041,-0.05022117178994511
ACH-000042,-0.32642477366489164
ACH-000045,-0.36640723054061614
ACH-000047,-0.2683499001038656
ACH-000052,-0.17358862293810096
ACH-000053,-0.045977712717922566
ACH-000054,-0.34572132859348864
ACH-000055,0.2317415430042042
ACH-000060,-0.5584984528173973
ACH-000067,-0.2861506403395649
ACH-000070,-0.053559959131370384
ACH-000075,0.0906256779075879
ACH-000078,-0.12737501445890295
ACH-000082,-0.11932616213927645
ACH-000085,-0.08632692537153855
ACH-000086,-0.17534617031430824
ACH-000087,0.10214868505814323
ACH-000092,-0.15504111404436993
ACH-000095,-0.13495859441492342
ACH-000097,-0.22823684512630266
ACH-000098,-0.4143439917147092
ACH-000099,-0.0512592284934411
ACH-000108,-0.4040126782852189
ACH-000113,-0.11539517556824293
ACH-000116,-0.12841140804594153
ACH-000118,-0.20526425053449546
ACH-000120,-0.1003505590289528
ACH-000123,-0.1541452897256848
ACH-000127,-0.25138942257645863
ACH-000128,-0.1819262103099961
ACH-000132,-0.18488161938708586
ACH-000133,-0.08625052013227102
ACH-000137,-0.017405641435130056
ACH-000138,-0.3226580390222749
ACH-000142,-0.4015728952373964
ACH-000143,-0.18455113041650914
ACH-000146,-0.05728170849142344
ACH-000148,0.014197343081116932
ACH-000150,-0.2722463912562658
