,SNTB2 (6645)
ACH-000004,-0.29618567580231664
ACH-000005,0.08013986633375919
ACH-000007,-0.006905038862220174
ACH-000009,-0.09323480552097106
ACH-000011,-0.07828297954665432
ACH-000012,-0.21432318087368527
ACH-000013,-0.30947952364884657
ACH-000014,-0.1596000998936093
ACH-000015,-0.08936810971259622
ACH-000017,-0.09025742621986642
ACH-000018,-0.2861815463959585
ACH-000019,-0.09551026864316636
ACH-000021,-0.1092691767490537
ACH-000022,-0.2070374852278013
ACH-000025,-0.4497548672972554
ACH-000028,-0.03182333380329753
ACH-000030,-0.061267679866329534
ACH-000035,-0.10908791199824387
ACH-000036,-0.17356367669972092
ACH-000037,-0.3347194790452715
ACH-000039,-0.23512781969923485
ACH-000040,-0.05813325719848101
ACH-000041,-0.09933056812970356
ACH-000042,-0.2370183474182884
ACH-000045,-0.20991826876626926
ACH-000047,-0.02086478331884453
ACH-000052,-0.1853843411809446
ACH-000053,-0.14559106595676466
ACH-000054,-0.07532568224802026
ACH-000055,-0.1324157859258274
ACH-000060,-0.11720376028428263
ACH-000067,-0.2550493380834906
ACH-000070,-0.06811668788392593
ACH-000075,-0.4325080813783445
ACH-000078,-0.18701773250756
ACH-000082,-0.15875042738442566
ACH-000085,-0.1952982136088242
ACH-000086,-0.10415570803555843
ACH-000087,-0.2672045260540841
ACH-000092,-0.12873387570219744
ACH-000095,-0.247599792433572
ACH-000097,-0.31867012499752745
ACH-000098,-0.04686150896966482
ACH-000099,-0.12668282640145326
ACH-000108,-0.21507462873482025
ACH-000113,-0.1689965620115695
ACH-000116,-0.00385763852627734
ACH-000118,0.013699924544402959
ACH-000120,-0.2593519964931683
ACH-000123,-0.2578631800822665
ACH-000127,-0.2852209695233945
ACH-000128,-0.1631912828301051
ACH-000132,-0.27760633631306897
ACH-000133,-0.123150602866688
ACH-000137,-0.2987391853771484
ACH-000138,-0.09617081108920957
ACH-000142,-0.2457312524733609
ACH-000143,-0.1856448017393587
ACH-000146,-0.1819692328063548
ACH-000148,-0.18955059082032286
ACH-000150,-0.10642730005165243
ACH-000152,-0.13821397156389034
ACH-000153,0.006836990446678282
ACH-000159,-0.18297952343164856
ACH-000160,-0.08670038362404596
ACH-000163,-0.034188150300693165
ACH-000167,-0.1685690375706056
ACH-000168,-0.1688806107620751
ACH-000169,-0.1314464611676318
ACH-000178,-0.2602331813162136
ACH-000183,-0.18144625924494465
ACH-000188,-0.014245380153552104
ACH-000189,0.06027505101091945
ACH-000190,-0.10462788154946616
ACH-000198,-0.1111753945209804
ACH-000203,0.051960094860033015
ACH-000204,-0.4306832780996588
ACH-000206,-0.0949562944013972
ACH-000207,-0.3076851089636661
ACH-000208,-0.4265498474855615
ACH-000210,-0.05670936402459461
ACH-000211,-0.2632003735913345
ACH-000215,-0.1747266903943887
ACH-000221,-0.24487331353499506
ACH-000222,0.01655933847945569
ACH-000223,-0.18950872866720067
ACH-000226,-0.08065795223014778
ACH-000227,-0.095410586291779
ACH-000228,-0.16033067785799815
ACH-000231,-0.17583368908280575
ACH-000232,-0.11463069373074912
ACH-000233,-0.21472307894785933
ACH-000234,-0.15985707801527912
ACH-000235,-0.1393973513711193
ACH-000237,-0.1829656022629412
ACH-000238,-0.003755066856438818
ACH-000242,-0.16418087539974738
ACH-000243,-0.14659925868797016
ACH-000244,-0.13562335750509236
ACH-000246,-0.0777616698521495
ACH-000248,-0.10177207962802988
ACH-000250,-0.12882201501608828
ACH-000251,-0.32245318863645395
ACH-000252,-0.31162432418720265
ACH-000253,-0.18047557374602166
ACH-000255,-0.05366592655092745
ACH-000256,0.006518450296472425
ACH-000257,-0.05066368583001567
ACH-000258,-0.2762318161899328
ACH-000259,-0.11692016287903205
ACH-000260,-0.3162122394713446
ACH-000261,-0.2473273603297265
ACH-000262,-0.01502717624556194
ACH-000263,-0.1061854219742274
ACH-000264,-0.18145085194385388
ACH-000265,0.09230755350606157
ACH-000266,-0.2329528096337793
ACH-000272,-0.15988870780102876
ACH-000274,-0.20714239331856427
ACH-000277,-0.2924953477257467
ACH-000278,-0.19332627904445607
ACH-000279,-0.09129687737147693
ACH-000280,-0.19528509173913705
ACH-000281,-0.24398856670921534
ACH-000288,-0.12526594888904374
ACH-000291,-0.19881246699113808
ACH-000293,-0.21247407774594385
ACH-000294,-0.4717510204332861
ACH-000295,-0.1551729263861326
ACH-000296,0.02585879068082688
ACH-000302,-0.03060697799286967
ACH-000304,-0.19926183342930592
ACH-000307,-0.22245547493183254
ACH-000308,-0.08133567229492633
ACH-000310,-0.2422148907307371
ACH-000311,-0.2165277601490962
ACH-000312,-0.18514838219396668
ACH-000315,-0.248499207270422
ACH-000316,-0.09380128974367044
ACH-000317,-0.06538353816926333
ACH-000318,0.005626439854086522
ACH-000319,-0.23088863459782896
ACH-000320,0.03599155389121101
ACH-000322,-0.3325991448260169
ACH-000323,-0.10887025868281146
ACH-000324,-0.019694904003214168
ACH-000329,-0.29776007800325965
ACH-000330,-0.2574660973888299
ACH-000331,-0.17323747827715932
ACH-000332,-0.1537067778674672
ACH-000334,0.16191628958878124
ACH-000335,-0.3400245061654613
ACH-000336,-0.3099597806112774
ACH-000337,-0.22598623244413316
ACH-000338,-0.6616998803022359
ACH-000339,-0.2010844728862565
ACH-000341,-0.3847937631213727
ACH-000348,-0.3029165376836393
ACH-000350,-0.11212566818867656
ACH-000352,-0.10003320279368548
ACH-000356,-0.1822325646608617
ACH-000361,-0.30729465683966195
ACH-000362,-0.1418078119448696
ACH-000363,-0.03697629252448505
ACH-000364,0.08270458209788682
ACH-000365,-0.0939586908087692
ACH-000366,-0.1616354993109671
ACH-000368,-0.044110306497850166
ACH-000374,0.023733369209835105
ACH-000375,0.02887381345941112
ACH-000376,-0.17924526798670376
ACH-000381,-0.28948666695909026
ACH-000383,-0.18890601262707746
ACH-000387,-0.31018908663607325
ACH-000389,-0.07778962653486145
ACH-000390,-0.0786013837813513
ACH-000393,-0.15069778590539548
ACH-000395,-0.32575896662613163
ACH-000396,-0.5142434505553306
ACH-000397,-0.09389325726859997
ACH-000401,-0.027737679577152303
ACH-000402,-0.11219615680428076
ACH-000403,-0.4029262129357664
ACH-000404,-0.3964866323873273
ACH-000406,-0.14867352694731506
ACH-000407,-0.23716678962119755
ACH-000408,-0.034131144334477365
ACH-000410,0.0014440975315632148
ACH-000411,-0.2791386412212286
ACH-000414,-0.2040672524479561
ACH-000415,-0.18576096923996932
ACH-000416,-0.21885979116463136
ACH-000420,-0.1916447543445649
ACH-000421,-0.12822425051176148
ACH-000424,-0.23892648837861696
ACH-000425,-0.1807129535672024
ACH-000426,-0.25877937575377713
ACH-000427,-0.2943821913588635
ACH-000433,-0.10934773893645093
ACH-000435,-0.05780040130143374
ACH-000436,-0.041556243720985764
ACH-000444,-0.1478528010389318
ACH-000445,-0.1699095440989744
ACH-000448,-0.1316005674444968
ACH-000450,-0.2315511711097375
ACH-000452,-0.16990464994639978
ACH-000454,-0.0694778533204838
ACH-000458,-0.16334174714281788
ACH-000459,-0.09508672986829073
ACH-000460,-0.13839954376666785
ACH-000461,-0.29116219910758473
ACH-000463,-0.06945071939612811
ACH-000464,-0.13907536854354674
ACH-000466,-0.16388523129024538
ACH-000467,-0.1125744969751646
ACH-000468,-0.08591153923682444
ACH-000469,-0.13831321848654085
ACH-000470,-0.19524490364297487
ACH-000471,-0.14357972343785474
ACH-000472,-0.08762214247080438
ACH-000473,-0.25162256791855525
ACH-000475,-0.14772623759859593
ACH-000476,-0.2725203331414828
ACH-000477,0.0690769863422714
ACH-000479,0.043090059065656786
ACH-000480,-0.3840302188759449
ACH-000481,-0.233419079056314
ACH-000483,-0.14052151116089054
ACH-000484,-0.11554285829946805
ACH-000485,-0.10563943718239943
ACH-000486,-0.11078292561057583
ACH-000487,-0.08812521527859082
ACH-000488,-0.1477072856136444
ACH-000490,-0.16097384264751866
ACH-000491,-0.05299143106603274
ACH-000495,-0.1879200021923678
ACH-000496,-0.1761358829244017
ACH-000499,0.05386499668536576
ACH-000500,0.31850168781369864
ACH-000502,-0.21609836303661467
ACH-000503,-0.20426516055239893
ACH-000505,-0.3233403423000891
ACH-000507,-0.18085714657120466
ACH-000510,-0.062338250703860586
ACH-000511,-0.09534439507066303
ACH-000512,-0.1413382886529428
ACH-000516,-0.1481745870447504
ACH-000517,-0.2687306126863748
ACH-000518,-0.09881984856070483
ACH-000520,-0.07197339739092838
ACH-000521,-0.04501310771118197
ACH-000522,-0.2698117397343157
ACH-000524,-0.2371775158268981
ACH-000527,-0.16074436029569736
ACH-000528,-0.29052430047502137
ACH-000537,-0.20318201003826608
ACH-000541,-0.12905998964627122
ACH-000542,-0.2807737662615846
ACH-000544,-0.09340658800066427
ACH-000545,-0.20677214085254544
ACH-000547,0.2535670387788329
ACH-000548,-0.15258400044257964
ACH-000549,-0.09300546097761232
ACH-000550,-0.24776693263624144
ACH-000552,-0.21589687750008324
ACH-000556,-0.08447754828208763
ACH-000557,-0.11226754917370647
ACH-000569,-0.11707213056170647
ACH-000570,-0.1698001358095159
ACH-000571,-0.2851072657593441
ACH-000573,-0.1686986708666685
ACH-000576,-0.15559369213556432
ACH-000579,-0.1744825613918222
ACH-000580,-0.045554528475506235
ACH-000584,-0.07118338581082766
ACH-000585,-0.06773262690626232
ACH-000588,-0.2577642133874498
ACH-000589,-0.2359650672768648
ACH-000591,-0.10533759153307587
ACH-000593,-0.09541663961845033
ACH-000600,-0.06004969408918566
ACH-000601,-0.08239341594205968
ACH-000605,-0.33870255491666823
ACH-000606,0.012270660425812641
ACH-000608,-0.17839910130053968
ACH-000614,-0.18342799657724493
ACH-000616,-0.2268657083950339
ACH-000618,-0.19472416981689625
ACH-000619,-0.1320438573431479
ACH-000620,-0.18685051031009134
ACH-000621,-0.2151523799042908
ACH-000622,-0.1172864998148506
ACH-000623,-0.2090993194154653
ACH-000624,-0.19052253551104426
ACH-000627,-0.2744136190633393
ACH-000630,-0.007819454668717241
ACH-000631,-0.4387441796907439
ACH-000632,-0.22118358599331148
ACH-000633,-0.1130284372654831
ACH-000637,0.04033969134295003
ACH-000638,-0.08853612435315418
ACH-000646,-0.3094232675377008
ACH-000647,-0.18622386510286332
ACH-000648,-0.07668395596149698
ACH-000649,-0.18209573965048886
ACH-000651,-0.3593566126363273
ACH-000652,-0.09481933675647154
ACH-000653,-0.17478272674702966
ACH-000657,-0.1551298680027469
ACH-000658,-0.1412810297080803
ACH-000661,-0.25853014967925625
ACH-000662,-0.1968898184673361
ACH-000663,-0.2571443976573699
ACH-000665,-0.025767994295321082
ACH-000671,-0.1737151714280244
ACH-000672,-0.058031042836643135
ACH-000673,-0.11136769503768616
ACH-000676,-0.11784911261401675
ACH-000677,-0.04402620646175027
ACH-000681,-0.013845324468846565
ACH-000683,-0.02740236072589449
ACH-000684,-0.22605478537891405
ACH-000688,-0.0647348012988143
ACH-000693,-0.11242764422526197
ACH-000694,-0.0959327286449436
ACH-000695,-0.07925266125951683
ACH-000696,-0.15383300894214316
ACH-000697,-0.277401285813544
ACH-000699,-0.12271054083163452
ACH-000701,-0.094166077293926
ACH-000706,-0.2543817737778527
ACH-000711,-0.1354279148600558
ACH-000713,-0.01624601162106389
ACH-000714,-0.05204834570051477
ACH-000718,-0.1025378482083252
ACH-000720,-0.15219691607260202
ACH-000721,-0.06029269863997393
ACH-000724,-0.3069143086892959
ACH-000725,0.025168081030364716
