,SREBF1 (6720)
ACH-000004,-0.6525531228198239
ACH-000005,-0.8639108057384585
ACH-000007,-0.5716982894871837
ACH-000009,-0.4717195816280531
ACH-000011,-0.30719419228463274
ACH-000012,-0.7478346043855324
ACH-000013,-0.2778881332944549
ACH-000014,-0.6091085677132452
ACH-000015,-0.5841969567658016
ACH-000017,-0.2009231696892601
ACH-000018,-0.8512822062512935
ACH-000019,-0.2313888689015695
ACH-000021,-0.3979261834135156
ACH-000022,-0.5186608846072052
ACH-000025,-1.016212072450136
ACH-000028,-0.13966675463818362
ACH-000030,-1.0274248568167084
ACH-000035,-0.2576332308289998
ACH-000036,-0.5271759688464721
ACH-000037,-0.4835389254474106
ACH-000039,-0.10680695595854144
ACH-000040,-0.6545442531302493
ACH-000041,-0.18757351583772452
ACH-000042,-0.5552201530458472
ACH-000045,-0.6210034148177509
ACH-000047,-0.5483927162114529
ACH-000052,-0.2809001290168913
ACH-000053,-0.12265435664717556
ACH-000054,-0.4750637017609085
ACH-000055,-0.062231959933100864
ACH-000060,-0.37806988251720697
ACH-000067,-0.4475385267867281
ACH-000070,-0.3198883372660118
ACH-000075,-0.6035518096189402
ACH-000078,-0.08509130409325592
ACH-000082,-0.2958710644478856
ACH-000085,-0.4708958138345085
ACH-000086,-0.8066597968631283
ACH-000087,-0.32434290103486224
ACH-000092,-0.3060986382001565
ACH-000095,-0.14060234703767688
ACH-000097,-0.3456752171716128
ACH-000098,-0.5672422449754158
ACH-000099,-0.06652003673852896
ACH-000108,-0.5772770141297306
ACH-000113,-0.08139069351475978
ACH-000116,-0.36928406975287015
ACH-000118,-0.9615487839836709
ACH-000120,0.06347011000911132
ACH-000123,-0.209040417819647
ACH-000127,-0.9589207758167224
ACH-000128,-0.11514855886362994
ACH-000132,-0.2044064025598341
ACH-000133,-0.3965516197961472
ACH-000137,-0.20244615746473574
ACH-000138,-0.690607754338531
ACH-000142,-0.2723881035415598
ACH-000143,-0.23818765754470805
ACH-000146,-0.6443689903577638
ACH-000148,-0.09444289034512957
ACH-000150,-0.6123243076471225
ACH-000152,-0.33510233246685883
ACH-000153,-0.7211284584414175
ACH-000159,-0.3104114736653277
ACH-000160,-0.2361789324864101
ACH-000163,-0.7239984632501089
ACH-000167,-0.5188897800627338
ACH-000168,-0.24081480958791
ACH-000169,-0.2744357189064679
ACH-000178,-0.4956396741379839
ACH-000183,-0.3589921782287335
ACH-000188,-0.4368148720869076
ACH-000189,-0.26824110300360005
ACH-000190,-0.7111079103960211
ACH-000198,-0.20296980799568864
ACH-000203,-0.7578197326554116
ACH-000204,-0.4069192457577351
ACH-000206,-0.7442433885903915
ACH-000207,-0.565176922943699
ACH-000208,-0.7127523360719725
ACH-000210,-0.4611848180916957
ACH-000211,-0.17571200550611188
ACH-000215,-0.2620030882262555
ACH-000221,-0.7422912915503211
ACH-000222,-0.08423248721953756
ACH-000223,-0.2973752463944133
ACH-000226,-0.1906652408160655
ACH-000227,-0.32102387118157555
ACH-000228,-0.2073174663353621
ACH-000231,-0.3612466915935845
ACH-000232,-0.1571144767400365
ACH-000233,-0.24455415034224784
ACH-000234,-0.2719877185185691
ACH-000235,-0.22514359396502207
ACH-000237,-0.13423906572172847
ACH-000238,-0.7987672971357422
ACH-000242,-0.7918108804377376
ACH-000243,-0.542164382357989
ACH-000244,-0.2848932938743118
ACH-000246,-0.17708907295845508
ACH-000248,-0.07256773480376495
ACH-000250,-0.7336883123455742
ACH-000251,-0.6232151776264037
ACH-000252,-0.5351681961045482
ACH-000253,-0.3502169145460575
ACH-000255,-0.5410870739723103
ACH-000256,-0.2720725613047075
ACH-000257,-0.4935428871795327
ACH-000258,-0.3751595241296103
ACH-000259,-0.0959697974397544
ACH-000260,-0.1689891121931764
ACH-000261,-0.2390057590378952
ACH-000262,-0.8557881387007621
ACH-000263,-0.5735743238992019
ACH-000264,-0.2615347220477118
ACH-000265,-0.9554067962614506
ACH-000266,-0.4872929759327863
ACH-000272,-0.7938255562863129
ACH-000274,-0.2709588593841151
ACH-000277,-0.4931457182753772
ACH-000278,-0.24267826218750324
ACH-000279,-0.29498352840166703
ACH-000280,-0.13188898934889207
ACH-000281,-0.2134316085214038
ACH-000288,-0.3645373831092989
ACH-000291,-0.7467920711172422
ACH-000293,-0.3640841715282802
ACH-000294,-1.3685484693311876
ACH-000295,-0.3938275565626199
ACH-000296,-0.19415378648435613
ACH-000302,-0.07939122400931001
ACH-000304,-0.16773176047404287
ACH-000307,-0.37296805732143423
ACH-000308,-0.17404520751874186
ACH-000310,-0.16996138482384765
ACH-000311,-0.17233180468093187
ACH-000312,-0.08248433735632436
ACH-000315,-0.324593432235308
ACH-000316,-0.6635260602079899
ACH-000317,-0.17719183602301145
ACH-000318,-0.7661536923516983
ACH-000319,-0.20837351580608185
ACH-000320,-0.2239904358319462
ACH-000322,-0.4319972681062684
ACH-000323,-0.31250459993815044
ACH-000324,-0.4483933342928756
ACH-000329,-0.20238375883461726
ACH-000330,-0.13777902339152406
ACH-000331,-0.5820276857974497
ACH-000332,-0.7080533450244659
ACH-000334,-0.4072524881328177
ACH-000335,-0.7119331198644551
ACH-000336,0.15943073579252667
ACH-000337,-0.980868830262932
ACH-000338,-0.24311336424287674
ACH-000339,-0.5336813140776091
ACH-000341,-0.12832272874043946
ACH-000348,-0.3248335181003749
ACH-000350,-0.24332603940993644
ACH-000352,-0.3368219913337796
ACH-000356,-0.6265939254973132
ACH-000361,-0.9425812716212644
ACH-000362,-0.8132589456691555
ACH-000363,-0.2129993617717214
ACH-000364,-0.17340873496181292
ACH-000365,-0.1656002481603004
ACH-000366,-0.147769693890259
ACH-000368,-0.4338739033181644
ACH-000374,-0.22033400634850187
ACH-000375,-0.029977657283791287
ACH-000376,-0.6009373060090459
ACH-000381,-0.5614116883141932
ACH-000383,-0.29152517111408466
ACH-000387,-0.9355968566208352
ACH-000389,-0.3788680336709686
ACH-000390,-0.5185656628427199
