,LAP3 (51056)
ACH-000004,-0.16267645309737355
ACH-000005,-0.4907948459357088
ACH-000007,-0.4059687363291556
ACH-000009,-0.2118729025296106
ACH-000011,-0.05105477184639785
ACH-000012,-0.11254255592313922
ACH-000013,-0.23647591199567355
ACH-000014,-0.26984351328508216
ACH-000015,-0.15989521909105595
ACH-000017,-0.28687117902889736
ACH-000018,-0.048847259647024265
ACH-000019,-0.012203201194817196
ACH-000021,-0.14913059984597615
ACH-000022,-0.056171931065661165
ACH-000025,-0.3019409954778347
ACH-000028,-0.2009535559635363
ACH-000030,-0.2367847480843549
ACH-000035,-0.21360958629264915
ACH-000036,-0.1299448353888127
ACH-000037,-0.04938032057149033
ACH-000039,-0.013191424800157985
ACH-000040,-0.018085404082566574
ACH-000041,-0.11659793066261535
ACH-000042,-0.2327596743720163
ACH-000045,-0.1383343286381619
ACH-000047,-0.1810414077682666
ACH-000052,-0.1974184093848792
ACH-000053,-0.1489910201110818
ACH-000054,-0.06561466595700045
ACH-000055,-0.20439139308732746
ACH-000060,-0.3592221226634221
ACH-000067,-0.12482800036504055
ACH-000070,0.07243273161337735
ACH-000075,-0.08441506101224723
ACH-000078,-0.12129522956895533
ACH-000082,-0.20734390242841025
ACH-000085,-0.04844649303745135
ACH-000086,-0.04086403595977056
ACH-000087,-0.1843843668792004
ACH-000092,-0.22475836702749286
ACH-000095,-0.10021781241229066
ACH-000097,-0.07173215268367683
ACH-000098,0.02616559687592974
ACH-000099,-0.1528008562544508
ACH-000108,-0.14717961856131478
ACH-000113,-0.15846627411423872
ACH-000116,-0.1232667507132507
ACH-000118,-0.1501267987332643
ACH-000120,-0.2919753210604115
ACH-000123,-0.20115333189720955
ACH-000127,-0.35389728251514513
ACH-000128,-0.3813421135209516
ACH-000132,-0.10144897746767398
ACH-000133,-0.14875180419791986
ACH-000137,-0.4262766031012138
ACH-000138,-0.13747913212049404
ACH-000142,-0.1818402567756809
ACH-000143,-0.17569913929093106
ACH-000146,-0.18310723238711252
ACH-000148,-0.19984100696758225
ACH-000150,-0.12107346331084992
ACH-000152,0.07593437263091912
ACH-000153,-0.16573292122535369
ACH-000159,-0.17108320207158806
ACH-000160,-0.34410084319408474
ACH-000163,-0.08373699498308422
